; Candidate 7070
; ADRP+ADD at VM 0xfffffff0088552f4 (fileoff 0x18512f4): page=0x1fe994000 add_imm=0xe80

0xfffffff008855274: e04dffb0  adrp	x0, #0xfffffff007212000
0xfffffff008855278: 000c2191  add	x0, x0, #0x843
0xfffffff00885527c: f62300a9  stp	x22, x8, [sp]
0xfffffff008855280: 7888d597  bl	#0xfffffff007db7460
0xfffffff008855284: b40400b4  cbz	x20, #0xfffffff008855318
0xfffffff008855288: 950400b4  cbz	x21, #0xfffffff008855318
0xfffffff00885528c: e00314aa  mov	x0, x20
0xfffffff008855290: 61008052  mov	w1, #3
0xfffffff008855294: 22a09152  mov	w2, #0x8d01
0xfffffff008855298: 0203a072  movk	w2, #0x18, lsl #16
0xfffffff00885529c: 0d93fe97  bl	#0xfffffff0087f9ed0
0xfffffff0088552a0: e00314aa  mov	x0, x20
0xfffffff0088552a4: e10315aa  mov	x1, x21
0xfffffff0088552a8: 22008052  mov	w2, #1
0xfffffff0088552ac: e68efe97  bl	#0xfffffff0087f8e44
0xfffffff0088552b0: 16008052  mov	w22, #0
0xfffffff0088552b4: 54000014  b	#0xfffffff008855404
0xfffffff0088552b8: bd7b0194  bl	#0xfffffff0088b41ac
0xfffffff0088552bc: f60300aa  mov	x22, x0
0xfffffff0088552c0: e0008052  mov	w0, #7
0xfffffff0088552c4: 63990094  bl	#0xfffffff00887b850
0xfffffff0088552c8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088552cc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088552d0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088552d4: 684effd0  adrp	x8, #0xfffffff007223000
0xfffffff0088552d8: 090d2191  add	x9, x8, #0x843
0xfffffff0088552dc: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088552e0: 08811191  add	x8, x8, #0x460
0xfffffff0088552e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088552e8: 880c8052  mov	w8, #0x64
0xfffffff0088552ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088552f0: f60300f9  str	x22, [sp]
0xfffffff0088552f4: a04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088552f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088552fc: 818dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008855300: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008855304: e34fffd0  adrp	x3, #0xfffffff007253000
0xfffffff008855308: 63402791  add	x3, x3, #0x9d0
0xfffffff00885530c: 02008052  mov	w2, #0
0xfffffff008855310: 8877eb97  bl	#0xfffffff008333130
0xfffffff008855314: b4fbffb5  cbnz	x20, #0xfffffff008855288
0xfffffff008855318: 800c8052  mov	w0, #0x64
0xfffffff00885531c: 81008052  mov	w1, #4
0xfffffff008855320: 2c990094  bl	#0xfffffff00887b7d0
0xfffffff008855324: e0060034  cbz	w0, #0xfffffff008855400
0xfffffff008855328: 800c8052  mov	w0, #0x64
0xfffffff00885532c: 3b990094  bl	#0xfffffff00887b818
0xfffffff008855330: f70300aa  mov	x23, x0
0xfffffff008855334: 9e7b0194  bl	#0xfffffff0088b41ac
0xfffffff008855338: f60300aa  mov	x22, x0
0xfffffff00885533c: 80008052  mov	w0, #4
0xfffffff008855340: 44990094  bl	#0xfffffff00887b850
0xfffffff008855344: 97020034  cbz	w23, #0xfffffff008855394
0xfffffff008855348: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885534c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff008855350: 894effb0  adrp	x9, #0xfffffff007226000
0xfffffff008855354: 2af10c91  add	x10, x9, #0x33c
0xfffffff008855358: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885535c: 88cb8052  mov	w8, #0x65c
0xfffffff008855360: 694effd0  adrp	x9, #0xfffffff007223000
0xfffffff008855364: 290d2191  add	x9, x9, #0x843
0xfffffff008855368: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885536c: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855370: 08811191  add	x8, x8, #0x460
