; Candidate 590
; ADRP+ADD at VM 0xfffffff007fa0dcc (fileoff 0xf9cdcc): page=0x1ff0c5000 add_imm=0xdfe

0xfffffff007fa0d4c: 291101f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007fa0d50: 29010091  add	x9, x9, #0
0xfffffff007fa0d54: 290140f9  ldr	x9, [x9]
0xfffffff007fa0d58: 3f0108eb  cmp	x9, x8
0xfffffff007fa0d5c: e1060054  b.ne	#0xfffffff007fa0e38
0xfffffff007fa0d60: e00313aa  mov	x0, x19
0xfffffff007fa0d64: fd7b56a9  ldp	x29, x30, [sp, #0x160]
0xfffffff007fa0d68: f44f55a9  ldp	x20, x19, [sp, #0x150]
0xfffffff007fa0d6c: f65754a9  ldp	x22, x21, [sp, #0x140]
0xfffffff007fa0d70: f85f53a9  ldp	x24, x23, [sp, #0x130]
0xfffffff007fa0d74: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff007fa0d78: ffc30591  add	sp, sp, #0x170
0xfffffff007fa0d7c: ff0f5fd6  retab	
0xfffffff007fa0d80: 090940b9  ldr	w9, [x8, #8]
0xfffffff007fa0d84: a9f1ff35  cbnz	w9, #0xfffffff007fa0bb8
0xfffffff007fa0d88: 090d40b9  ldr	w9, [x8, #0xc]
0xfffffff007fa0d8c: 69f1ff35  cbnz	w9, #0xfffffff007fa0bb8
0xfffffff007fa0d90: 091140b9  ldr	w9, [x8, #0x10]
0xfffffff007fa0d94: 29f1ff35  cbnz	w9, #0xfffffff007fa0bb8
0xfffffff007fa0d98: 081540b9  ldr	w8, [x8, #0x14]
0xfffffff007fa0d9c: e8f0ff35  cbnz	w8, #0xfffffff007fa0bb8
0xfffffff007fa0da0: 82ffff17  b	#0xfffffff007fa0ba8
0xfffffff007fa0da4: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007fa0da8: 68220091  add	x8, x19, #8
0xfffffff007fa0dac: 291844b9  ldr	w9, [x1, #0x418]
0xfffffff007fa0db0: e20309aa  mov	x2, x9
0xfffffff007fa0db4: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007fa0db8: 5f00096b  cmp	w2, w9
0xfffffff007fa0dbc: e0e7ff54  b.eq	#0xfffffff007fa0ab8
0xfffffff007fa0dc0: e00313aa  mov	x0, x19
0xfffffff007fa0dc4: 682ef897  bl	#0xfffffff007dac764
0xfffffff007fa0dc8: 3cffff17  b	#0xfffffff007fa0ab8
0xfffffff007fa0dcc: 2086ffb0  adrp	x0, #0xfffffff007065000
0xfffffff007fa0dd0: 00f83791  add	x0, x0, #0xdfe
0xfffffff007fa0dd4: 2186ffb0  adrp	x1, #0xfffffff007065000
0xfffffff007fa0dd8: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa0ddc: 02838152  mov	w2, #0xc18
0xfffffff007fa0de0: 8dfa1394  bl	#0xfffffff00849f814
0xfffffff007fa0de4: e00314aa  mov	x0, x20
0xfffffff007fa0de8: e10315aa  mov	x1, x21
0xfffffff007fa0dec: 22008052  mov	w2, #1
0xfffffff007fa0df0: 422bf897  bl	#0xfffffff007dabaf8
0xfffffff007fa0df4: 7effff17  b	#0xfffffff007fa0bec
0xfffffff007fa0df8: e00314aa  mov	x0, x20
0xfffffff007fa0dfc: e10315aa  mov	x1, x21
0xfffffff007fa0e00: 592ef897  bl	#0xfffffff007dac764
0xfffffff007fa0e04: b3ffff17  b	#0xfffffff007fa0cd0
0xfffffff007fa0e08: e00314aa  mov	x0, x20
0xfffffff007fa0e0c: e10315aa  mov	x1, x21
0xfffffff007fa0e10: 552ef897  bl	#0xfffffff007dac764
0xfffffff007fa0e14: cdffff17  b	#0xfffffff007fa0d48
0xfffffff007fa0e18: e00314aa  mov	x0, x20
0xfffffff007fa0e1c: e10315aa  mov	x1, x21
0xfffffff007fa0e20: 22008052  mov	w2, #1
0xfffffff007fa0e24: 352bf897  bl	#0xfffffff007dabaf8
0xfffffff007fa0e28: 8ffeff17  b	#0xfffffff007fa0864
0xfffffff007fa0e2c: e00313aa  mov	x0, x19
0xfffffff007fa0e30: 4d2ef897  bl	#0xfffffff007dac764
0xfffffff007fa0e34: 20ffff17  b	#0xfffffff007fa0ab4
0xfffffff007fa0e38: 05f4f697  bl	#0xfffffff007d5de4c
0xfffffff007fa0e3c: a086ffd0  adrp	x0, #0xfffffff007076000
0xfffffff007fa0e40: 00c03e91  add	x0, x0, #0xfb0
0xfffffff007fa0e44: 2186ffb0  adrp	x1, #0xfffffff007065000
0xfffffff007fa0e48: 21582391  add	x1, x1, #0x8d6
