; Candidate 12766
; ADRP+ADD at VM 0xfffffff00915457c (fileoff 0x215057c): page=0x1fe334000 add_imm=0xd29

0xfffffff0091544fc: e8020036  tbz	w8, #0, #0xfffffff009154558
0xfffffff009154500: 088e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff009154504: 08611e91  add	x8, x8, #0x798
0xfffffff009154508: 15014039  ldrb	w21, [x8]
0xfffffff00915450c: e00313aa  mov	x0, x19
0xfffffff009154510: b9540094  bl	#0xfffffff0091697f4
0xfffffff009154514: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff009154518: 08553591  add	x8, x8, #0xd55
0xfffffff00915451c: 75010034  cbz	w21, #0xfffffff009154548
0xfffffff009154520: e80300a9  stp	x8, x0, [sp]
0xfffffff009154524: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154528: 00a43491  add	x0, x0, #0xd29
0xfffffff00915452c: cd8bb197  bl	#0xfffffff007db7460
0xfffffff009154530: 0a000014  b	#0xfffffff009154558
0xfffffff009154534: 33118052  mov	w19, #0x89
0xfffffff009154538: 14000014  b	#0xfffffff009154588
0xfffffff00915453c: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff009154540: 880200b9  str	w8, [x20]
0xfffffff009154544: 11000014  b	#0xfffffff009154588
0xfffffff009154548: e80300a9  stp	x8, x0, [sp]
0xfffffff00915454c: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154550: 00a43491  add	x0, x0, #0xd29
0xfffffff009154554: ff6bcc97  bl	#0xfffffff00846f550
0xfffffff009154558: 88d25f39  ldrb	w8, [x20, #0x7f4]
0xfffffff00915455c: 68010836  tbz	w8, #1, #0xfffffff009154588
0xfffffff009154560: 4fe6b597  bl	#0xfffffff007ecde9c
0xfffffff009154564: 20010034  cbz	w0, #0xfffffff009154588
0xfffffff009154568: e00313aa  mov	x0, x19
0xfffffff00915456c: a2540094  bl	#0xfffffff0091697f4
0xfffffff009154570: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff009154574: 08553591  add	x8, x8, #0xd55
0xfffffff009154578: e80300a9  stp	x8, x0, [sp]
0xfffffff00915457c: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154580: 00a43491  add	x0, x0, #0xd29
0xfffffff009154584: a70ac897  bl	#0xfffffff008357020
0xfffffff009154588: e00313aa  mov	x0, x19
0xfffffff00915458c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009154590: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009154594: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009154598: ff430191  add	sp, sp, #0x50
0xfffffff00915459c: ff0f5fd6  retab	
0xfffffff0091545a0: 7f2303d5  pacibsp	
0xfffffff0091545a4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0091545a8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0091545ac: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0091545b0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0091545b4: fdc30091  add	x29, sp, #0x30
0xfffffff0091545b8: 810200b4  cbz	x1, #0xfffffff009154608
0xfffffff0091545bc: f30301aa  mov	x19, x1
0xfffffff0091545c0: 148e00b0  adrp	x20, #0xfffffff00a315000
0xfffffff0091545c4: 88f247b9  ldr	w8, [x20, #0x7f0]
0xfffffff0091545c8: 1f090071  cmp	w8, #2
0xfffffff0091545cc: a3070054  b.lo	#0xfffffff0091546c0
0xfffffff0091545d0: 158e00b0  adrp	x21, #0xfffffff00a315000
0xfffffff0091545d4: a8d25f39  ldrb	w8, [x21, #0x7f4]
0xfffffff0091545d8: 08060036  tbz	w8, #0, #0xfffffff009154698
0xfffffff0091545dc: 088e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff0091545e0: 08611e91  add	x8, x8, #0x798
0xfffffff0091545e4: 08014039  ldrb	w8, [x8]
0xfffffff0091545e8: c8040034  cbz	w8, #0xfffffff009154680
0xfffffff0091545ec: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff0091545f0: 08293691  add	x8, x8, #0xd8a
0xfffffff0091545f4: e84f00a9  stp	x8, x19, [sp]
0xfffffff0091545f8: a019ff90  adrp	x0, #0xfffffff007488000
