; Candidate 4055
; ADRP+ADD at VM 0xfffffff00878d4d8 (fileoff 0x17894d8): page=0x1fe9a4000 add_imm=0xd90

0xfffffff00878d458: 4a050011  add	w10, w10, #1
0xfffffff00878d45c: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff00878d460: 4b1d0011  add	w11, w10, #7
0xfffffff00878d464: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff00878d468: 3f050071  cmp	w9, #1
0xfffffff00878d46c: 49018b1a  csel	w9, w10, w11, eq
0xfffffff00878d470: 3f210071  cmp	w9, #8
0xfffffff00878d474: 88020054  b.hi	#0xfffffff00878d4c4
0xfffffff00878d478: e80300aa  mov	x8, x0
0xfffffff00878d47c: f00309aa  mov	x16, x9
0xfffffff00878d480: 1f2200f1  cmp	x16, #8
0xfffffff00878d484: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00878d488: 11000090  adrp	x17, #0xfffffff00878d000
0xfffffff00878d48c: 31621791  add	x17, x17, #0x5d8
0xfffffff00878d490: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00878d494: 11000010  adr	x17, #0xfffffff00878d494
0xfffffff00878d498: 3002108b  add	x16, x17, x16
0xfffffff00878d49c: 00021fd6  br	x16
0xfffffff00878d4a0: 9f2403d5  bti	j
0xfffffff00878d4a4: 00008052  mov	w0, #0
0xfffffff00878d4a8: 29fc0011  add	w9, w1, #0x3f
0xfffffff00878d4ac: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00878d4b0: 09d926b9  str	w9, [x8, #0x26d8]
0xfffffff00878d4b4: 29781f53  lsl	w9, w1, #1
0xfffffff00878d4b8: 41000014  b	#0xfffffff00878d5bc
0xfffffff00878d4bc: 00008052  mov	w0, #0
0xfffffff00878d4c0: 43000014  b	#0xfffffff00878d5cc
0xfffffff00878d4c4: 9f2403d5  bti	j
0xfffffff00878d4c8: 28210011  add	w8, w9, #8
0xfffffff00878d4cc: 094effd0  adrp	x9, #0xfffffff00714f000
0xfffffff00878d4d0: 29351b91  add	x9, x9, #0x6cd
0xfffffff00878d4d4: e92300a9  stp	x9, x8, [sp]
0xfffffff00878d4d8: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878d4dc: 00403691  add	x0, x0, #0xd90
0xfffffff00878d4e0: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878d4e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878d4e8: c34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff00878d4ec: 63e40491  add	x3, x3, #0x139
0xfffffff00878d4f0: 02008052  mov	w2, #0
0xfffffff00878d4f4: 0f97ee97  bl	#0xfffffff008333130
0xfffffff00878d4f8: 00008012  mov	w0, #-1
0xfffffff00878d4fc: 34000014  b	#0xfffffff00878d5cc
0xfffffff00878d500: 9f2403d5  bti	j
0xfffffff00878d504: 00008052  mov	w0, #0
0xfffffff00878d508: 29080011  add	w9, w1, #2
0xfffffff00878d50c: 6a559552  mov	w10, #0xaaab
0xfffffff00878d510: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff00878d514: 297daa9b  umull	x9, w9, w10
0xfffffff00878d518: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00878d51c: 29791f53  lsl	w9, w9, #1
0xfffffff00878d520: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff00878d524: 29fd0011  add	w9, w9, #0x3f
0xfffffff00878d528: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00878d52c: 09d926b9  str	w9, [x8, #0x26d8]
0xfffffff00878d530: 29781f53  lsl	w9, w1, #1
0xfffffff00878d534: 2909c41a  udiv	w9, w9, w4
0xfffffff00878d538: 29150011  add	w9, w9, #5
0xfffffff00878d53c: 297daa9b  umull	x9, w9, w10
0xfffffff00878d540: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00878d544: 29791f53  lsl	w9, w9, #1
0xfffffff00878d548: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff00878d54c: 1d000014  b	#0xfffffff00878d5c0
0xfffffff00878d550: 9f2403d5  bti	j
0xfffffff00878d554: 00008052  mov	w0, #0
