; Candidate 2930
; ADRP+ADD at VM 0xfffffff0086f6cb0 (fileoff 0x16f2cb0): page=0x1fea3b000 add_imm=0xd90

0xfffffff0086f6c30: 01211c91  add	x1, x8, #0x708
0xfffffff0086f6c34: e4710094  bl	#0xfffffff0087133c4
0xfffffff0086f6c38: bf060071  cmp	w21, #1
0xfffffff0086f6c3c: ab070054  b.lt	#0xfffffff0086f6d30
0xfffffff0086f6c40: 60d659f9  ldr	x0, [x19, #0x33a8]
0xfffffff0086f6c44: e203152a  mov	w2, w21
0xfffffff0086f6c48: 63f259f9  ldr	x3, [x19, #0x33e0]
0xfffffff0086f6c4c: e10314aa  mov	x1, x20
0xfffffff0086f6c50: 24008052  mov	w4, #1
0xfffffff0086f6c54: 5b2a0394  bl	#0xfffffff0087c15c0
0xfffffff0086f6c58: 1f000071  cmp	w0, #0
0xfffffff0086f6c5c: 4d020054  b.le	#0xfffffff0086f6ca4
0xfffffff0086f6c60: 68f259f9  ldr	x8, [x19, #0x33e0]
0xfffffff0086f6c64: 01810091  add	x1, x8, #0x20
0xfffffff0086f6c68: a2f300d1  sub	x2, x29, #0x3c
0xfffffff0086f6c6c: 87000094  bl	#0xfffffff0086f6e88
0xfffffff0086f6c70: 20030034  cbz	w0, #0xfffffff0086f6cd4
0xfffffff0086f6c74: e852ff90  adrp	x8, #0xfffffff007152000
0xfffffff0086f6c78: 08c90e91  add	x8, x8, #0x3b2
0xfffffff0086f6c7c: e80300f9  str	x8, [sp]
0xfffffff0086f6c80: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6c84: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6c88: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6c8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6c90: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6c94: 63f01591  add	x3, x3, #0x57c
0xfffffff0086f6c98: 02008052  mov	w2, #0
0xfffffff0086f6c9c: 25f1f097  bl	#0xfffffff008333130
0xfffffff0086f6ca0: 1d000014  b	#0xfffffff0086f6d14
0xfffffff0086f6ca4: e852ff90  adrp	x8, #0xfffffff007152000
0xfffffff0086f6ca8: 08c90e91  add	x8, x8, #0x3b2
0xfffffff0086f6cac: e80300f9  str	x8, [sp]
0xfffffff0086f6cb0: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6cb4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6cb8: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6cbc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6cc0: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6cc4: 63581591  add	x3, x3, #0x556
0xfffffff0086f6cc8: 02008052  mov	w2, #0
0xfffffff0086f6ccc: 19f1f097  bl	#0xfffffff008333130
0xfffffff0086f6cd0: 11000014  b	#0xfffffff0086f6d14
0xfffffff0086f6cd4: 68f259f9  ldr	x8, [x19, #0x33e0]
0xfffffff0086f6cd8: 01810091  add	x1, x8, #0x20
0xfffffff0086f6cdc: a20301d1  sub	x2, x29, #0x40
0xfffffff0086f6ce0: 92000094  bl	#0xfffffff0086f6f28
0xfffffff0086f6ce4: 40020034  cbz	w0, #0xfffffff0086f6d2c
0xfffffff0086f6ce8: e852ff90  adrp	x8, #0xfffffff007152000
0xfffffff0086f6cec: 08c90e91  add	x8, x8, #0x3b2
0xfffffff0086f6cf0: e80300f9  str	x8, [sp]
0xfffffff0086f6cf4: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6cf8: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6cfc: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6d00: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6d04: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6d08: 63f01691  add	x3, x3, #0x5bc
0xfffffff0086f6d0c: 02008052  mov	w2, #0
0xfffffff0086f6d10: 08f1f097  bl	#0xfffffff008333130
0xfffffff0086f6d14: 60da59f9  ldr	x0, [x19, #0x33b0]
0xfffffff0086f6d18: 61f259f9  ldr	x1, [x19, #0x33e0]
0xfffffff0086f6d1c: 02008052  mov	w2, #0
0xfffffff0086f6d20: 1f720094  bl	#0xfffffff00871359c
0xfffffff0086f6d24: 00008012  mov	w0, #-1
0xfffffff0086f6d28: 52000014  b	#0xfffffff0086f6e70
0xfffffff0086f6d2c: b85f7829  ldp	w24, w23, [x29, #-0x40]
