; Candidate 11521
; ADRP+ADD at VM 0xfffffff008f76d98 (fileoff 0x1f72d98): page=0x1fe4ac000 add_imm=0xe04

0xfffffff008f76d18: 113d80d2  mov	x17, #0x1e8
0xfffffff008f76d1c: 1002118b  add	x16, x16, x17
0xfffffff008f76d20: 080240f9  ldr	x8, [x16]
0xfffffff008f76d24: e90310aa  mov	x9, x16
0xfffffff008f76d28: 010080d2  mov	x1, #0
0xfffffff008f76d2c: f10309aa  mov	x17, x9
0xfffffff008f76d30: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008f76d34: 11093fd7  blraa	x8, x17
0xfffffff008f76d38: 13000014  b	#0xfffffff008f76d84
0xfffffff008f76d3c: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d40: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f76d44: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f76d48: 6825ff90  adrp	x8, #0xfffffff007422000
0xfffffff008f76d4c: 08d13791  add	x8, x8, #0xdf4
0xfffffff008f76d50: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff008f76d54: f52300a9  stp	x21, x8, [sp]
0xfffffff008f76d58: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d5c: 00003791  add	x0, x0, #0xdc0
0xfffffff008f76d60: 10000014  b	#0xfffffff008f76da0
0xfffffff008f76d64: a8735c38  ldurb	w8, [x29, #-0x39]
0xfffffff008f76d68: a9635c38  ldurb	w9, [x29, #-0x3a]
0xfffffff008f76d6c: 68031037  tbnz	w8, #2, #0xfffffff008f76dd8
0xfffffff008f76d70: 3f010171  cmp	w9, #0x40
0xfffffff008f76d74: a2030054  b.hs	#0xfffffff008f76de8
0xfffffff008f76d78: 1f000014  b	#0xfffffff008f76df4
0xfffffff008f76d7c: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d80: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f76d84: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f76d88: 6825ff90  adrp	x8, #0xfffffff007422000
0xfffffff008f76d8c: 08d13791  add	x8, x8, #0xdf4
0xfffffff008f76d90: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff008f76d94: f52300a9  stp	x21, x8, [sp]
0xfffffff008f76d98: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d9c: 00103891  add	x0, x0, #0xe04
0xfffffff008f76da0: a080cf97  bl	#0xfffffff008357020
0xfffffff008f76da4: ff830091  add	sp, sp, #0x20
0xfffffff008f76da8: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008f76dac: 895dffb0  adrp	x9, #0xfffffff007b27000
0xfffffff008f76db0: 291940f9  ldr	x9, [x9, #0x30]
0xfffffff008f76db4: 290140f9  ldr	x9, [x9]
0xfffffff008f76db8: 3f0108eb  cmp	x9, x8
0xfffffff008f76dbc: e11e0054  b.ne	#0xfffffff008f77198
0xfffffff008f76dc0: bfc300d1  sub	sp, x29, #0x30
0xfffffff008f76dc4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008f76dc8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008f76dcc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008f76dd0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008f76dd4: ff0f5fd6  retab	
0xfffffff008f76dd8: 2a051c12  and	w10, w9, #0x30
0xfffffff008f76ddc: 3ffd0071  cmp	w9, #0x3f
0xfffffff008f76de0: 4499407a  ccmp	w10, #0, #4, ls
0xfffffff008f76de4: 81000054  b.ne	#0xfffffff008f76df4
0xfffffff008f76de8: e00313aa  mov	x0, x19
0xfffffff008f76dec: d7210094  bl	#0xfffffff008f7f548
0xfffffff008f76df0: a8735c38  ldurb	w8, [x29, #-0x39]
0xfffffff008f76df4: 88060837  tbnz	w8, #1, #0xfffffff008f76ec4
0xfffffff008f76df8: e8063037  tbnz	w8, #6, #0xfffffff008f76ed4
0xfffffff008f76dfc: 68151837  tbnz	w8, #3, #0xfffffff008f770a8
0xfffffff008f76e00: e8002836  tbz	w8, #5, #0xfffffff008f76e1c
0xfffffff008f76e04: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff008f76e08: c1588052  mov	w1, #0x2c6
0xfffffff008f76e0c: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff008f76e10: 020080d2  mov	x2, #0
0xfffffff008f76e14: 8c561f94  bl	#0xfffffff00974c844
