; Candidate 934
; ADRP+ADD at VM 0xfffffff00810ac10 (fileoff 0x1106c10): page=0x2139000 add_imm=0xe58

0xfffffff00810ab90: e80313aa  mov	x8, x19
0xfffffff00810ab94: 130540f9  ldr	x19, [x8, #8]
0xfffffff00810ab98: 1f0008eb  cmp	x0, x8
0xfffffff00810ab9c: 60feff54  b.eq	#0xfffffff00810ab68
0xfffffff00810aba0: e90300aa  mov	x9, x0
0xfffffff00810aba4: 208d40f8  ldr	x0, [x9, #8]!
0xfffffff00810aba8: 1f0008eb  cmp	x0, x8
0xfffffff00810abac: a1ffff54  b.ne	#0xfffffff00810aba0
0xfffffff00810abb0: 330100f9  str	x19, [x9]
0xfffffff00810abb4: f3fdffb5  cbnz	x19, #0xfffffff00810ab70
0xfffffff00810abb8: e00308aa  mov	x0, x8
0xfffffff00810abbc: 02000014  b	#0xfffffff00810abc4
0xfffffff00810abc0: e9030091  mov	x9, sp
0xfffffff00810abc4: e90700f9  str	x9, [sp, #8]
0xfffffff00810abc8: 1f0500f9  str	xzr, [x8, #8]
0xfffffff00810abcc: 61008052  mov	w1, #3
0xfffffff00810abd0: 22008052  mov	w2, #1
0xfffffff00810abd4: 03008052  mov	w3, #0
0xfffffff00810abd8: 04008052  mov	w4, #0
0xfffffff00810abdc: 86000094  bl	#0xfffffff00810adf4
0xfffffff00810abe0: e80b40f9  ldr	x8, [sp, #0x10]
0xfffffff00810abe4: 080300b5  cbnz	x8, #0xfffffff00810ac44
0xfffffff00810abe8: e80340f9  ldr	x8, [sp]
0xfffffff00810abec: 880300b5  cbnz	x8, #0xfffffff00810ac5c
0xfffffff00810abf0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00810abf4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00810abf8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00810abfc: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00810ac00: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00810ac04: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff00810ac08: ff030291  add	sp, sp, #0x80
0xfffffff00810ac0c: ff0f5fd6  retab	
0xfffffff00810ac10: c00901b0  adrp	x0, #0xfffffff00a243000
0xfffffff00810ac14: 00603991  add	x0, x0, #0xe58
0xfffffff00810ac18: e10313aa  mov	x1, x19
0xfffffff00810ac1c: 02008052  mov	w2, #0
0xfffffff00810ac20: b683f297  bl	#0xfffffff007dabaf8
0xfffffff00810ac24: 92ffff17  b	#0xfffffff00810aa6c
0xfffffff00810ac28: c00901b0  adrp	x0, #0xfffffff00a243000
0xfffffff00810ac2c: 00603991  add	x0, x0, #0xe58
0xfffffff00810ac30: e10313aa  mov	x1, x19
0xfffffff00810ac34: cc86f297  bl	#0xfffffff007dac764
0xfffffff00810ac38: e00b40f9  ldr	x0, [sp, #0x10]
0xfffffff00810ac3c: c0f7ffb5  cbnz	x0, #0xfffffff00810ab34
0xfffffff00810ac40: c6ffff17  b	#0xfffffff00810ab58
0xfffffff00810ac44: 807bff90  adrp	x0, #0xfffffff00707a000
0xfffffff00810ac48: 00003291  add	x0, x0, #0xc80
0xfffffff00810ac4c: 817bff90  adrp	x1, #0xfffffff00707a000
0xfffffff00810ac50: 21783091  add	x1, x1, #0xc1e
0xfffffff00810ac54: 22948052  mov	w2, #0x4a1
0xfffffff00810ac58: ef520e94  bl	#0xfffffff00849f814
0xfffffff00810ac5c: 807bff90  adrp	x0, #0xfffffff00707a000
0xfffffff00810ac60: 004c3291  add	x0, x0, #0xc93
0xfffffff00810ac64: 817bff90  adrp	x1, #0xfffffff00707a000
0xfffffff00810ac68: 21783091  add	x1, x1, #0xc1e
0xfffffff00810ac6c: 42948052  mov	w2, #0x4a2
0xfffffff00810ac70: e9520e94  bl	#0xfffffff00849f814
0xfffffff00810ac74: 7f2303d5  pacibsp	
0xfffffff00810ac78: ff0301d1  sub	sp, sp, #0x40
0xfffffff00810ac7c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00810ac80: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00810ac84: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00810ac88: fdc30091  add	x29, sp, #0x30
0xfffffff00810ac8c: a00000b4  cbz	x0, #0xfffffff00810aca0
