; Candidate 10769
; ADRP+ADD at VM 0xfffffff008de5ff0 (fileoff 0x1de1ff0): page=0x1fe5df000 add_imm=0xe15

0xfffffff008de5f70: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008de5f74: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008de5f78: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008de5f7c: ff430291  add	sp, sp, #0x90
0xfffffff008de5f80: ff0f5fd6  retab	
0xfffffff008de5f84: f50300aa  mov	x21, x0
0xfffffff008de5f88: a87e4093  sxtw	x8, w21
0xfffffff008de5f8c: a9028152  mov	w9, #0x815
0xfffffff008de5f90: ea2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de5f94: 4a490d91  add	x10, x10, #0x352
0xfffffff008de5f98: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de5f9c: e92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de5fa0: 29493991  add	x9, x9, #0xe52
0xfffffff008de5fa4: eb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de5fa8: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de5fac: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de5fb0: eb0300f9  str	x11, [sp]
0xfffffff008de5fb4: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5fb8: 00543891  add	x0, x0, #0xe15
0xfffffff008de5fbc: 19c4d597  bl	#0xfffffff008357020
0xfffffff008de5fc0: c8088052  mov	w8, #0x46
0xfffffff008de5fc4: deffff17  b	#0xfffffff008de5f3c
0xfffffff008de5fc8: c8028152  mov	w8, #0x816
0xfffffff008de5fcc: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de5fd0: 29490d91  add	x9, x9, #0x352
0xfffffff008de5fd4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de5fd8: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de5fdc: 08493991  add	x8, x8, #0xe52
0xfffffff008de5fe0: ea2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de5fe4: 4aad1b91  add	x10, x10, #0x6eb
0xfffffff008de5fe8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de5fec: ea0300f9  str	x10, [sp]
0xfffffff008de5ff0: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5ff4: 00543891  add	x0, x0, #0xe15
0xfffffff008de5ff8: 0ac4d597  bl	#0xfffffff008357020
0xfffffff008de5ffc: c8088052  mov	w8, #0x46
0xfffffff008de6000: 95008012  mov	w21, #-5
0xfffffff008de6004: ceffff17  b	#0xfffffff008de5f3c
0xfffffff008de6008: a87e4093  sxtw	x8, w21
0xfffffff008de600c: 69038152  mov	w9, #0x81b
0xfffffff008de6010: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de6014: 4a490d91  add	x10, x10, #0x352
0xfffffff008de6018: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de601c: e92effd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de6020: 29493991  add	x9, x9, #0xe52
0xfffffff008de6024: eb2effd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de6028: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de602c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de6030: eb0300f9  str	x11, [sp]
0xfffffff008de6034: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de6038: 00543891  add	x0, x0, #0xe15
0xfffffff008de603c: f9c3d597  bl	#0xfffffff008357020
0xfffffff008de6040: c8088052  mov	w8, #0x46
0xfffffff008de6044: beffff17  b	#0xfffffff008de5f3c
0xfffffff008de6048: 7f2303d5  pacibsp	
0xfffffff008de604c: ff8306d1  sub	sp, sp, #0x1a0
0xfffffff008de6050: fc6f14a9  stp	x28, x27, [sp, #0x140]
0xfffffff008de6054: fa6715a9  stp	x26, x25, [sp, #0x150]
0xfffffff008de6058: f85f16a9  stp	x24, x23, [sp, #0x160]
0xfffffff008de605c: f65717a9  stp	x22, x21, [sp, #0x170]
0xfffffff008de6060: f44f18a9  stp	x20, x19, [sp, #0x180]
0xfffffff008de6064: fd7b19a9  stp	x29, x30, [sp, #0x190]
0xfffffff008de6068: fd430691  add	x29, sp, #0x190
0xfffffff008de606c: f30307aa  mov	x19, x7
