; Candidate 7207
; ADRP+ADD at VM 0xfffffff00885f354 (fileoff 0x185b354): page=0x1fe9c8000 add_imm=0xe3f

0xfffffff00885f2d4: b6530194  bl	#0xfffffff0088b41ac
0xfffffff00885f2d8: a08314f8  stur	x0, [x29, #-0xb8]
0xfffffff00885f2dc: a0008052  mov	w0, #5
0xfffffff00885f2e0: 5c710094  bl	#0xfffffff00887b850
0xfffffff00885f2e4: 190d0034  cbz	w25, #0xfffffff00885f484
0xfffffff00885f2e8: 88024079  ldrh	w8, [x20]
0xfffffff00885f2ec: aee776a9  ldp	x14, x25, [x29, #-0x98]
0xfffffff00885f2f0: 295740f9  ldr	x9, [x25, #0xa8]
0xfffffff00885f2f4: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff00885f2f8: 6b5b40b9  ldr	w11, [x27, #0x58]
0xfffffff00885f2fc: 2cc740b9  ldr	w12, [x25, #0xc4]
0xfffffff00885f300: 4d4340b9  ldr	w13, [x26, #0x40]
0xfffffff00885f304: ce0540b9  ldr	w14, [x14, #4]
0xfffffff00885f308: 0f7b40b9  ldr	w15, [x24, #0x78]
0xfffffff00885f30c: 108340b9  ldr	w16, [x24, #0x80]
0xfffffff00885f310: 31ab43b9  ldr	w17, [x25, #0x3a8]
0xfffffff00885f314: fc270aa9  stp	x28, x9, [sp, #0xa0]
0xfffffff00885f318: fa4709a9  stp	x26, x17, [sp, #0x90]
0xfffffff00885f31c: ef4308a9  stp	x15, x16, [sp, #0x80]
0xfffffff00885f320: ed3b07a9  stp	x13, x14, [sp, #0x70]
0xfffffff00885f324: e83306a9  stp	x8, x12, [sp, #0x60]
0xfffffff00885f328: eb5f05a9  stp	x11, x23, [sp, #0x50]
0xfffffff00885f32c: f86f04a9  stp	x24, x27, [sp, #0x40]
0xfffffff00885f330: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff00885f334: 28578052  mov	w8, #0x2b9
0xfffffff00885f338: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885f33c: 29792491  add	x9, x9, #0x91e
0xfffffff00885f340: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885f344: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885f348: 08811191  add	x8, x8, #0x460
0xfffffff00885f34c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885f350: 880c8052  mov	w8, #0x64
0xfffffff00885f354: 404eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885f358: 00fc3891  add	x0, x0, #0xe3f
0xfffffff00885f35c: e80700f9  str	x8, [sp, #8]
0xfffffff00885f360: a88354f8  ldur	x8, [x29, #-0xb8]
0xfffffff00885f364: e80300f9  str	x8, [sp]
0xfffffff00885f368: 3e60d597  bl	#0xfffffff007db7460
0xfffffff00885f36c: ea0319aa  mov	x10, x25
0xfffffff00885f370: 19008052  mov	w25, #0
0xfffffff00885f374: 70000014  b	#0xfffffff00885f534
0xfffffff00885f378: 9f2403d5  bti	j
0xfffffff00885f37c: 19008052  mov	w25, #0
0xfffffff00885f380: 1f2700b9  str	wzr, [x24, #0x24]
0xfffffff00885f384: 9a000014  b	#0xfffffff00885f5ec
0xfffffff00885f388: 9f2403d5  bti	j
0xfffffff00885f38c: 397d8012  mov	w25, #-0x3ea
0xfffffff00885f390: 97000014  b	#0xfffffff00885f5ec
0xfffffff00885f394: 9f2403d5  bti	j
0xfffffff00885f398: 48008052  mov	w8, #2
0xfffffff00885f39c: 082700b9  str	w8, [x24, #0x24]
0xfffffff00885f3a0: ab8356f8  ldur	x11, [x29, #-0x98]
0xfffffff00885f3a4: 68014839  ldrb	w8, [x11, #0x200]
0xfffffff00885f3a8: c80c0034  cbz	w8, #0xfffffff00885f540
0xfffffff00885f3ac: 68bf4391  add	x8, x27, #0xef, lsl #12
0xfffffff00885f3b0: 08512a91  add	x8, x8, #0xa94
0xfffffff00885f3b4: 69df40b9  ldr	w9, [x27, #0xdc]
0xfffffff00885f3b8: 3f090071  cmp	w9, #2
0xfffffff00885f3bc: 21110054  b.ne	#0xfffffff00885f5e0
0xfffffff00885f3c0: 69954439  ldrb	w9, [x11, #0x125]
0xfffffff00885f3c4: c9100034  cbz	w9, #0xfffffff00885f5dc
0xfffffff00885f3c8: 08a10291  add	x8, x8, #0xa8
0xfffffff00885f3cc: 85000014  b	#0xfffffff00885f5e0
0xfffffff00885f3d0: 9f2403d5  bti	j
