; Candidate 16831
; ADRP+ADD at VM 0xfffffff009f7e748 (fileoff 0x2f7a748): page=0x456000 add_imm=0xd48

0xfffffff009f7e6c8: 100040f9  ldr	x16, [x0]
0xfffffff009f7e6cc: f10300aa  mov	x17, x0
0xfffffff009f7e6d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f7e6d4: 301ac1da  autda	x16, x17
0xfffffff009f7e6d8: 11e180d2  mov	x17, #0x708
0xfffffff009f7e6dc: 1002118b  add	x16, x16, x17
0xfffffff009f7e6e0: 080240f9  ldr	x8, [x16]
0xfffffff009f7e6e4: e90310aa  mov	x9, x16
0xfffffff009f7e6e8: f10309aa  mov	x17, x9
0xfffffff009f7e6ec: b181e2f2  movk	x17, #0x140d, lsl #48
0xfffffff009f7e6f0: 11093fd7  blraa	x8, x17
0xfffffff009f7e6f4: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff009f7e6f8: 600100b4  cbz	x0, #0xfffffff009f7e724
0xfffffff009f7e6fc: 01338052  mov	w1, #0x198
0xfffffff009f7e700: 02008052  mov	w2, #0
0xfffffff009f7e704: 03338052  mov	w3, #0x198
0xfffffff009f7e708: 3e367797  bl	#0xfffffff007d4c000
0xfffffff009f7e70c: 614a40f9  ldr	x1, [x19, #0x90]
0xfffffff009f7e710: 7f4a00f9  str	xzr, [x19, #0x90]
0xfffffff009f7e714: 20eefed0  adrp	x0, #0xfffffff007d44000
0xfffffff009f7e718: 00600c91  add	x0, x0, #0x318
0xfffffff009f7e71c: fc5f8f97  bl	#0xfffffff00835670c
0xfffffff009f7e720: 7f4a00f9  str	xzr, [x19, #0x90]
0xfffffff009f7e724: e00313aa  mov	x0, x19
0xfffffff009f7e728: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f7e72c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f7e730: ff2303d5  autibsp	
0xfffffff009f7e734: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009f7e738: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009f7e740
0xfffffff009f7e73c: 208e38d4  brk	#0xc471
0xfffffff009f7e740: 7a90ff17  b	#0xfffffff009f62928
0xfffffff009f7e744: 5f2403d5  bti	c
0xfffffff009f7e748: a02200d0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f7e74c: 00203591  add	x0, x0, #0xd48
0xfffffff009f7e750: c0035fd6  ret	
0xfffffff009f7e754: 7f2303d5  pacibsp	
0xfffffff009f7e758: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f7e75c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f7e760: fd430091  add	x29, sp, #0x10
0xfffffff009f7e764: f30300aa  mov	x19, x0
0xfffffff009f7e768: f6159097  bl	#0xfffffff008383f40
0xfffffff009f7e76c: 20eefed0  adrp	x0, #0xfffffff007d44000
0xfffffff009f7e770: 00600991  add	x0, x0, #0x258
0xfffffff009f7e774: e10313aa  mov	x1, x19
0xfffffff009f7e778: 02138052  mov	w2, #0x98
0xfffffff009f7e77c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f7e780: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f7e784: ff2303d5  autibsp	
0xfffffff009f7e788: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009f7e78c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009f7e794
0xfffffff009f7e790: 208e38d4  brk	#0xc471
0xfffffff009f7e794: c2a38d17  b	#0xfffffff0082e769c
0xfffffff009f7e798: 5f2403d5  bti	c
0xfffffff009f7e79c: e9159017  b	#0xfffffff008383f40
0xfffffff009f7e7a0: 7f2303d5  pacibsp	
0xfffffff009f7e7a4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f7e7a8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f7e7ac: fd430091  add	x29, sp, #0x10
0xfffffff009f7e7b0: 20eefed0  adrp	x0, #0xfffffff007d44000
0xfffffff009f7e7b4: 00600991  add	x0, x0, #0x258
0xfffffff009f7e7b8: 01138052  mov	w1, #0x98
0xfffffff009f7e7bc: 9fa38d97  bl	#0xfffffff0082e7638
0xfffffff009f7e7c0: f30300aa  mov	x19, x0
0xfffffff009f7e7c4: b42200d0  adrp	x20, #0xfffffff00a3d4000
