; Candidate 11497
; ADRP+ADD at VM 0xfffffff008f61c8c (fileoff 0x1f5dc8c): page=0x1fe4be000 add_imm=0xe85

0xfffffff008f61c0c: ea25ffd0  adrp	x10, #0xfffffff00741f000
0xfffffff008f61c10: 4ad53f91  add	x10, x10, #0xff5
0xfffffff008f61c14: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008f61c18: ea2300a9  stp	x10, x8, [sp]
0xfffffff008f61c1c: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61c20: 00143a91  add	x0, x0, #0xe85
0xfffffff008f61c24: 3acad497  bl	#0xfffffff00849450c
0xfffffff008f61c28: 7f2303d5  pacibsp	
0xfffffff008f61c2c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008f61c30: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f61c34: fd830091  add	x29, sp, #0x20
0xfffffff008f61c38: e8108052  mov	w8, #0x87
0xfffffff008f61c3c: e925ffd0  adrp	x9, #0xfffffff00741f000
0xfffffff008f61c40: 29a13991  add	x9, x9, #0xe68
0xfffffff008f61c44: ea25fff0  adrp	x10, #0xfffffff007420000
0xfffffff008f61c48: 4a390091  add	x10, x10, #0xe
0xfffffff008f61c4c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008f61c50: ea2300a9  stp	x10, x8, [sp]
0xfffffff008f61c54: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61c58: 00143a91  add	x0, x0, #0xe85
0xfffffff008f61c5c: 2ccad497  bl	#0xfffffff00849450c
0xfffffff008f61c60: 7f2303d5  pacibsp	
0xfffffff008f61c64: ffc300d1  sub	sp, sp, #0x30
0xfffffff008f61c68: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f61c6c: fd830091  add	x29, sp, #0x20
0xfffffff008f61c70: 08128052  mov	w8, #0x90
0xfffffff008f61c74: e925ffd0  adrp	x9, #0xfffffff00741f000
0xfffffff008f61c78: 29a13991  add	x9, x9, #0xe68
0xfffffff008f61c7c: ea25fff0  adrp	x10, #0xfffffff007420000
0xfffffff008f61c80: 4a810091  add	x10, x10, #0x20
0xfffffff008f61c84: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008f61c88: ea2300a9  stp	x10, x8, [sp]
0xfffffff008f61c8c: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61c90: 00143a91  add	x0, x0, #0xe85
0xfffffff008f61c94: 1ecad497  bl	#0xfffffff00849450c
0xfffffff008f61c98: 7f2303d5  pacibsp	
0xfffffff008f61c9c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008f61ca0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f61ca4: fd830091  add	x29, sp, #0x20
0xfffffff008f61ca8: 28138052  mov	w8, #0x99
0xfffffff008f61cac: e925ffd0  adrp	x9, #0xfffffff00741f000
0xfffffff008f61cb0: 29a13991  add	x9, x9, #0xe68
0xfffffff008f61cb4: ea25fff0  adrp	x10, #0xfffffff007420000
0xfffffff008f61cb8: 4ad50091  add	x10, x10, #0x35
0xfffffff008f61cbc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008f61cc0: ea2300a9  stp	x10, x8, [sp]
0xfffffff008f61cc4: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61cc8: 00143a91  add	x0, x0, #0xe85
0xfffffff008f61ccc: 10cad497  bl	#0xfffffff00849450c
0xfffffff008f61cd0: 7f2303d5  pacibsp	
0xfffffff008f61cd4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f61cd8: fd030091  mov	x29, sp
0xfffffff008f61cdc: e125fff0  adrp	x1, #0xfffffff007420000
0xfffffff008f61ce0: 21201e91  add	x1, x1, #0x788
0xfffffff008f61ce4: 025effd0  adrp	x2, #0xfffffff007b23000
0xfffffff008f61ce8: 424c43f9  ldr	x2, [x2, #0x698]
0xfffffff008f61cec: 03138052  mov	w3, #0x98
0xfffffff008f61cf0: 9207ce97  bl	#0xfffffff0082e3b38
0xfffffff008f61cf4: 105effd0  adrp	x16, #0xfffffff007b23000
0xfffffff008f61cf8: 10a23791  add	x16, x16, #0xde8
0xfffffff008f61cfc: 10420091  add	x16, x16, #0x10
0xfffffff008f61d00: f10300aa  mov	x17, x0
0xfffffff008f61d04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f61d08: 300ac1da  pacda	x16, x17
