; Candidate 7869
; ADRP+ADD at VM 0xfffffff0088850cc (fileoff 0x18810cc): page=0x1fe964000 add_imm=0xe80

0xfffffff00888504c: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff008885050: e90310aa  mov	x9, x16
0xfffffff008885054: 01008052  mov	w1, #0
0xfffffff008885058: f10309aa  mov	x17, x9
0xfffffff00888505c: b150f2f2  movk	x17, #0x9285, lsl #48
0xfffffff008885060: 11093fd7  blraa	x8, x17
0xfffffff008885064: 600240f9  ldr	x0, [x19]
0xfffffff008885068: 100040f9  ldr	x16, [x0]
0xfffffff00888506c: f10300aa  mov	x17, x0
0xfffffff008885070: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008885074: 301ac1da  autda	x16, x17
0xfffffff008885078: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00888507c: e90310aa  mov	x9, x16
0xfffffff008885080: f10309aa  mov	x17, x9
0xfffffff008885084: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008885088: 11093fd7  blraa	x8, x17
0xfffffff00888508c: 7f0200f9  str	xzr, [x19]
0xfffffff008885090: 18000014  b	#0xfffffff0088850f0
0xfffffff008885094: 46bc0094  bl	#0xfffffff0088b41ac
0xfffffff008885098: f40300aa  mov	x20, x0
0xfffffff00888509c: 80008052  mov	w0, #4
0xfffffff0088850a0: ecd9ff97  bl	#0xfffffff00887b850
0xfffffff0088850a4: 084dfff0  adrp	x8, #0xfffffff007228000
0xfffffff0088850a8: 08311091  add	x8, x8, #0x40c
0xfffffff0088850ac: 09178052  mov	w9, #0xb8
0xfffffff0088850b0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088850b4: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff0088850b8: 08dd1491  add	x8, x8, #0x537
0xfffffff0088850bc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088850c0: c80a8052  mov	w8, #0x56
0xfffffff0088850c4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088850c8: f40300f9  str	x20, [sp]
0xfffffff0088850cc: 204bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088850d0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088850d4: 018cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088850d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088850dc: a34efff0  adrp	x3, #0xfffffff00725c000
0xfffffff0088850e0: 63581091  add	x3, x3, #0x416
0xfffffff0088850e4: 02008052  mov	w2, #0
0xfffffff0088850e8: 12b8ea97  bl	#0xfffffff008333130
0xfffffff0088850ec: 347d8012  mov	w20, #-0x3ea
0xfffffff0088850f0: e00314aa  mov	x0, x20
0xfffffff0088850f4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0088850f8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088850fc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008885100: ffc30191  add	sp, sp, #0x70
0xfffffff008885104: ff0f5fd6  retab	
0xfffffff008885108: 5f2403d5  bti	c
0xfffffff00888510c: 3f100071  cmp	w1, #4
0xfffffff008885110: 28010054  b.hi	#0xfffffff008885134
0xfffffff008885114: ff4300d1  sub	sp, sp, #0x10
0xfffffff008885118: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff00888511c: 081d40f9  ldr	x8, [x8, #0x38]
0xfffffff008885120: 08c962b8  ldr	w8, [x8, w2, sxtw]
0xfffffff008885124: e80f00b9  str	w8, [sp, #0xc]
0xfffffff008885128: e00f40b9  ldr	w0, [sp, #0xc]
0xfffffff00888512c: ff430091  add	sp, sp, #0x10
0xfffffff008885130: c0035fd6  ret	
0xfffffff008885134: 00008052  mov	w0, #0
0xfffffff008885138: c0035fd6  ret	
0xfffffff00888513c: 5f2403d5  bti	c
0xfffffff008885140: 3f100071  cmp	w1, #4
0xfffffff008885144: 28010054  b.hi	#0xfffffff008885168
0xfffffff008885148: ff4300d1  sub	sp, sp, #0x10
