; Candidate 14424
; ADRP+ADD at VM 0xfffffff0097801d4 (fileoff 0x277c1d4): page=0x1fde1a000 add_imm=0xec3

0xfffffff009780154: 413b0054  b.ne	#0xfffffff0097808bc
0xfffffff009780158: 700240f9  ldr	x16, [x19]
0xfffffff00978015c: f10313aa  mov	x17, x19
0xfffffff009780160: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009780164: 301ac1da  autda	x16, x17
0xfffffff009780168: 112980d2  mov	x17, #0x148
0xfffffff00978016c: 1002118b  add	x16, x16, x17
0xfffffff009780170: 080240f9  ldr	x8, [x16]
0xfffffff009780174: e90310aa  mov	x9, x16
0xfffffff009780178: 61f0fef0  adrp	x1, #0xfffffff00758f000
0xfffffff00978017c: 212c0691  add	x1, x1, #0x18b
0xfffffff009780180: e00313aa  mov	x0, x19
0xfffffff009780184: f10309aa  mov	x17, x9
0xfffffff009780188: 1144ebf2  movk	x17, #0x5a20, lsl #48
0xfffffff00978018c: 11093fd7  blraa	x8, x17
0xfffffff009780190: a01d00b4  cbz	x0, #0xfffffff009780544
0xfffffff009780194: f70300aa  mov	x23, x0
0xfffffff009780198: a824ffd0  adrp	x8, #0xfffffff007c16000
0xfffffff00978019c: 087542f9  ldr	x8, [x8, #0x4e8]
0xfffffff0097801a0: 010140f9  ldr	x1, [x8]
0xfffffff0097801a4: d48ead97  bl	#0xfffffff0082e3cf4
0xfffffff0097801a8: 003700b4  cbz	x0, #0xfffffff009780888
0xfffffff0097801ac: 100040f9  ldr	x16, [x0]
0xfffffff0097801b0: f10300aa  mov	x17, x0
0xfffffff0097801b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097801b8: 301ac1da  autda	x16, x17
0xfffffff0097801bc: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0097801c0: e90310aa  mov	x9, x16
0xfffffff0097801c4: f10309aa  mov	x17, x9
0xfffffff0097801c8: 910cf4f2  movk	x17, #0xa064, lsl #48
0xfffffff0097801cc: 11093fd7  blraa	x8, x17
0xfffffff0097801d0: e00300f9  str	x0, [sp]
0xfffffff0097801d4: c0f0fed0  adrp	x0, #0xfffffff00759a000
0xfffffff0097801d8: 000c3b91  add	x0, x0, #0xec3
0xfffffff0097801dc: ad010014  b	#0xfffffff009780890
0xfffffff0097801e0: c0f0fed0  adrp	x0, #0xfffffff00759a000
0xfffffff0097801e4: 00143d91  add	x0, x0, #0xf45
0xfffffff0097801e8: 8e5baf97  bl	#0xfffffff008357020
0xfffffff0097801ec: 700240f9  ldr	x16, [x19]
0xfffffff0097801f0: f10313aa  mov	x17, x19
0xfffffff0097801f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097801f8: 301ac1da  autda	x16, x17
0xfffffff0097801fc: 112980d2  mov	x17, #0x148
0xfffffff009780200: 1002118b  add	x16, x16, x17
0xfffffff009780204: 080240f9  ldr	x8, [x16]
0xfffffff009780208: e90310aa  mov	x9, x16
0xfffffff00978020c: 61f0fe90  adrp	x1, #0xfffffff00758c000
0xfffffff009780210: 21183591  add	x1, x1, #0xd46
0xfffffff009780214: e00313aa  mov	x0, x19
0xfffffff009780218: f10309aa  mov	x17, x9
0xfffffff00978021c: 1144ebf2  movk	x17, #0x5a20, lsl #48
0xfffffff009780220: 11093fd7  blraa	x8, x17
0xfffffff009780224: f70300aa  mov	x23, x0
0xfffffff009780228: 700240f9  ldr	x16, [x19]
0xfffffff00978022c: f10313aa  mov	x17, x19
0xfffffff009780230: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009780234: 301ac1da  autda	x16, x17
0xfffffff009780238: f10310aa  mov	x17, x16
0xfffffff00978023c: f147c1da  xpacd	x17
0xfffffff009780240: 1f0211eb  cmp	x16, x17
0xfffffff009780244: 40000054  b.eq	#0xfffffff00978024c
0xfffffff009780248: 408e38d4  brk	#0xc472
0xfffffff00978024c: 08220591  add	x8, x16, #0x148
0xfffffff009780250: 09a640f9  ldr	x9, [x16, #0x148]
