; Candidate 8476
; ADRP+ADD at VM 0xfffffff0088acfdc (fileoff 0x18a8fdc): page=0x1fe93d000 add_imm=0xe80

0xfffffff0088acf5c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088acf60: f60300f9  str	x22, [sp]
0xfffffff0088acf64: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088acf68: 00003a91  add	x0, x0, #0xe80
0xfffffff0088acf6c: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088acf70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088acf74: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088acf78: 63942d91  add	x3, x3, #0xb65
0xfffffff0088acf7c: 02008052  mov	w2, #0
0xfffffff0088acf80: 6c18ea97  bl	#0xfffffff008333130
0xfffffff0088acf84: e00315aa  mov	x0, x21
0xfffffff0088acf88: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088acf8c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088acf90: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088acf94: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088acf98: ff030291  add	sp, sp, #0x80
0xfffffff0088acf9c: ff0f5fd6  retab	
0xfffffff0088acfa0: 831c0094  bl	#0xfffffff0088b41ac
0xfffffff0088acfa4: f60300aa  mov	x22, x0
0xfffffff0088acfa8: 80008052  mov	w0, #4
0xfffffff0088acfac: 293aff97  bl	#0xfffffff00887b850
0xfffffff0088acfb0: e80315aa  mov	x8, x21
0xfffffff0088acfb4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088acfb8: 284bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088acfbc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088acfc0: 898c8052  mov	w9, #0x464
0xfffffff0088acfc4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088acfc8: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088acfcc: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acfd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088acfd4: c80f8052  mov	w8, #0x7e
0xfffffff0088acfd8: f62300a9  stp	x22, x8, [sp]
0xfffffff0088acfdc: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088acfe0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088acfe4: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088acfe8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088acfec: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088acff0: 63982c91  add	x3, x3, #0xb26
0xfffffff0088acff4: 02008052  mov	w2, #0
0xfffffff0088acff8: 4e18ea97  bl	#0xfffffff008333130
0xfffffff0088acffc: b6ffff17  b	#0xfffffff0088aced4
0xfffffff0088ad000: 7f2303d5  pacibsp	
0xfffffff0088ad004: ff0304d1  sub	sp, sp, #0x100
0xfffffff0088ad008: fc6f0aa9  stp	x28, x27, [sp, #0xa0]
0xfffffff0088ad00c: fa670ba9  stp	x26, x25, [sp, #0xb0]
0xfffffff0088ad010: f85f0ca9  stp	x24, x23, [sp, #0xc0]
0xfffffff0088ad014: f6570da9  stp	x22, x21, [sp, #0xd0]
0xfffffff0088ad018: f44f0ea9  stp	x20, x19, [sp, #0xe0]
0xfffffff0088ad01c: fd7b0fa9  stp	x29, x30, [sp, #0xf0]
0xfffffff0088ad020: fdc30391  add	x29, sp, #0xf0
0xfffffff0088ad024: fa0307aa  mov	x26, x7
0xfffffff0088ad028: f90306aa  mov	x25, x6
0xfffffff0088ad02c: f80305aa  mov	x24, x5
0xfffffff0088ad030: f70304aa  mov	x23, x4
0xfffffff0088ad034: f60303aa  mov	x22, x3
0xfffffff0088ad038: f50302aa  mov	x21, x2
0xfffffff0088ad03c: f40301aa  mov	x20, x1
0xfffffff0088ad040: f30300aa  mov	x19, x0
0xfffffff0088ad044: a91740b9  ldr	w9, [x29, #0x14]
0xfffffff0088ad048: a81340b9  ldr	w8, [x29, #0x10]
0xfffffff0088ad04c: a9a339a9  stp	x9, x8, [x29, #-0x68]
0xfffffff0088ad050: c00f8052  mov	w0, #0x7e
0xfffffff0088ad054: c1008052  mov	w1, #6
0xfffffff0088ad058: de39ff97  bl	#0xfffffff00887b7d0
