; Candidate 16861
; ADRP+ADD at VM 0xfffffff009f879b0 (fileoff 0x2f839b0): page=0x1fd8e6000 add_imm=0xed0

0xfffffff009f87930: 21482491  add	x1, x1, #0x912
0xfffffff009f87934: 7d6c0094  bl	#0xfffffff009fa2b28
0xfffffff009f87938: e00313aa  mov	x0, x19
0xfffffff009f8793c: e10317aa  mov	x1, x23
0xfffffff009f87940: 7a6c0094  bl	#0xfffffff009fa2b28
0xfffffff009f87944: e00313aa  mov	x0, x19
0xfffffff009f87948: 21c7fed0  adrp	x1, #0xfffffff00786d000
0xfffffff009f8794c: 21cc2791  add	x1, x1, #0x9f3
0xfffffff009f87950: 766c0094  bl	#0xfffffff009fa2b28
0xfffffff009f87954: e00313aa  mov	x0, x19
0xfffffff009f87958: 21c7fed0  adrp	x1, #0xfffffff00786d000
0xfffffff009f8795c: 210c2891  add	x1, x1, #0xa03
0xfffffff009f87960: 726c0094  bl	#0xfffffff009fa2b28
0xfffffff009f87964: e00313aa  mov	x0, x19
0xfffffff009f87968: 21c7fed0  adrp	x1, #0xfffffff00786d000
0xfffffff009f8796c: 21442891  add	x1, x1, #0xa11
0xfffffff009f87970: 6e6c0094  bl	#0xfffffff009fa2b28
0xfffffff009f87974: e00313aa  mov	x0, x19
0xfffffff009f87978: 21c7fed0  adrp	x1, #0xfffffff00786d000
0xfffffff009f8797c: 217c2891  add	x1, x1, #0xa1f
0xfffffff009f87980: 6a6c0094  bl	#0xfffffff009fa2b28
0xfffffff009f87984: e00313aa  mov	x0, x19
0xfffffff009f87988: 21c7fed0  adrp	x1, #0xfffffff00786d000
0xfffffff009f8798c: 21b42891  add	x1, x1, #0xa2d
0xfffffff009f87990: 666c0094  bl	#0xfffffff009fa2b28
0xfffffff009f87994: 20c7fed0  adrp	x0, #0xfffffff00786d000
0xfffffff009f87998: 001c3b91  add	x0, x0, #0xec7
0xfffffff009f8799c: 010080d2  mov	x1, #0
0xfffffff009f879a0: 626c0094  bl	#0xfffffff009fa2b28
0xfffffff009f879a4: 1f000071  cmp	w0, #0
0xfffffff009f879a8: e8179f1a  cset	w8, eq
0xfffffff009f879ac: e88b00b9  str	w8, [sp, #0x88]
0xfffffff009f879b0: 20c7fed0  adrp	x0, #0xfffffff00786d000
0xfffffff009f879b4: 00403b91  add	x0, x0, #0xed0
0xfffffff009f879b8: 010080d2  mov	x1, #0
0xfffffff009f879bc: 5b6c0094  bl	#0xfffffff009fa2b28
0xfffffff009f879c0: 1f000071  cmp	w0, #0
0xfffffff009f879c4: e8179f1a  cset	w8, eq
0xfffffff009f879c8: e88700b9  str	w8, [sp, #0x84]
0xfffffff009f879cc: 20c7fed0  adrp	x0, #0xfffffff00786d000
0xfffffff009f879d0: 00643b91  add	x0, x0, #0xed9
0xfffffff009f879d4: 010080d2  mov	x1, #0
0xfffffff009f879d8: 546c0094  bl	#0xfffffff009fa2b28
0xfffffff009f879dc: 1f000071  cmp	w0, #0
0xfffffff009f879e0: e8179f1a  cset	w8, eq
0xfffffff009f879e4: e88300b9  str	w8, [sp, #0x80]
0xfffffff009f879e8: 20c7fed0  adrp	x0, #0xfffffff00786d000
0xfffffff009f879ec: 009c3b91  add	x0, x0, #0xee7
0xfffffff009f879f0: 01028052  mov	w1, #0x10
0xfffffff009f879f4: ce6b0094  bl	#0xfffffff009fa292c
0xfffffff009f879f8: 1f000071  cmp	w0, #0
0xfffffff009f879fc: e8179f1a  cset	w8, eq
0xfffffff009f87a00: e87b00b9  str	w8, [sp, #0x78]
0xfffffff009f87a04: 20c7fed0  adrp	x0, #0xfffffff00786d000
0xfffffff009f87a08: 00f83b91  add	x0, x0, #0xefe
0xfffffff009f87a0c: 01028052  mov	w1, #0x10
0xfffffff009f87a10: c76b0094  bl	#0xfffffff009fa292c
0xfffffff009f87a14: 1f000071  cmp	w0, #0
0xfffffff009f87a18: e8179f1a  cset	w8, eq
0xfffffff009f87a1c: e86f00b9  str	w8, [sp, #0x6c]
0xfffffff009f87a20: 20c7fed0  adrp	x0, #0xfffffff00786d000
0xfffffff009f87a24: 00543c91  add	x0, x0, #0xf15
0xfffffff009f87a28: 01028052  mov	w1, #0x10
0xfffffff009f87a2c: c06b0094  bl	#0xfffffff009fa292c
