; Candidate 8567
; ADRP+ADD at VM 0xfffffff0088b2634 (fileoff 0x18ae634): page=0x1fe937000 add_imm=0xe80

0xfffffff0088b25b4: f70300aa  mov	x23, x0
0xfffffff0088b25b8: e00316aa  mov	x0, x22
0xfffffff0088b25bc: a524ff97  bl	#0xfffffff00887b850
0xfffffff0088b25c0: 68b240f9  ldr	x8, [x19, #0x160]
0xfffffff0088b25c4: 698647f9  ldr	x9, [x19, #0xf08]
0xfffffff0088b25c8: 6a8a47f9  ldr	x10, [x19, #0xf10]
0xfffffff0088b25cc: 6b7e47f9  ldr	x11, [x19, #0xef8]
0xfffffff0088b25d0: 6cb64129  ldp	w12, w13, [x19, #0xc]
0xfffffff0088b25d4: 6ebe4229  ldp	w14, w15, [x19, #0x14]
0xfffffff0088b25d8: 70c64329  ldp	w16, w17, [x19, #0x1c]
0xfffffff0088b25dc: 612640b9  ldr	w1, [x19, #0x24]
0xfffffff0088b25e0: 624e41b9  ldr	w2, [x19, #0x14c]
0xfffffff0088b25e4: 635241b9  ldr	w3, [x19, #0x150]
0xfffffff0088b25e8: 645a41b9  ldr	w4, [x19, #0x158]
0xfffffff0088b25ec: 656a41b9  ldr	w5, [x19, #0x168]
0xfffffff0088b25f0: 662a4fb9  ldr	w6, [x19, #0xf28]
0xfffffff0088b25f4: 670640b9  ldr	w7, [x19, #4]
0xfffffff0088b25f8: eb1f0aa9  stp	x11, x7, [sp, #0xa0]
0xfffffff0088b25fc: ea1b09a9  stp	x10, x6, [sp, #0x90]
0xfffffff0088b2600: e52708a9  stp	x5, x9, [sp, #0x80]
0xfffffff0088b2604: e42307a9  stp	x4, x8, [sp, #0x70]
0xfffffff0088b2608: e20f06a9  stp	x2, x3, [sp, #0x60]
0xfffffff0088b260c: f10705a9  stp	x17, x1, [sp, #0x50]
0xfffffff0088b2610: ef4304a9  stp	x15, x16, [sp, #0x40]
0xfffffff0088b2614: ed3b03a9  stp	x13, x14, [sp, #0x30]
0xfffffff0088b2618: f33302a9  stp	x19, x12, [sp, #0x20]
0xfffffff0088b261c: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b2620: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b2624: e80314aa  mov	x8, x20
0xfffffff0088b2628: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b262c: 63f03391  add	x3, x3, #0xcfc
0xfffffff0088b2630: f72300a9  stp	x23, x8, [sp]
0xfffffff0088b2634: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b2638: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b263c: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b2640: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b2644: 02008052  mov	w2, #0
0xfffffff0088b2648: ba02ea97  bl	#0xfffffff008333130
0xfffffff0088b264c: 22000014  b	#0xfffffff0088b26d4
0xfffffff0088b2650: 68b240f9  ldr	x8, [x19, #0x160]
0xfffffff0088b2654: 698647f9  ldr	x9, [x19, #0xf08]
0xfffffff0088b2658: 6a8a47f9  ldr	x10, [x19, #0xf10]
0xfffffff0088b265c: 6b7e47f9  ldr	x11, [x19, #0xef8]
0xfffffff0088b2660: 6cb64129  ldp	w12, w13, [x19, #0xc]
0xfffffff0088b2664: 6ebe4229  ldp	w14, w15, [x19, #0x14]
0xfffffff0088b2668: 70c64329  ldp	w16, w17, [x19, #0x1c]
0xfffffff0088b266c: 602640b9  ldr	w0, [x19, #0x24]
0xfffffff0088b2670: 614e41b9  ldr	w1, [x19, #0x14c]
0xfffffff0088b2674: 625241b9  ldr	w2, [x19, #0x150]
0xfffffff0088b2678: 635a41b9  ldr	w3, [x19, #0x158]
0xfffffff0088b267c: 646a41b9  ldr	w4, [x19, #0x168]
0xfffffff0088b2680: 652a4fb9  ldr	w5, [x19, #0xf28]
0xfffffff0088b2684: 660640b9  ldr	w6, [x19, #4]
0xfffffff0088b2688: eb9b08a9  stp	x11, x6, [sp, #0x88]
0xfffffff0088b268c: ea9707a9  stp	x10, x5, [sp, #0x78]
0xfffffff0088b2690: e4a706a9  stp	x4, x9, [sp, #0x68]
0xfffffff0088b2694: e3a305a9  stp	x3, x8, [sp, #0x58]
0xfffffff0088b2698: e18b04a9  stp	x1, x2, [sp, #0x48]
0xfffffff0088b269c: f18303a9  stp	x17, x0, [sp, #0x38]
0xfffffff0088b26a0: efc302a9  stp	x15, x16, [sp, #0x28]
0xfffffff0088b26a4: edbb01a9  stp	x13, x14, [sp, #0x18]
0xfffffff0088b26a8: f3b300a9  stp	x19, x12, [sp, #8]
0xfffffff0088b26ac: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b26b0: 834dffd0  adrp	x3, #0xfffffff007264000
