; Candidate 2664
; ADRP+ADD at VM 0xfffffff0086d8f40 (fileoff 0x16d4f40): page=0x1fea59000 add_imm=0xd90

0xfffffff0086d8ec0: 6c090133  bfxil	w12, w11, #1, #2
0xfffffff0086d8ec4: 6c0d0333  bfxil	w12, w11, #3, #1
0xfffffff0086d8ec8: 89090833  bfi	w9, w12, #0x18, #3
0xfffffff0086d8ecc: a98205b9  str	w9, [x21, #0x580]
0xfffffff0086d8ed0: 40c1ca3c  ldur	q0, [x10, #0xac]
0xfffffff0086d8ed4: 41c1cb3c  ldur	q1, [x10, #0xbc]
0xfffffff0086d8ed8: 42c1cc3c  ldur	q2, [x10, #0xcc]
0xfffffff0086d8edc: 018904ad  stp	q1, q2, [x8, #0x90]
0xfffffff0086d8ee0: 0021803d  str	q0, [x8, #0x80]
0xfffffff0086d8ee4: 49c14df8  ldur	x9, [x10, #0xdc]
0xfffffff0086d8ee8: 095900f9  str	x9, [x8, #0xb0]
0xfffffff0086d8eec: 49414ef8  ldur	x9, [x10, #0xe4]
0xfffffff0086d8ef0: 095d00f9  str	x9, [x8, #0xb8]
0xfffffff0086d8ef4: 88ca4bb9  ldr	w8, [x20, #0xbc8]
0xfffffff0086d8ef8: 1f051f72  tst	w8, #6
0xfffffff0086d8efc: 60030054  b.eq	#0xfffffff0086d8f68
0xfffffff0086d8f00: 48031837  tbnz	w8, #3, #0xfffffff0086d8f68
0xfffffff0086d8f04: a853fff0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d8f08: 08490a91  add	x8, x8, #0x292
0xfffffff0086d8f0c: e80300f9  str	x8, [sp]
0xfffffff0086d8f10: c052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086d8f14: 00403691  add	x0, x0, #0xd90
0xfffffff0086d8f18: 2199ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d8f1c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d8f20: c352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086d8f24: 63040991  add	x3, x3, #0x241
0xfffffff0086d8f28: 02008052  mov	w2, #0
0xfffffff0086d8f2c: 8168f197  bl	#0xfffffff008333130
0xfffffff0086d8f30: 0c000014  b	#0xfffffff0086d8f60
0xfffffff0086d8f34: a853fff0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d8f38: 08490a91  add	x8, x8, #0x292
0xfffffff0086d8f3c: e80300f9  str	x8, [sp]
0xfffffff0086d8f40: c052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086d8f44: 00403691  add	x0, x0, #0xd90
0xfffffff0086d8f48: 2199ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d8f4c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d8f50: c352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086d8f54: 63380891  add	x3, x3, #0x20e
0xfffffff0086d8f58: 02008052  mov	w2, #0
0xfffffff0086d8f5c: 7568f197  bl	#0xfffffff008333130
0xfffffff0086d8f60: 00008012  mov	w0, #-1
0xfffffff0086d8f64: 1c000014  b	#0xfffffff0086d8fd4
0xfffffff0086d8f68: 88323091  add	x8, x20, #0xc0c
0xfffffff0086d8f6c: 0001c03d  ldr	q0, [x8]
0xfffffff0086d8f70: a8121791  add	x8, x21, #0x5c4
0xfffffff0086d8f74: 0001803d  str	q0, [x8]
0xfffffff0086d8f78: 9f320cb9  str	wzr, [x20, #0xc30]
0xfffffff0086d8f7c: 88364cb9  ldr	w8, [x20, #0xc34]
0xfffffff0086d8f80: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0086d8f84: 2afd44b9  ldr	w10, [x9, #0x4fc]
0xfffffff0086d8f88: 0a010f33  bfi	w10, w8, #0x11, #1
0xfffffff0086d8f8c: 2afd04b9  str	w10, [x9, #0x4fc]
0xfffffff0086d8f90: 88364cb9  ldr	w8, [x20, #0xc34]
0xfffffff0086d8f94: e8010034  cbz	w8, #0xfffffff0086d8fd0
0xfffffff0086d8f98: 00008052  mov	w0, #0
0xfffffff0086d8f9c: 88d23091  add	x8, x20, #0xc34
0xfffffff0086d8fa0: 0900b252  mov	w9, #-0x70000000
0xfffffff0086d8fa4: a9d605b9  str	w9, [x21, #0x5d4]
0xfffffff0086d8fa8: 8a1e4cb9  ldr	w10, [x20, #0xc1c]
0xfffffff0086d8fac: 49010933  bfi	w9, w10, #0x17, #1
0xfffffff0086d8fb0: a9d605b9  str	w9, [x21, #0x5d4]
0xfffffff0086d8fb4: a9621791  add	x9, x21, #0x5d8
0xfffffff0086d8fb8: 800ac33d  ldr	q0, [x20, #0xc20]
0xfffffff0086d8fbc: 2001803d  str	q0, [x9]
