; Candidate 7256
; ADRP+ADD at VM 0xfffffff0088636d8 (fileoff 0x185f6d8): page=0x1fe986000 add_imm=0xe80

0xfffffff008863658: 4ab92791  add	x10, x10, #0x9ee
0xfffffff00886365c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008863660: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008863664: e8588052  mov	w8, #0x2c7
0xfffffff008863668: 094effb0  adrp	x9, #0xfffffff007224000
0xfffffff00886366c: 29b92391  add	x9, x9, #0x8ee
0xfffffff008863670: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008863674: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff008863678: 08811191  add	x8, x8, #0x460
0xfffffff00886367c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008863680: 680c8052  mov	w8, #0x63
0xfffffff008863684: 204effb0  adrp	x0, #0xfffffff007228000
0xfffffff008863688: 00902d91  add	x0, x0, #0xb64
0xfffffff00886368c: d9ffff17  b	#0xfffffff0088635f0
0xfffffff008863690: c7420194  bl	#0xfffffff0088b41ac
0xfffffff008863694: f40300aa  mov	x20, x0
0xfffffff008863698: a0008052  mov	w0, #5
0xfffffff00886369c: 6d600094  bl	#0xfffffff00887b850
0xfffffff0088636a0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088636a4: 69a240b9  ldr	w9, [x19, #0xa0]
0xfffffff0088636a8: 557e8012  mov	w21, #-0x3f3
0xfffffff0088636ac: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff0088636b0: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088636b4: e8568052  mov	w8, #0x2b7
0xfffffff0088636b8: 094effb0  adrp	x9, #0xfffffff007224000
0xfffffff0088636bc: 29b92391  add	x9, x9, #0x8ee
0xfffffff0088636c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088636c4: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff0088636c8: 08811191  add	x8, x8, #0x460
0xfffffff0088636cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088636d0: 680c8052  mov	w8, #0x63
0xfffffff0088636d4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088636d8: 204cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088636dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088636e0: 218dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088636e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088636e8: 834ffff0  adrp	x3, #0xfffffff007256000
0xfffffff0088636ec: 632c1691  add	x3, x3, #0x58b
0xfffffff0088636f0: 02008052  mov	w2, #0
0xfffffff0088636f4: 8f3eeb97  bl	#0xfffffff008333130
0xfffffff0088636f8: f40315aa  mov	x20, x21
0xfffffff0088636fc: c5000014  b	#0xfffffff008863a10
0xfffffff008863700: ab420194  bl	#0xfffffff0088b41ac
0xfffffff008863704: f50300aa  mov	x21, x0
0xfffffff008863708: 80008052  mov	w0, #4
0xfffffff00886370c: 51600094  bl	#0xfffffff00887b850
0xfffffff008863710: e80314aa  mov	x8, x20
0xfffffff008863714: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008863718: 6aea40b9  ldr	w10, [x19, #0xe8]
0xfffffff00886371c: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff008863720: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff008863724: 684dffb0  adrp	x8, #0xfffffff007210000
0xfffffff008863728: 0bb92791  add	x11, x8, #0x9ee
0xfffffff00886372c: e8578052  mov	w8, #0x2bf
0xfffffff008863730: 094effb0  adrp	x9, #0xfffffff007224000
0xfffffff008863734: 29b92391  add	x9, x9, #0x8ee
0xfffffff008863738: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff00886373c: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff008863740: 08811191  add	x8, x8, #0x460
0xfffffff008863744: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008863748: 680c8052  mov	w8, #0x63
0xfffffff00886374c: 834ffff0  adrp	x3, #0xfffffff007256000
0xfffffff008863750: 63f41691  add	x3, x3, #0x5bd
0xfffffff008863754: e88300a9  stp	x8, x0, [sp, #8]
