; Candidate 12352
; ADRP+ADD at VM 0xfffffff00908cda8 (fileoff 0x2088da8): page=0x1fe3d1000 add_imm=0xe74

0xfffffff00908cd28: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908cd2c: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cd30: 00903891  add	x0, x0, #0xe24
0xfffffff00908cd34: bb28cb97  bl	#0xfffffff008357020
0xfffffff00908cd38: e00313aa  mov	x0, x19
0xfffffff00908cd3c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00908cd40: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00908cd44: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00908cd48: ff830191  add	sp, sp, #0x60
0xfffffff00908cd4c: ff0f5fd6  retab	
0xfffffff00908cd50: 087c4093  sxtw	x8, w0
0xfffffff00908cd54: 29328052  mov	w9, #0x191
0xfffffff00908cd58: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908cd5c: 4aa12f91  add	x10, x10, #0xbe8
0xfffffff00908cd60: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00908cd64: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908cd68: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00908cd6c: 8b1eff90  adrp	x11, #0xfffffff00745c000
0xfffffff00908cd70: 6b151f91  add	x11, x11, #0x7c5
0xfffffff00908cd74: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908cd78: eb0300f9  str	x11, [sp]
0xfffffff00908cd7c: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cd80: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908cd84: a728cb97  bl	#0xfffffff008357020
0xfffffff00908cd88: a8024039  ldrb	w8, [x21]
0xfffffff00908cd8c: 1f190171  cmp	w8, #0x46
0xfffffff00908cd90: 28010054  b.hi	#0xfffffff00908cdb4
0xfffffff00908cd94: 881effb0  adrp	x8, #0xfffffff00745d000
0xfffffff00908cd98: 08693991  add	x8, x8, #0xe5a
0xfffffff00908cd9c: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cda0: 29792f91  add	x9, x9, #0xbde
0xfffffff00908cda4: e92300a9  stp	x9, x8, [sp]
0xfffffff00908cda8: 801effb0  adrp	x0, #0xfffffff00745d000
0xfffffff00908cdac: 00d03991  add	x0, x0, #0xe74
0xfffffff00908cdb0: 9c28cb97  bl	#0xfffffff008357020
0xfffffff00908cdb4: 93008012  mov	w19, #-5
0xfffffff00908cdb8: 1b000014  b	#0xfffffff00908ce24
0xfffffff00908cdbc: 687e4093  sxtw	x8, w19
0xfffffff00908cdc0: 89328052  mov	w9, #0x194
0xfffffff00908cdc4: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908cdc8: 4aa12f91  add	x10, x10, #0xbe8
0xfffffff00908cdcc: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00908cdd0: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908cdd4: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00908cdd8: 6b1effd0  adrp	x11, #0xfffffff00745a000
0xfffffff00908cddc: 6b290291  add	x11, x11, #0x8a
0xfffffff00908cde0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908cde4: eb0300f9  str	x11, [sp]
0xfffffff00908cde8: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cdec: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908cdf0: 8c28cb97  bl	#0xfffffff008357020
0xfffffff00908cdf4: a8024039  ldrb	w8, [x21]
0xfffffff00908cdf8: 1f190171  cmp	w8, #0x46
0xfffffff00908cdfc: 48010054  b.hi	#0xfffffff00908ce24
0xfffffff00908ce00: 881effb0  adrp	x8, #0xfffffff00745d000
0xfffffff00908ce04: 08693991  add	x8, x8, #0xe5a
0xfffffff00908ce08: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908ce0c: 29792f91  add	x9, x9, #0xbde
0xfffffff00908ce10: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff00908ce14: e90300f9  str	x9, [sp]
0xfffffff00908ce18: 801effb0  adrp	x0, #0xfffffff00745d000
0xfffffff00908ce1c: 00a03a91  add	x0, x0, #0xea8
0xfffffff00908ce20: 8028cb97  bl	#0xfffffff008357020
0xfffffff00908ce24: c8088052  mov	w8, #0x46
