; Candidate 2242
; ADRP+ADD at VM 0xfffffff0085bee98 (fileoff 0x15bae98): page=0x1feb3a000 add_imm=0xd2f

0xfffffff0085bee18: 2001c03d  ldr	q0, [x9]
0xfffffff0085bee1c: 0001803d  str	q0, [x8]
0xfffffff0085bee20: e00314aa  mov	x0, x20
0xfffffff0085bee24: c498f497  bl	#0xfffffff0082e5134
0xfffffff0085bee28: e00313aa  mov	x0, x19
0xfffffff0085bee2c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085bee30: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085bee34: ff0f5fd6  retab	
0xfffffff0085bee38: 7f2303d5  pacibsp	
0xfffffff0085bee3c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0085bee40: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0085bee44: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0085bee48: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0085bee4c: fd030191  add	x29, sp, #0x40
0xfffffff0085bee50: f40301aa  mov	x20, x1
0xfffffff0085bee54: f30300aa  mov	x19, x0
0xfffffff0085bee58: ff7f0039  strb	wzr, [sp, #0x1f]
0xfffffff0085bee5c: 100040f9  ldr	x16, [x0]
0xfffffff0085bee60: f10300aa  mov	x17, x0
0xfffffff0085bee64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bee68: 301ac1da  autda	x16, x17
0xfffffff0085bee6c: 113d80d2  mov	x17, #0x1e8
0xfffffff0085bee70: 1002118b  add	x16, x16, x17
0xfffffff0085bee74: 080240f9  ldr	x8, [x16]
0xfffffff0085bee78: e90310aa  mov	x9, x16
0xfffffff0085bee7c: 010080d2  mov	x1, #0
0xfffffff0085bee80: f10309aa  mov	x17, x9
0xfffffff0085bee84: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085bee88: 11093fd7  blraa	x8, x17
0xfffffff0085bee8c: d559ffb0  adrp	x21, #0xfffffff0070f7000
0xfffffff0085bee90: b5be1291  add	x21, x21, #0x4af
0xfffffff0085bee94: e05700a9  stp	x0, x21, [sp]
0xfffffff0085bee98: c059ffd0  adrp	x0, #0xfffffff0070f8000
0xfffffff0085bee9c: 00bc3491  add	x0, x0, #0xd2f
0xfffffff0085beea0: 6060f697  bl	#0xfffffff008357020
0xfffffff0085beea4: c89ffff0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085beea8: 084d41f9  ldr	x8, [x8, #0x298]
0xfffffff0085beeac: 010140f9  ldr	x1, [x8]
0xfffffff0085beeb0: e00314aa  mov	x0, x20
0xfffffff0085beeb4: 9093f497  bl	#0xfffffff0082e3cf4
0xfffffff0085beeb8: 606a00f9  str	x0, [x19, #0xd0]
0xfffffff0085beebc: 400500b4  cbz	x0, #0xfffffff0085bef64
0xfffffff0085beec0: 100040f9  ldr	x16, [x0]
0xfffffff0085beec4: f10300aa  mov	x17, x0
0xfffffff0085beec8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085beecc: 301ac1da  autda	x16, x17
0xfffffff0085beed0: 112380d2  mov	x17, #0x118
0xfffffff0085beed4: 1002118b  add	x16, x16, x17
0xfffffff0085beed8: 080240f9  ldr	x8, [x16]
0xfffffff0085beedc: e90310aa  mov	x9, x16
0xfffffff0085beee0: c159ffd0  adrp	x1, #0xfffffff0070f8000
0xfffffff0085beee4: 21dc3491  add	x1, x1, #0xd37
0xfffffff0085beee8: f10309aa  mov	x17, x9
0xfffffff0085beeec: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0085beef0: 11093fd7  blraa	x8, x17
0xfffffff0085beef4: c89ffff0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085beef8: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0085beefc: 140140f9  ldr	x20, [x8]
0xfffffff0085bef00: e10314aa  mov	x1, x20
0xfffffff0085bef04: 7c93f497  bl	#0xfffffff0082e3cf4
0xfffffff0085bef08: c00300b4  cbz	x0, #0xfffffff0085bef80
0xfffffff0085bef0c: e27f0091  add	x2, sp, #0x1f
0xfffffff0085bef10: e00313aa  mov	x0, x19
0xfffffff0085bef14: 41128052  mov	w1, #0x92
