; Candidate 14102
; ADRP+ADD at VM 0xfffffff009705d38 (fileoff 0x2701d38): page=0x1fde8c000 add_imm=0xda8

0xfffffff009705cb8: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009705cbc: 300ac1da  pacda	x16, x17
0xfffffff009705cc0: f04f06a9  stp	x16, x19, [sp, #0x60]
0xfffffff009705cc4: f6e30139  strb	w22, [sp, #0x78]
0xfffffff009705cc8: f53b00f9  str	x21, [sp, #0x70]
0xfffffff009705ccc: e2230191  add	x2, sp, #0x48
0xfffffff009705cd0: e00314aa  mov	x0, x20
0xfffffff009705cd4: e10315aa  mov	x1, x21
0xfffffff009705cd8: 27050094  bl	#0xfffffff009707174
0xfffffff009705cdc: 700240f9  ldr	x16, [x19]
0xfffffff009705ce0: f10313aa  mov	x17, x19
0xfffffff009705ce4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009705ce8: 301ac1da  autda	x16, x17
0xfffffff009705cec: 113d80d2  mov	x17, #0x1e8
0xfffffff009705cf0: 1002118b  add	x16, x16, x17
0xfffffff009705cf4: 080240f9  ldr	x8, [x16]
0xfffffff009705cf8: e90310aa  mov	x9, x16
0xfffffff009705cfc: e00313aa  mov	x0, x19
0xfffffff009705d00: 010080d2  mov	x1, #0
0xfffffff009705d04: f10309aa  mov	x17, x9
0xfffffff009705d08: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009705d0c: 11093fd7  blraa	x8, x17
0xfffffff009705d10: f80300aa  mov	x24, x0
0xfffffff009705d14: e00313aa  mov	x0, x19
0xfffffff009705d18: cffbb197  bl	#0xfffffff008384c54
0xfffffff009705d1c: e803002a  mov	w8, w0
0xfffffff009705d20: e85f02a9  stp	x8, x23, [sp, #0x20]
0xfffffff009705d24: e803162a  mov	w8, w22
0xfffffff009705d28: 39f4fef0  adrp	x25, #0xfffffff00758c000
0xfffffff009705d2c: 39772391  add	x25, x25, #0x8dd
0xfffffff009705d30: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff009705d34: f86700a9  stp	x24, x25, [sp]
0xfffffff009705d38: 60f4fe90  adrp	x0, #0xfffffff007591000
0xfffffff009705d3c: 00a03691  add	x0, x0, #0xda8
0xfffffff009705d40: b844b197  bl	#0xfffffff008357020
0xfffffff009705d44: e00313aa  mov	x0, x19
0xfffffff009705d48: c3fbb197  bl	#0xfffffff008384c54
0xfffffff009705d4c: 545700b4  cbz	x20, #0xfffffff009706834
0xfffffff009705d50: 355700b4  cbz	x21, #0xfffffff009706834
0xfffffff009705d54: 17570035  cbnz	w23, #0xfffffff009706834
0xfffffff009705d58: e0560037  tbnz	w0, #0, #0xfffffff009706834
0xfffffff009705d5c: d0060051  sub	w16, w22, #1
0xfffffff009705d60: 1f1a0071  cmp	w16, #6
0xfffffff009705d64: 88230054  b.hi	#0xfffffff0097061d4
0xfffffff009705d68: 1f1a00f1  cmp	x16, #6
0xfffffff009705d6c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff009705d70: 110000b0  adrp	x17, #0xfffffff009706000
0xfffffff009705d74: 31622691  add	x17, x17, #0x998
0xfffffff009705d78: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff009705d7c: 11000010  adr	x17, #0xfffffff009705d7c
0xfffffff009705d80: 3002108b  add	x16, x17, x16
0xfffffff009705d84: 00021fd6  br	x16
0xfffffff009705d88: 9f2403d5  bti	j
0xfffffff009705d8c: bf1e00f1  cmp	x21, #7
0xfffffff009705d90: 23550054  b.lo	#0xfffffff009706834
0xfffffff009705d94: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff009705d98: e05400b4  cbz	x0, #0xfffffff009706834
0xfffffff009705d9c: 100040f9  ldr	x16, [x0]
0xfffffff009705da0: f10300aa  mov	x17, x0
0xfffffff009705da4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009705da8: 301ac1da  autda	x16, x17
0xfffffff009705dac: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff009705db0: e90310aa  mov	x9, x16
0xfffffff009705db4: f10309aa  mov	x17, x9
