; Candidate 7037
; ADRP+ADD at VM 0xfffffff0088524b0 (fileoff 0x184e4b0): page=0x1fe997000 add_imm=0xe80

0xfffffff008852430: 63940791  add	x3, x3, #0x1e5
0xfffffff008852434: f72300a9  stp	x23, x8, [sp]
0xfffffff008852438: a04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885243c: 00003a91  add	x0, x0, #0xe80
0xfffffff008852440: a18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008852444: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008852448: 02008052  mov	w2, #0
0xfffffff00885244c: 3983eb97  bl	#0xfffffff008333130
0xfffffff008852450: 2affff17  b	#0xfffffff0088520f8
0xfffffff008852454: 56870194  bl	#0xfffffff0088b41ac
0xfffffff008852458: f60300aa  mov	x22, x0
0xfffffff00885245c: c0008052  mov	w0, #6
0xfffffff008852460: fca40094  bl	#0xfffffff00887b850
0xfffffff008852464: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff008852468: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff00885246c: 0a2e9552  mov	w10, #0xa970
0xfffffff008852470: 6a00a072  movk	w10, #3, lsl #16
0xfffffff008852474: 6b018052  mov	w11, #0xb
0xfffffff008852478: eb2b05a9  stp	x11, x10, [sp, #0x50]
0xfffffff00885247c: f82704a9  stp	x24, x9, [sp, #0x40]
0xfffffff008852480: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff008852484: 28758052  mov	w8, #0x3a9
0xfffffff008852488: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff00885248c: 29fd1891  add	x9, x9, #0x63f
0xfffffff008852490: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008852494: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff008852498: 08811191  add	x8, x8, #0x460
0xfffffff00885249c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088524a0: e80d8052  mov	w8, #0x6f
0xfffffff0088524a4: 0350ffb0  adrp	x3, #0xfffffff007253000
0xfffffff0088524a8: 63a80891  add	x3, x3, #0x22a
0xfffffff0088524ac: f62300a9  stp	x22, x8, [sp]
0xfffffff0088524b0: a04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088524b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088524b8: a18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088524bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088524c0: 02008052  mov	w2, #0
0xfffffff0088524c4: 1b83eb97  bl	#0xfffffff008333130
0xfffffff0088524c8: a2835bf8  ldur	x2, [x29, #-0x48]
0xfffffff0088524cc: e00313aa  mov	x0, x19
0xfffffff0088524d0: e10314aa  mov	x1, x20
0xfffffff0088524d4: 032e9552  mov	w3, #0xa970
0xfffffff0088524d8: 6300a072  movk	w3, #3, lsl #16
0xfffffff0088524dc: e40315aa  mov	x4, x21
0xfffffff0088524e0: 6deaff97  bl	#0xfffffff00884ce94
0xfffffff0088524e4: f60300aa  mov	x22, x0
0xfffffff0088524e8: 60040034  cbz	w0, #0xfffffff008852574
0xfffffff0088524ec: e00d8052  mov	w0, #0x6f
0xfffffff0088524f0: 81008052  mov	w1, #4
0xfffffff0088524f4: b7a40094  bl	#0xfffffff00887b7d0
0xfffffff0088524f8: 00e0ff34  cbz	w0, #0xfffffff0088520f8
0xfffffff0088524fc: e00d8052  mov	w0, #0x6f
0xfffffff008852500: c6a40094  bl	#0xfffffff00887b818
0xfffffff008852504: f80300aa  mov	x24, x0
0xfffffff008852508: 29870194  bl	#0xfffffff0088b41ac
0xfffffff00885250c: f70300aa  mov	x23, x0
0xfffffff008852510: 80008052  mov	w0, #4
0xfffffff008852514: cfa40094  bl	#0xfffffff00887b850
0xfffffff008852518: 38060034  cbz	w24, #0xfffffff0088525dc
0xfffffff00885251c: e80316aa  mov	x8, x22
0xfffffff008852520: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008852524: e83300f9  str	x8, [sp, #0x60]
0xfffffff008852528: 68018052  mov	w8, #0xb
0xfffffff00885252c: f52305a9  stp	x21, x8, [sp, #0x50]
