; Candidate 15809
; ADRP+ADD at VM 0xfffffff009d34680 (fileoff 0x2d30680): page=0x1fd93a000 add_imm=0xd32

0xfffffff009d34600: 290143f9  ldr	x9, [x9, #0x600]
0xfffffff009d34604: 290140f9  ldr	x9, [x9]
0xfffffff009d34608: 3f0108eb  cmp	x9, x8
0xfffffff009d3460c: 01010054  b.ne	#0xfffffff009d3462c
0xfffffff009d34610: fd7b58a9  ldp	x29, x30, [sp, #0x180]
0xfffffff009d34614: f44f57a9  ldp	x20, x19, [sp, #0x170]
0xfffffff009d34618: f65756a9  ldp	x22, x21, [sp, #0x160]
0xfffffff009d3461c: f85f55a9  ldp	x24, x23, [sp, #0x150]
0xfffffff009d34620: fc6f54a9  ldp	x28, x27, [sp, #0x140]
0xfffffff009d34624: ff430691  add	sp, sp, #0x190
0xfffffff009d34628: ff0f5fd6  retab	
0xfffffff009d3462c: 08a68097  bl	#0xfffffff007d5de4c
0xfffffff009d34630: 7f2303d5  pacibsp	
0xfffffff009d34634: ff0301d1  sub	sp, sp, #0x40
0xfffffff009d34638: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009d3463c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009d34640: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009d34644: fdc30091  add	x29, sp, #0x30
0xfffffff009d34648: f30300aa  mov	x19, x0
0xfffffff009d3464c: 55340090  adrp	x21, #0xfffffff00a3bc000
0xfffffff009d34650: b5421491  add	x21, x21, #0x510
0xfffffff009d34654: a80240b9  ldr	w8, [x21]
0xfffffff009d34658: d4c9fed0  adrp	x20, #0xfffffff00766e000
0xfffffff009d3465c: 940e3591  add	x20, x20, #0xd43
0xfffffff009d34660: c8000036  tbz	w8, #0, #0xfffffff009d34678
0xfffffff009d34664: f35300a9  stp	x19, x20, [sp]
0xfffffff009d34668: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d3466c: 00c83491  add	x0, x0, #0xd32
0xfffffff009d34670: b8eb9c97  bl	#0xfffffff00846f550
0xfffffff009d34674: a80240b9  ldr	w8, [x21]
0xfffffff009d34678: a8000836  tbz	w8, #1, #0xfffffff009d3468c
0xfffffff009d3467c: f35300a9  stp	x19, x20, [sp]
0xfffffff009d34680: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d34684: 00c83491  add	x0, x0, #0xd32
0xfffffff009d34688: 668a9897  bl	#0xfffffff008357020
0xfffffff009d3468c: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff009d34690: 400000b4  cbz	x0, #0xfffffff009d34698
0xfffffff009d34694: 6b369b97  bl	#0xfffffff008402040
0xfffffff009d34698: a1fefeb0  adrp	x1, #0xfffffff007d09000
0xfffffff009d3469c: 21f042f9  ldr	x1, [x1, #0x5e0]
0xfffffff009d346a0: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009d346a4: e00313aa  mov	x0, x19
0xfffffff009d346a8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009d346ac: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009d346b0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009d346b4: ff030191  add	sp, sp, #0x40
0xfffffff009d346b8: ff2303d5  autibsp	
0xfffffff009d346bc: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009d346c0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009d346c8
0xfffffff009d346c4: 208e38d4  brk	#0xc471
0xfffffff009d346c8: f10301aa  mov	x17, x1
0xfffffff009d346cc: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009d346d0: 110a1fd7  braa	x16, x17
0xfffffff009d346d4: 7f2303d5  pacibsp	
0xfffffff009d346d8: ff4301d1  sub	sp, sp, #0x50
0xfffffff009d346dc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009d346e0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009d346e4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009d346e8: fd030191  add	x29, sp, #0x40
0xfffffff009d346ec: f30301aa  mov	x19, x1
0xfffffff009d346f0: f40300aa  mov	x20, x0
0xfffffff009d346f4: 56340090  adrp	x22, #0xfffffff00a3bc000
0xfffffff009d346f8: d6421491  add	x22, x22, #0x510
0xfffffff009d346fc: c80240b9  ldr	w8, [x22]
