; Candidate 13723
; ADRP+ADD at VM 0xfffffff00955e4dc (fileoff 0x255a4dc): page=0x1fdffb000 add_imm=0xd5b

0xfffffff00955e45c: c8020035  cbnz	w8, #0xfffffff00955e4b4
0xfffffff00955e460: e00313aa  mov	x0, x19
0xfffffff00955e464: c1018052  mov	w1, #0xe
0xfffffff00955e468: 42008052  mov	w2, #2
0xfffffff00955e46c: 55240194  bl	#0xfffffff0095a75c0
0xfffffff00955e470: f60300aa  mov	x22, x0
0xfffffff00955e474: 613243b9  ldr	w1, [x19, #0x330]
0xfffffff00955e478: 682a43b9  ldr	w8, [x19, #0x328]
0xfffffff00955e47c: 1f010871  cmp	w8, #0x200
0xfffffff00955e480: 0217981a  cinc	w2, w24, eq
0xfffffff00955e484: e00313aa  mov	x0, x19
0xfffffff00955e488: 03008052  mov	w3, #0
0xfffffff00955e48c: f3f30094  bl	#0xfffffff00959b458
0xfffffff00955e490: 20030034  cbz	w0, #0xfffffff00955e4f4
0xfffffff00955e494: f80300aa  mov	x24, x0
0xfffffff00955e498: 087f4093  sxtw	x8, w24
0xfffffff00955e49c: e80300f9  str	x8, [sp]
0xfffffff00955e4a0: c0fffef0  adrp	x0, #0xfffffff007559000
0xfffffff00955e4a4: 00483791  add	x0, x0, #0xdd2
0xfffffff00955e4a8: ee63a197  bl	#0xfffffff007db7460
0xfffffff00955e4ac: 1b008052  mov	w27, #0
0xfffffff00955e4b0: 5a000014  b	#0xfffffff00955e618
0xfffffff00955e4b4: e00313aa  mov	x0, x19
0xfffffff00955e4b8: 52250194  bl	#0xfffffff0095a7a00
0xfffffff00955e4bc: 613243b9  ldr	w1, [x19, #0x330]
0xfffffff00955e4c0: e00313aa  mov	x0, x19
0xfffffff00955e4c4: e20315aa  mov	x2, x21
0xfffffff00955e4c8: e30316aa  mov	x3, x22
0xfffffff00955e4cc: 71000094  bl	#0xfffffff00955e690
0xfffffff00955e4d0: 80090034  cbz	w0, #0xfffffff00955e600
0xfffffff00955e4d4: 68720d91  add	x8, x19, #0x35c
0xfffffff00955e4d8: e80300a9  stp	x8, x0, [sp]
0xfffffff00955e4dc: c0fffef0  adrp	x0, #0xfffffff007559000
0xfffffff00955e4e0: 006c3591  add	x0, x0, #0xd5b
0xfffffff00955e4e4: df63a197  bl	#0xfffffff007db7460
0xfffffff00955e4e8: 16008052  mov	w22, #0
0xfffffff00955e4ec: 98038052  mov	w24, #0x1c
0xfffffff00955e4f0: 49000014  b	#0xfffffff00955e614
0xfffffff00955e4f4: 682a43b9  ldr	w8, [x19, #0x328]
0xfffffff00955e4f8: 692e43b9  ldr	w9, [x19, #0x32c]
0xfffffff00955e4fc: 1f010871  cmp	w8, #0x200
0xfffffff00955e500: 28008012  mov	w8, #-2
0xfffffff00955e504: 0805881a  cinc	w8, w8, ne
0xfffffff00955e508: 38008052  mov	w24, #1
0xfffffff00955e50c: 0217981a  cinc	w2, w24, eq
0xfffffff00955e510: 2101080b  add	w1, w9, w8
0xfffffff00955e514: e00313aa  mov	x0, x19
0xfffffff00955e518: 23008052  mov	w3, #1
0xfffffff00955e51c: 80f70094  bl	#0xfffffff00959c31c
0xfffffff00955e520: 68720d91  add	x8, x19, #0x35c
0xfffffff00955e524: 6a2e43b9  ldr	w10, [x19, #0x32c]
0xfffffff00955e528: e9031aaa  mov	x9, x26
0xfffffff00955e52c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00955e530: e80300f9  str	x8, [sp]
0xfffffff00955e534: c0fffef0  adrp	x0, #0xfffffff007559000
0xfffffff00955e538: 004c3891  add	x0, x0, #0xe13
0xfffffff00955e53c: c963a197  bl	#0xfffffff007db7460
0xfffffff00955e540: 7a2e03b9  str	w26, [x19, #0x32c]
0xfffffff00955e544: 680640b9  ldr	w8, [x19, #4]
0xfffffff00955e548: e90ac89a  udiv	x9, x23, x8
0xfffffff00955e54c: 2a7d089b  mul	x10, x9, x8
0xfffffff00955e550: 69aa00a9  stp	x9, x10, [x19, #8]
0xfffffff00955e554: 7fde02b9  str	wzr, [x19, #0x2dc]
0xfffffff00955e558: 0a408052  mov	w10, #0x200
