; Candidate 8069
; ADRP+ADD at VM 0xfffffff0088926d4 (fileoff 0x188e6d4): page=0x1fe957000 add_imm=0xe80

0xfffffff008892654: 89998052  mov	w9, #0x4cc
0xfffffff008892658: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889265c: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892660: 08611691  add	x8, x8, #0x598
0xfffffff008892664: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892668: 88098052  mov	w8, #0x4c
0xfffffff00889266c: e04cffb0  adrp	x0, #0xfffffff00722f000
0xfffffff008892670: 00f81091  add	x0, x0, #0x43e
0xfffffff008892674: f62300a9  stp	x22, x8, [sp]
0xfffffff008892678: 7a93d497  bl	#0xfffffff007db7460
0xfffffff00889267c: 43010014  b	#0xfffffff008892b88
0xfffffff008892680: cb860094  bl	#0xfffffff0088b41ac
0xfffffff008892684: f60300aa  mov	x22, x0
0xfffffff008892688: 80008052  mov	w0, #4
0xfffffff00889268c: 71a4ff97  bl	#0xfffffff00887b850
0xfffffff008892690: e80315aa  mov	x8, x21
0xfffffff008892694: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff008892698: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff00889269c: e9430291  add	x9, sp, #0x90
0xfffffff0088926a0: e8cf03a9  stp	x8, x19, [sp, #0x38]
0xfffffff0088926a4: e91b00f9  str	x9, [sp, #0x30]
0xfffffff0088926a8: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088926ac: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088926b0: 49968052  mov	w9, #0x4b2
0xfffffff0088926b4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088926b8: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff0088926bc: 08611691  add	x8, x8, #0x598
0xfffffff0088926c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088926c4: 88098052  mov	w8, #0x4c
0xfffffff0088926c8: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff0088926cc: 63102d91  add	x3, x3, #0xb44
0xfffffff0088926d0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088926d4: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088926d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088926dc: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088926e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088926e4: 02008052  mov	w2, #0
0xfffffff0088926e8: 9282ea97  bl	#0xfffffff008333130
0xfffffff0088926ec: 27010014  b	#0xfffffff008892b88
0xfffffff0088926f0: af860094  bl	#0xfffffff0088b41ac
0xfffffff0088926f4: f60300aa  mov	x22, x0
0xfffffff0088926f8: 80008052  mov	w0, #4
0xfffffff0088926fc: 55a4ff97  bl	#0xfffffff00887b850
0xfffffff008892700: e80315aa  mov	x8, x21
0xfffffff008892704: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892708: e8430291  add	x8, sp, #0x90
0xfffffff00889270c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892710: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892714: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892718: 09908052  mov	w9, #0x480
0xfffffff00889271c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892720: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892724: 08611691  add	x8, x8, #0x598
0xfffffff008892728: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889272c: 88098052  mov	w8, #0x4c
0xfffffff008892730: f62300a9  stp	x22, x8, [sp]
0xfffffff008892734: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892738: 00003a91  add	x0, x0, #0xe80
0xfffffff00889273c: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892740: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892744: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892748: 63102b91  add	x3, x3, #0xac4
0xfffffff00889274c: 02008052  mov	w2, #0
0xfffffff008892750: 7882ea97  bl	#0xfffffff008333130
