; Candidate 613
; ADRP+ADD at VM 0xfffffff007fc3c2c (fileoff 0xfbfc2c): page=0x1ff9b9000 add_imm=0xcf0

0xfffffff007fc3bac: fb130190  adrp	x27, #0xfffffff00a23f000
0xfffffff007fc3bb0: 681341f9  ldr	x8, [x27, #0x220]
0xfffffff007fc3bb4: a82600b4  cbz	x8, #0xfffffff007fc4088
0xfffffff007fc3bb8: 97a20191  add	x23, x20, #0x68
0xfffffff007fc3bbc: e00317aa  mov	x0, x23
0xfffffff007fc3bc0: 7ca7f797  bl	#0xfffffff007dad9b0
0xfffffff007fc3bc4: 881e41b9  ldr	w8, [x20, #0x11c]
0xfffffff007fc3bc8: 08040034  cbz	w8, #0xfffffff007fc3c48
0xfffffff007fc3bcc: 36028052  mov	w22, #0x11
0xfffffff007fc3bd0: e2000014  b	#0xfffffff007fc3f58
0xfffffff007fc3bd4: e0130190  adrp	x0, #0xfffffff00a23f000
0xfffffff007fc3bd8: 00800891  add	x0, x0, #0x220
0xfffffff007fc3bdc: 44460b94  bl	#0xfffffff0082954ec
0xfffffff007fc3be0: c0040034  cbz	w0, #0xfffffff007fc3c78
0xfffffff007fc3be4: f60300aa  mov	x22, x0
0xfffffff007fc3be8: 0885fff0  adrp	x8, #0xfffffff007066000
0xfffffff007fc3bec: 08153e91  add	x8, x8, #0xf85
0xfffffff007fc3bf0: e85b00a9  stp	x8, x22, [sp]
0xfffffff007fc3bf4: 4082ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007fc3bf8: 00000091  add	x0, x0, #0
0xfffffff007fc3bfc: a11201f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fc3c00: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fc3c04: 6387ff90  adrp	x3, #0xfffffff0070af000
0xfffffff007fc3c08: 63a80591  add	x3, x3, #0x16a
0xfffffff007fc3c0c: 02028052  mov	w2, #0x10
0xfffffff007fc3c10: 48bd0d94  bl	#0xfffffff008333130
0xfffffff007fc3c14: f5130190  adrp	x21, #0xfffffff00a23f000
0xfffffff007fc3c18: b41241f9  ldr	x20, [x21, #0x220]
0xfffffff007fc3c1c: 340100b4  cbz	x20, #0xfffffff007fc3c40
0xfffffff007fc3c20: 800240f9  ldr	x0, [x20]
0xfffffff007fc3c24: 9f0200f9  str	xzr, [x20]
0xfffffff007fc3c28: 2c240b94  bl	#0xfffffff00828ccd8
0xfffffff007fc3c2c: c0cdffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007fc3c30: 00c03391  add	x0, x0, #0xcf0
0xfffffff007fc3c34: e10314aa  mov	x1, x20
0xfffffff007fc3c38: f517f997  bl	#0xfffffff007e09c0c
0xfffffff007fc3c3c: bf1201f9  str	xzr, [x21, #0x220]
0xfffffff007fc3c40: 5f2b02b9  str	wzr, [x26, #0x228]
0xfffffff007fc3c44: e4000014  b	#0xfffffff007fc3fd4
0xfffffff007fc3c48: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff007fc3c4c: 08e940b9  ldr	w8, [x8, #0xe8]
0xfffffff007fc3c50: 892a40b9  ldr	w9, [x20, #0x28]
0xfffffff007fc3c54: 29751e53  lsl	w9, w9, #2
0xfffffff007fc3c58: 29017c92  and	x9, x9, #0x10
0xfffffff007fc3c5c: 0801098b  add	x8, x8, x9
0xfffffff007fc3c60: 09110091  add	x9, x8, #4
0xfffffff007fc3c64: 887a41b9  ldr	w8, [x20, #0x178]
0xfffffff007fc3c68: 3f0108eb  cmp	x9, x8
0xfffffff007fc3c6c: 690a0054  b.ls	#0xfffffff007fc3db8
0xfffffff007fc3c70: d60c8052  mov	w22, #0x66
0xfffffff007fc3c74: b9000014  b	#0xfffffff007fc3f58
0xfffffff007fc3c78: 1fff10a9  stp	xzr, xzr, [x24, #0x108]
0xfffffff007fc3c7c: a0a301d1  sub	x0, x29, #0x68
0xfffffff007fc3c80: 01008052  mov	w1, #0
0xfffffff007fc3c84: 02028052  mov	w2, #0x10
0xfffffff007fc3c88: ce23f697  bl	#0xfffffff007d4cbc0
0xfffffff007fc3c8c: a8120190  adrp	x8, #0xfffffff00a217000
0xfffffff007fc3c90: 081d44f9  ldr	x8, [x8, #0x838]
0xfffffff007fc3c94: e80e00b4  cbz	x8, #0xfffffff007fc3e70
0xfffffff007fc3c98: 01410191  add	x1, x8, #0x50
0xfffffff007fc3c9c: a0a301d1  sub	x0, x29, #0x68
0xfffffff007fc3ca0: 02028052  mov	w2, #0x10
0xfffffff007fc3ca4: 3b23f697  bl	#0xfffffff007d4c990
0xfffffff007fc3ca8: 08cafff0  adrp	x8, #0xfffffff007906000
