; Candidate 7223
; ADRP+ADD at VM 0xfffffff008861008 (fileoff 0x185d008): page=0x1fe988000 add_imm=0xe80

0xfffffff008860f88: 94da0d91  add	x20, x20, #0x376
0xfffffff008860f8c: 1c110034  cbz	w28, #0xfffffff0088611ac
0xfffffff008860f90: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008860f94: 08148052  mov	w8, #0xa0
0xfffffff008860f98: 894dffb0  adrp	x9, #0xfffffff007211000
0xfffffff008860f9c: 29892c91  add	x9, x9, #0xb22
0xfffffff008860fa0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008860fa4: 284efff0  adrp	x8, #0xfffffff007227000
0xfffffff008860fa8: 08811191  add	x8, x8, #0x460
0xfffffff008860fac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008860fb0: 680c8052  mov	w8, #0x63
0xfffffff008860fb4: 404eff90  adrp	x0, #0xfffffff007228000
0xfffffff008860fb8: 00f40c91  add	x0, x0, #0x33d
0xfffffff008860fbc: f62300a9  stp	x22, x8, [sp]
0xfffffff008860fc0: 2859d597  bl	#0xfffffff007db7460
0xfffffff008860fc4: 90000014  b	#0xfffffff008861204
0xfffffff008860fc8: 794c0194  bl	#0xfffffff0088b41ac
0xfffffff008860fcc: f60300aa  mov	x22, x0
0xfffffff008860fd0: 80008052  mov	w0, #4
0xfffffff008860fd4: 1f6a0094  bl	#0xfffffff00887b850
0xfffffff008860fd8: e8031aaa  mov	x8, x26
0xfffffff008860fdc: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008860fe0: c8128052  mov	w8, #0x96
0xfffffff008860fe4: 894dffb0  adrp	x9, #0xfffffff007211000
0xfffffff008860fe8: 29892c91  add	x9, x9, #0xb22
0xfffffff008860fec: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008860ff0: 284efff0  adrp	x8, #0xfffffff007227000
0xfffffff008860ff4: 08811191  add	x8, x8, #0x460
0xfffffff008860ff8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008860ffc: 680c8052  mov	w8, #0x63
0xfffffff008861000: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008861004: f60300f9  str	x22, [sp]
0xfffffff008861008: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886100c: 00003a91  add	x0, x0, #0xe80
0xfffffff008861010: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861014: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861018: a34fff90  adrp	x3, #0xfffffff007255000
0xfffffff00886101c: 63183691  add	x3, x3, #0xd86
0xfffffff008861020: 02008052  mov	w2, #0
0xfffffff008861024: 4348eb97  bl	#0xfffffff008333130
0xfffffff008861028: 77000014  b	#0xfffffff008861204
0xfffffff00886102c: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff008861030: e1008052  mov	w1, #7
0xfffffff008861034: 42008052  mov	w2, #2
0xfffffff008861038: 23008052  mov	w3, #1
0xfffffff00886103c: 24840094  bl	#0xfffffff0088820cc
0xfffffff008861040: 800e0034  cbz	w0, #0xfffffff008861210
0xfffffff008861044: fc0300aa  mov	x28, x0
0xfffffff008861048: 600c8052  mov	w0, #0x63
0xfffffff00886104c: 81008052  mov	w1, #4
0xfffffff008861050: e0690094  bl	#0xfffffff00887b7d0
0xfffffff008861054: 20d2ff34  cbz	w0, #0xfffffff008860a98
0xfffffff008861058: 600c8052  mov	w0, #0x63
0xfffffff00886105c: ef690094  bl	#0xfffffff00887b818
0xfffffff008861060: f60300aa  mov	x22, x0
0xfffffff008861064: 524c0194  bl	#0xfffffff0088b41ac
0xfffffff008861068: f70300aa  mov	x23, x0
0xfffffff00886106c: 80008052  mov	w0, #4
0xfffffff008861070: f8690094  bl	#0xfffffff00887b850
0xfffffff008861074: 96120034  cbz	w22, #0xfffffff0088612c4
0xfffffff008861078: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff00886107c: e9031caa  mov	x9, x28
0xfffffff008861080: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008861084: e9031aaa  mov	x9, x26
