; Candidate 14581
; ADRP+ADD at VM 0xfffffff00985d580 (fileoff 0x2859580): page=0x1fe3ff000 add_imm=0xdd0

0xfffffff00985d500: 42fcab97  bl	#0xfffffff00835c608
0xfffffff00985d504: f30300aa  mov	x19, x0
0xfffffff00985d508: 900240f9  ldr	x16, [x20]
0xfffffff00985d50c: f10314aa  mov	x17, x20
0xfffffff00985d510: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985d514: 301ac1da  autda	x16, x17
0xfffffff00985d518: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00985d51c: e90310aa  mov	x9, x16
0xfffffff00985d520: e00314aa  mov	x0, x20
0xfffffff00985d524: f10309aa  mov	x17, x9
0xfffffff00985d528: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00985d52c: 11093fd7  blraa	x8, x17
0xfffffff00985d530: e00313aa  mov	x0, x19
0xfffffff00985d534: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985d538: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985d53c: ff0f5fd6  retab	
0xfffffff00985d540: 7f2303d5  pacibsp	
0xfffffff00985d544: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985d548: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985d54c: fd430091  add	x29, sp, #0x10
0xfffffff00985d550: 100040f9  ldr	x16, [x0]
0xfffffff00985d554: f10300aa  mov	x17, x0
0xfffffff00985d558: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985d55c: 301ac1da  autda	x16, x17
0xfffffff00985d560: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff00985d564: e90310aa  mov	x9, x16
0xfffffff00985d568: 010080d2  mov	x1, #0
0xfffffff00985d56c: f10309aa  mov	x17, x9
0xfffffff00985d570: d103e0f2  movk	x17, #0x1e, lsl #48
0xfffffff00985d574: 11093fd7  blraa	x8, x17
0xfffffff00985d578: 600400b4  cbz	x0, #0xfffffff00985d604
0xfffffff00985d57c: f30300aa  mov	x19, x0
0xfffffff00985d580: e01ffff0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985d584: 00403791  add	x0, x0, #0xdd0
0xfffffff00985d588: 01a38052  mov	w1, #0x518
0xfffffff00985d58c: 2b28aa97  bl	#0xfffffff0082e7638
0xfffffff00985d590: f40300aa  mov	x20, x0
0xfffffff00985d594: a1ffff97  bl	#0xfffffff00985d418
0xfffffff00985d598: a00100b4  cbz	x0, #0xfffffff00985d5cc
0xfffffff00985d59c: 900240f9  ldr	x16, [x20]
0xfffffff00985d5a0: f10314aa  mov	x17, x20
0xfffffff00985d5a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985d5a8: 301ac1da  autda	x16, x17
0xfffffff00985d5ac: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff00985d5b0: e90310aa  mov	x9, x16
0xfffffff00985d5b4: e00314aa  mov	x0, x20
0xfffffff00985d5b8: e10313aa  mov	x1, x19
0xfffffff00985d5bc: f10309aa  mov	x17, x9
0xfffffff00985d5c0: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff00985d5c4: 11093fd7  blraa	x8, x17
0xfffffff00985d5c8: 20020036  tbz	w0, #0, #0xfffffff00985d60c
0xfffffff00985d5cc: 700240f9  ldr	x16, [x19]
0xfffffff00985d5d0: f10313aa  mov	x17, x19
0xfffffff00985d5d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985d5d8: 301ac1da  autda	x16, x17
0xfffffff00985d5dc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00985d5e0: e90310aa  mov	x9, x16
0xfffffff00985d5e4: e00313aa  mov	x0, x19
0xfffffff00985d5e8: f10309aa  mov	x17, x9
0xfffffff00985d5ec: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00985d5f0: 11093fd7  blraa	x8, x17
0xfffffff00985d5f4: e00314aa  mov	x0, x20
0xfffffff00985d5f8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985d5fc: f44fc2a8  ldp	x20, x19, [sp], #0x20
