; Candidate 12804
; ADRP+ADD at VM 0xfffffff00915ddbc (fileoff 0x2159dbc): page=0x1fe32d000 add_imm=0xd90

0xfffffff00915dd3c: 6119ffb0  adrp	x1, #0xfffffff00748a000
0xfffffff00915dd40: 21a43591  add	x1, x1, #0xd69
0xfffffff00915dd44: e00314aa  mov	x0, x20
0xfffffff00915dd48: 1e8cca97  bl	#0xfffffff008400dc0
0xfffffff00915dd4c: f80300aa  mov	x24, x0
0xfffffff00915dd50: 0850ffb0  adrp	x8, #0xfffffff007b5e000
0xfffffff00915dd54: 08d940f9  ldr	x8, [x8, #0x1b0]
0xfffffff00915dd58: 010140f9  ldr	x1, [x8]
0xfffffff00915dd5c: e617c697  bl	#0xfffffff0082e3cf4
0xfffffff00915dd60: d98d0090  adrp	x25, #0xfffffff00a315000
0xfffffff00915dd64: 39d31f91  add	x25, x25, #0x7f4
0xfffffff00915dd68: 000500b4  cbz	x0, #0xfffffff00915de08
0xfffffff00915dd6c: f70300aa  mov	x23, x0
0xfffffff00915dd70: 28034039  ldrb	w8, [x25]
0xfffffff00915dd74: e8070036  tbz	w8, #0, #0xfffffff00915de70
0xfffffff00915dd78: c88d0090  adrp	x8, #0xfffffff00a315000
0xfffffff00915dd7c: 08611e91  add	x8, x8, #0x798
0xfffffff00915dd80: 18014039  ldrb	w24, [x8]
0xfffffff00915dd84: f00240f9  ldr	x16, [x23]
0xfffffff00915dd88: f10317aa  mov	x17, x23
0xfffffff00915dd8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00915dd90: 301ac1da  autda	x16, x17
0xfffffff00915dd94: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff00915dd98: e90310aa  mov	x9, x16
0xfffffff00915dd9c: e00317aa  mov	x0, x23
0xfffffff00915dda0: f10309aa  mov	x17, x9
0xfffffff00915dda4: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff00915dda8: 11093fd7  blraa	x8, x17
0xfffffff00915ddac: 78050034  cbz	w24, #0xfffffff00915de58
0xfffffff00915ddb0: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915ddb4: 085d3591  add	x8, x8, #0xd57
0xfffffff00915ddb8: e80300a9  stp	x8, x0, [sp]
0xfffffff00915ddbc: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915ddc0: 00403691  add	x0, x0, #0xd90
0xfffffff00915ddc4: a765b197  bl	#0xfffffff007db7460
0xfffffff00915ddc8: 2a000014  b	#0xfffffff00915de70
0xfffffff00915ddcc: d38d0090  adrp	x19, #0xfffffff00a315000
0xfffffff00915ddd0: 73d21f91  add	x19, x19, #0x7f4
0xfffffff00915ddd4: 68024039  ldrb	w8, [x19]
0xfffffff00915ddd8: 280d0036  tbz	w8, #0, #0xfffffff00915df7c
0xfffffff00915dddc: c88d0090  adrp	x8, #0xfffffff00a315000
0xfffffff00915dde0: 08611e91  add	x8, x8, #0x798
0xfffffff00915dde4: 08014039  ldrb	w8, [x8]
0xfffffff00915dde8: e80b0034  cbz	w8, #0xfffffff00915df64
0xfffffff00915ddec: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915ddf0: 085d3591  add	x8, x8, #0xd57
0xfffffff00915ddf4: e80300f9  str	x8, [sp]
0xfffffff00915ddf8: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915ddfc: 00703491  add	x0, x0, #0xd1c
0xfffffff00915de00: 9865b197  bl	#0xfffffff007db7460
0xfffffff00915de04: 5e000014  b	#0xfffffff00915df7c
0xfffffff00915de08: f80500b4  cbz	x24, #0xfffffff00915dec4
0xfffffff00915de0c: 0850ffb0  adrp	x8, #0xfffffff007b5e000
0xfffffff00915de10: 089141f9  ldr	x8, [x8, #0x320]
0xfffffff00915de14: 080140f9  ldr	x8, [x8]
0xfffffff00915de18: 080140f9  ldr	x8, [x8]
0xfffffff00915de1c: 1f0308eb  cmp	x24, x8
0xfffffff00915de20: 61000054  b.ne	#0xfffffff00915de2c
0xfffffff00915de24: 28008052  mov	w8, #1
0xfffffff00915de28: 68a60339  strb	w8, [x19, #0xe9]
0xfffffff00915de2c: 100340f9  ldr	x16, [x24]
0xfffffff00915de30: f10318aa  mov	x17, x24
0xfffffff00915de34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00915de38: 301ac1da  autda	x16, x17
