; Candidate 7797
; ADRP+ADD at VM 0xfffffff00887fd64 (fileoff 0x187bd64): page=0x1fe96a000 add_imm=0xe80

0xfffffff00887fce4: 08512691  add	x8, x8, #0x994
0xfffffff00887fce8: a91b8052  mov	w9, #0xdd
0xfffffff00887fcec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887fcf0: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887fcf4: 08352591  add	x8, x8, #0x94d
0xfffffff00887fcf8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887fcfc: 680d8052  mov	w8, #0x6b
0xfffffff00887fd00: f52300a9  stp	x21, x8, [sp]
0xfffffff00887fd04: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887fd08: 00003a91  add	x0, x0, #0xe80
0xfffffff00887fd0c: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887fd10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887fd14: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887fd18: 63801f91  add	x3, x3, #0x7e0
0xfffffff00887fd1c: 02008052  mov	w2, #0
0xfffffff00887fd20: 04cdea97  bl	#0xfffffff008333130
0xfffffff00887fd24: 157d8012  mov	w21, #-0x3e9
0xfffffff00887fd28: 18000014  b	#0xfffffff00887fd88
0xfffffff00887fd2c: 20d10094  bl	#0xfffffff0088b41ac
0xfffffff00887fd30: f50300aa  mov	x21, x0
0xfffffff00887fd34: 80008052  mov	w0, #4
0xfffffff00887fd38: c6eeff97  bl	#0xfffffff00887b850
0xfffffff00887fd3c: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00887fd40: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887fd44: 08892791  add	x8, x8, #0x9e2
0xfffffff00887fd48: 291c8052  mov	w9, #0xe1
0xfffffff00887fd4c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887fd50: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887fd54: 08352591  add	x8, x8, #0x94d
0xfffffff00887fd58: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887fd5c: 680d8052  mov	w8, #0x6b
0xfffffff00887fd60: f52300a9  stp	x21, x8, [sp]
0xfffffff00887fd64: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887fd68: 00003a91  add	x0, x0, #0xe80
0xfffffff00887fd6c: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887fd70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887fd74: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887fd78: 63542091  add	x3, x3, #0x815
0xfffffff00887fd7c: 02008052  mov	w2, #0
0xfffffff00887fd80: ecccea97  bl	#0xfffffff008333130
0xfffffff00887fd84: f57d8012  mov	w21, #-0x3f0
0xfffffff00887fd88: 600d8052  mov	w0, #0x6b
0xfffffff00887fd8c: 01018052  mov	w1, #8
0xfffffff00887fd90: 90eeff97  bl	#0xfffffff00887b7d0
0xfffffff00887fd94: 00050034  cbz	w0, #0xfffffff00887fe34
0xfffffff00887fd98: 600d8052  mov	w0, #0x6b
0xfffffff00887fd9c: 9feeff97  bl	#0xfffffff00887b818
0xfffffff00887fda0: f70300aa  mov	x23, x0
0xfffffff00887fda4: 02d10094  bl	#0xfffffff0088b41ac
0xfffffff00887fda8: f60300aa  mov	x22, x0
0xfffffff00887fdac: 00018052  mov	w0, #8
0xfffffff00887fdb0: a8eeff97  bl	#0xfffffff00887b850
0xfffffff00887fdb4: 97010034  cbz	w23, #0xfffffff00887fde4
0xfffffff00887fdb8: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00887fdbc: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887fdc0: 08352591  add	x8, x8, #0x94d
0xfffffff00887fdc4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887fdc8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887fdcc: 680d8052  mov	w8, #0x6b
0xfffffff00887fdd0: 604dffb0  adrp	x0, #0xfffffff00722c000
0xfffffff00887fdd4: 00cc2791  add	x0, x0, #0x9f3
0xfffffff00887fdd8: f62300a9  stp	x22, x8, [sp]
0xfffffff00887fddc: a1ddd497  bl	#0xfffffff007db7460
0xfffffff00887fde0: 15000014  b	#0xfffffff00887fe34
