; Candidate 15357
; ADRP+ADD at VM 0xfffffff009b549e8 (fileoff 0x2b509e8): page=0x1fdad4000 add_imm=0xed0

0xfffffff009b54968: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b5496c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b54970: e00313aa  mov	x0, x19
0xfffffff009b54974: 010080d2  mov	x1, #0
0xfffffff009b54978: f10308aa  mov	x17, x8
0xfffffff009b5497c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b54980: 31093fd7  blraa	x9, x17
0xfffffff009b54984: f60300aa  mov	x22, x0
0xfffffff009b54988: 700240f9  ldr	x16, [x19]
0xfffffff009b5498c: f10313aa  mov	x17, x19
0xfffffff009b54990: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b54994: 301ac1da  autda	x16, x17
0xfffffff009b54998: f10310aa  mov	x17, x16
0xfffffff009b5499c: f147c1da  xpacd	x17
0xfffffff009b549a0: 1f0211eb  cmp	x16, x17
0xfffffff009b549a4: 40000054  b.eq	#0xfffffff009b549ac
0xfffffff009b549a8: 408e38d4  brk	#0xc472
0xfffffff009b549ac: 08620891  add	x8, x16, #0x218
0xfffffff009b549b0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b549b4: e00313aa  mov	x0, x19
0xfffffff009b549b8: 010080d2  mov	x1, #0
0xfffffff009b549bc: f10308aa  mov	x17, x8
0xfffffff009b549c0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b549c4: 31093fd7  blraa	x9, x17
0xfffffff009b549c8: 693243b9  ldr	w9, [x19, #0x330]
0xfffffff009b549cc: a8d6fed0  adrp	x8, #0xfffffff00762a000
0xfffffff009b549d0: 08052d91  add	x8, x8, #0xb41
0xfffffff009b549d4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009b549d8: a8d6feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b549dc: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b549e0: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff009b549e4: f60300f9  str	x22, [sp]
0xfffffff009b549e8: a0d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b549ec: 00403b91  add	x0, x0, #0xed0
0xfffffff009b549f0: c3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b549f4: 63682691  add	x3, x3, #0x99a
0xfffffff009b549f8: e10315aa  mov	x1, x21
0xfffffff009b549fc: e20314aa  mov	x2, x20
0xfffffff009b54a00: cc799f97  bl	#0xfffffff008333130
0xfffffff009b54a04: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009b54a08: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009b54a0c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009b54a10: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009b54a14: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009b54a18: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff009b54a1c: ff430291  add	sp, sp, #0x90
0xfffffff009b54a20: ff0f5fd6  retab	
0xfffffff009b54a24: 7f2303d5  pacibsp	
0xfffffff009b54a28: ff4301d1  sub	sp, sp, #0x50
0xfffffff009b54a2c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009b54a30: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009b54a34: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009b54a38: fd030191  add	x29, sp, #0x40
0xfffffff009b54a3c: f40301aa  mov	x20, x1
0xfffffff009b54a40: f30300aa  mov	x19, x0
0xfffffff009b54a44: 15488852  mov	w21, #0x4240
0xfffffff009b54a48: f501a072  movk	w21, #0xf, lsl #16
0xfffffff009b54a4c: 088c41f9  ldr	x8, [x0, #0x318]
0xfffffff009b54a50: 090548b9  ldr	w9, [x8, #0x804]
0xfffffff009b54a54: 29011f32  orr	w9, w9, #2
0xfffffff009b54a58: 090508b9  str	w9, [x8, #0x804]
0xfffffff009b54a5c: 80008052  mov	w0, #4
0xfffffff009b54a60: 6209a097  bl	#0xfffffff008356fe8
0xfffffff009b54a64: 688e41f9  ldr	x8, [x19, #0x318]
