; Candidate 6380
; ADRP+ADD at VM 0xfffffff0088284ec (fileoff 0x18244ec): page=0x1fe9c1000 add_imm=0xe80

0xfffffff00882846c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008828470: e80a8052  mov	w8, #0x57
0xfffffff008828474: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008828478: f50300f9  str	x21, [sp]
0xfffffff00882847c: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008828480: 00003a91  add	x0, x0, #0xe80
0xfffffff008828484: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008828488: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882848c: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff008828490: 63ec2191  add	x3, x3, #0x87b
0xfffffff008828494: 02008052  mov	w2, #0
0xfffffff008828498: 262bec97  bl	#0xfffffff008333130
0xfffffff00882849c: 557e8012  mov	w21, #-0x3f3
0xfffffff0088284a0: 49000014  b	#0xfffffff0088285c4
0xfffffff0088284a4: 422f0294  bl	#0xfffffff0088b41ac
0xfffffff0088284a8: f50300aa  mov	x21, x0
0xfffffff0088284ac: c0008052  mov	w0, #6
0xfffffff0088284b0: e84c0194  bl	#0xfffffff00887b850
0xfffffff0088284b4: 684243f9  ldr	x8, [x19, #0x680]
0xfffffff0088284b8: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088284bc: 6a7a46b9  ldr	w10, [x19, #0x678]
0xfffffff0088284c0: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0088284c4: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088284c8: 887f8052  mov	w8, #0x3fc
0xfffffff0088284cc: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff0088284d0: 293d2391  add	x9, x9, #0x8cf
0xfffffff0088284d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088284d8: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff0088284dc: 08653291  add	x8, x8, #0xc99
0xfffffff0088284e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088284e4: e80a8052  mov	w8, #0x57
0xfffffff0088284e8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088284ec: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088284f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088284f4: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088284f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088284fc: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff008828500: 63902391  add	x3, x3, #0x8e4
0xfffffff008828504: 02008052  mov	w2, #0
0xfffffff008828508: 0a2bec97  bl	#0xfffffff008333130
0xfffffff00882850c: 800a40f9  ldr	x0, [x20, #0x10]
0xfffffff008828510: 100040f9  ldr	x16, [x0]
0xfffffff008828514: f10300aa  mov	x17, x0
0xfffffff008828518: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00882851c: 301ac1da  autda	x16, x17
0xfffffff008828520: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008828524: e90310aa  mov	x9, x16
0xfffffff008828528: 21008052  mov	w1, #1
0xfffffff00882852c: f10309aa  mov	x17, x9
0xfffffff008828530: 5186f3f2  movk	x17, #0x9c32, lsl #48
0xfffffff008828534: 11093fd7  blraa	x8, x17
0xfffffff008828538: e00313aa  mov	x0, x19
0xfffffff00882853c: e10314aa  mov	x1, x20
0xfffffff008828540: 73fdff97  bl	#0xfffffff008827b0c
0xfffffff008828544: f50300aa  mov	x21, x0
0xfffffff008828548: 1d000014  b	#0xfffffff0088285bc
0xfffffff00882854c: 182f0294  bl	#0xfffffff0088b41ac
0xfffffff008828550: f50300aa  mov	x21, x0
0xfffffff008828554: 80008052  mov	w0, #4
0xfffffff008828558: be4c0194  bl	#0xfffffff00887b850
0xfffffff00882855c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008828560: 693e46b9  ldr	w9, [x19, #0x63c]
0xfffffff008828564: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008828568: c84fffb0  adrp	x8, #0xfffffff007221000
