; Candidate 3930
; ADRP+ADD at VM 0xfffffff008774c2c (fileoff 0x1770c2c): page=0x1fe9bd000 add_imm=0xd90

0xfffffff008774bac: 10f22091  add	x16, x16, #0x83c
0xfffffff008774bb0: f023c1da  paciza	x16
0xfffffff008774bb4: e30310aa  mov	x3, x16
0xfffffff008774bb8: 02008052  mov	w2, #0
0xfffffff008774bbc: e41f8052  mov	w4, #0xff
0xfffffff008774bc0: 0401a472  movk	w4, #0x2008, lsl #16
0xfffffff008774bc4: 060080d2  mov	x6, #0
0xfffffff008774bc8: f10309aa  mov	x17, x9
0xfffffff008774bcc: 1131e1f2  movk	x17, #0x988, lsl #48
0xfffffff008774bd0: 11093fd7  blraa	x8, x17
0xfffffff008774bd4: 00040034  cbz	w0, #0xfffffff008774c54
0xfffffff008774bd8: e00300f9  str	x0, [sp]
0xfffffff008774bdc: e04dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008774be0: 00403691  add	x0, x0, #0xd90
0xfffffff008774be4: 4194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008774be8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008774bec: 834eff90  adrp	x3, #0xfffffff007144000
0xfffffff008774bf0: 63140e91  add	x3, x3, #0x385
0xfffffff008774bf4: 02008052  mov	w2, #0
0xfffffff008774bf8: 4ef9ee97  bl	#0xfffffff008333130
0xfffffff008774bfc: 13008052  mov	w19, #0
0xfffffff008774c00: 70000014  b	#0xfffffff008774dc0
0xfffffff008774c04: e04dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008774c08: 00403691  add	x0, x0, #0xd90
0xfffffff008774c0c: 4194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008774c10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008774c14: 834eff90  adrp	x3, #0xfffffff007144000
0xfffffff008774c18: 63040b91  add	x3, x3, #0x2c1
0xfffffff008774c1c: 02008052  mov	w2, #0
0xfffffff008774c20: 44f9ee97  bl	#0xfffffff008333130
0xfffffff008774c24: 13008052  mov	w19, #0
0xfffffff008774c28: 66000014  b	#0xfffffff008774dc0
0xfffffff008774c2c: e04dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008774c30: 00403691  add	x0, x0, #0xd90
0xfffffff008774c34: 4194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008774c38: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008774c3c: 834eff90  adrp	x3, #0xfffffff007144000
0xfffffff008774c40: 63d00b91  add	x3, x3, #0x2f4
0xfffffff008774c44: 02008052  mov	w2, #0
0xfffffff008774c48: 3af9ee97  bl	#0xfffffff008333130
0xfffffff008774c4c: 13008052  mov	w19, #0
0xfffffff008774c50: 5c000014  b	#0xfffffff008774dc0
0xfffffff008774c54: 73c20091  add	x19, x19, #0x30
0xfffffff008774c58: a80213eb  subs	x8, x21, x19
0xfffffff008774c5c: a30c0054  b.lo	#0xfffffff008774df0
0xfffffff008774c60: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008774c64: 690c00b5  cbnz	x9, #0xfffffff008774df0
0xfffffff008774c68: 1f717df2  tst	x8, #0xfffffff8
0xfffffff008774c6c: c00b0054  b.eq	#0xfffffff008774de4
0xfffffff008774c70: 600240f9  ldr	x0, [x19]
0xfffffff008774c74: 100040f9  ldr	x16, [x0]
0xfffffff008774c78: f10300aa  mov	x17, x0
0xfffffff008774c7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008774c80: 301ac1da  autda	x16, x17
0xfffffff008774c84: 117680d2  mov	x17, #0x3b0
0xfffffff008774c88: 1002118b  add	x16, x16, x17
0xfffffff008774c8c: 080240f9  ldr	x8, [x16]
0xfffffff008774c90: e90310aa  mov	x9, x16
0xfffffff008774c94: 214fffd0  adrp	x1, #0xfffffff00715a000
0xfffffff008774c98: 21500891  add	x1, x1, #0x214
0xfffffff008774c9c: 234fffd0  adrp	x3, #0xfffffff00715a000
0xfffffff008774ca0: 63840891  add	x3, x3, #0x221
0xfffffff008774ca4: 02008052  mov	w2, #0
0xfffffff008774ca8: 04108052  mov	w4, #0x80
