; Candidate 5641
; ADRP+ADD at VM 0xfffffff0087fe65c (fileoff 0x17fa65c): page=0x1fe9eb000 add_imm=0xe80

0xfffffff0087fe5dc: a1e3d697  bl	#0xfffffff007db7460
0xfffffff0087fe5e0: 43000014  b	#0xfffffff0087fe6ec
0xfffffff0087fe5e4: f2d60294  bl	#0xfffffff0088b41ac
0xfffffff0087fe5e8: f60300aa  mov	x22, x0
0xfffffff0087fe5ec: e00314aa  mov	x0, x20
0xfffffff0087fe5f0: 98f40194  bl	#0xfffffff00887b850
0xfffffff0087fe5f4: 08177739  ldrb	w8, [x24, #0xdc5]
0xfffffff0087fe5f8: 200f40fd  ldr	d0, [x25, #0x18]
0xfffffff0087fe5fc: 0900781e  fcvtzs	w9, d0
0xfffffff0087fe600: 2101621e  scvtf	d1, w9
0xfffffff0087fe604: 0138611e  fsub	d1, d0, d1
0xfffffff0087fe608: 6a4fff90  adrp	x10, #0xfffffff0071ea000
0xfffffff0087fe60c: 420943fd  ldr	d2, [x10, #0x610]
0xfffffff0087fe610: 2108621e  fmul	d1, d1, d2
0xfffffff0087fe614: 2a00781e  fcvtzs	w10, d1
0xfffffff0087fe618: 01107e1e  fmov	d1, #-1.00000000
0xfffffff0087fe61c: 0020611e  fcmp	d0, d1
0xfffffff0087fe620: 4aa58a5a  cneg	w10, w10, lt
0xfffffff0087fe624: 2bd34039  ldrb	w11, [x25, #0x34]
0xfffffff0087fe628: 2cf34039  ldrb	w12, [x25, #0x3c]
0xfffffff0087fe62c: 2ddb4039  ldrb	w13, [x25, #0x36]
0xfffffff0087fe630: 2edf4039  ldrb	w14, [x25, #0x37]
0xfffffff0087fe634: 0f0743b9  ldr	w15, [x24, #0x304]
0xfffffff0087fe638: edbb04a9  stp	x13, x14, [sp, #0x48]
0xfffffff0087fe63c: efb303a9  stp	x15, x12, [sp, #0x38]
0xfffffff0087fe640: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087fe644: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087fe648: e80313aa  mov	x8, x19
0xfffffff0087fe64c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087fe650: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087fe654: 636c1691  add	x3, x3, #0x59b
0xfffffff0087fe658: e91300f9  str	x9, [sp, #0x20]
0xfffffff0087fe65c: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fe660: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fe664: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fe668: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fe66c: 02008052  mov	w2, #0
0xfffffff0087fe670: b0d2ec97  bl	#0xfffffff008333130
0xfffffff0087fe674: 1e000014  b	#0xfffffff0087fe6ec
0xfffffff0087fe678: 08177739  ldrb	w8, [x24, #0xdc5]
0xfffffff0087fe67c: 200f40fd  ldr	d0, [x25, #0x18]
0xfffffff0087fe680: 0900781e  fcvtzs	w9, d0
0xfffffff0087fe684: 2ad34039  ldrb	w10, [x25, #0x34]
0xfffffff0087fe688: 2bf34039  ldrb	w11, [x25, #0x3c]
0xfffffff0087fe68c: 2cdb4039  ldrb	w12, [x25, #0x36]
0xfffffff0087fe690: 2ddf4039  ldrb	w13, [x25, #0x37]
0xfffffff0087fe694: 2101621e  scvtf	d1, w9
0xfffffff0087fe698: 0138611e  fsub	d1, d0, d1
0xfffffff0087fe69c: 6e4fff90  adrp	x14, #0xfffffff0071ea000
0xfffffff0087fe6a0: c20943fd  ldr	d2, [x14, #0x610]
0xfffffff0087fe6a4: 2108621e  fmul	d1, d1, d2
0xfffffff0087fe6a8: 2e00781e  fcvtzs	w14, d1
0xfffffff0087fe6ac: 01107e1e  fmov	d1, #-1.00000000
0xfffffff0087fe6b0: 0020611e  fcmp	d0, d1
0xfffffff0087fe6b4: cea58e5a  cneg	w14, w14, lt
0xfffffff0087fe6b8: 0f0743b9  ldr	w15, [x24, #0x304]
0xfffffff0087fe6bc: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff0087fe6c0: ef2f02a9  stp	x15, x11, [sp, #0x20]
0xfffffff0087fe6c4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087fe6c8: ee2b01a9  stp	x14, x10, [sp, #0x10]
0xfffffff0087fe6cc: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fe6d0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fe6d4: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fe6d8: 212c42f9  ldr	x1, [x1, #0x458]
