; Candidate 11229
; ADRP+ADD at VM 0xfffffff008eb6638 (fileoff 0x1eb2638): page=0x1fe528000 add_imm=0xddb

0xfffffff008eb65b8: 9ffaff97  bl	#0xfffffff008eb5034
0xfffffff008eb65bc: 20070035  cbnz	w0, #0xfffffff008eb66a0
0xfffffff008eb65c0: 68224039  ldrb	w8, [x19, #8]
0xfffffff008eb65c4: 08011f32  orr	w8, w8, #2
0xfffffff008eb65c8: 68220039  strb	w8, [x19, #8]
0xfffffff008eb65cc: 33008052  mov	w19, #1
0xfffffff008eb65d0: 35000014  b	#0xfffffff008eb66a4
0xfffffff008eb65d4: 4029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb65d8: 00143591  add	x0, x0, #0xd45
0xfffffff008eb65dc: 9182d297  bl	#0xfffffff008357020
0xfffffff008eb65e0: 13008052  mov	w19, #0
0xfffffff008eb65e4: 1b000014  b	#0xfffffff008eb6650
0xfffffff008eb65e8: f70300f9  str	x23, [sp]
0xfffffff008eb65ec: 4029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb65f0: 00a83591  add	x0, x0, #0xd6a
0xfffffff008eb65f4: 13000014  b	#0xfffffff008eb6640
0xfffffff008eb65f8: 2809c05a  rev	w8, w9
0xfffffff008eb65fc: 4929ff90  adrp	x9, #0xfffffff0073de000
0xfffffff008eb6600: 29b13691  add	x9, x9, #0xdac
0xfffffff008eb6604: e92300a9  stp	x9, x8, [sp]
0xfffffff008eb6608: 4029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb660c: 00303691  add	x0, x0, #0xd8c
0xfffffff008eb6610: 0c000014  b	#0xfffffff008eb6640
0xfffffff008eb6614: 4929ff90  adrp	x9, #0xfffffff0073de000
0xfffffff008eb6618: 29b13691  add	x9, x9, #0xdac
0xfffffff008eb661c: e92300a9  stp	x9, x8, [sp]
0xfffffff008eb6620: 4029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb6624: 00f83691  add	x0, x0, #0xdbe
0xfffffff008eb6628: 06000014  b	#0xfffffff008eb6640
0xfffffff008eb662c: 4829ff90  adrp	x8, #0xfffffff0073de000
0xfffffff008eb6630: 08b13691  add	x8, x8, #0xdac
0xfffffff008eb6634: e80300f9  str	x8, [sp]
0xfffffff008eb6638: 4029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb663c: 006c3791  add	x0, x0, #0xddb
0xfffffff008eb6640: 7882d297  bl	#0xfffffff008357020
0xfffffff008eb6644: 13008052  mov	w19, #0
0xfffffff008eb6648: e0030191  add	x0, sp, #0x40
0xfffffff008eb664c: 3f352a94  bl	#0xfffffff009943b48
0xfffffff008eb6650: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff008eb6654: 2962fff0  adrp	x9, #0xfffffff007afd000
0xfffffff008eb6658: 29bd46f9  ldr	x9, [x9, #0xd78]
0xfffffff008eb665c: 290140f9  ldr	x9, [x9]
0xfffffff008eb6660: 3f0108eb  cmp	x9, x8
0xfffffff008eb6664: a1030054  b.ne	#0xfffffff008eb66d8
0xfffffff008eb6668: e00313aa  mov	x0, x19
0xfffffff008eb666c: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff008eb6670: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff008eb6674: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff008eb6678: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff008eb667c: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff008eb6680: ffc30491  add	sp, sp, #0x130
0xfffffff008eb6684: ff0f5fd6  retab	
0xfffffff008eb6688: 4829ff90  adrp	x8, #0xfffffff0073de000
0xfffffff008eb668c: 08b13691  add	x8, x8, #0xdac
0xfffffff008eb6690: e80300f9  str	x8, [sp]
0xfffffff008eb6694: 4029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb6698: 00c83791  add	x0, x0, #0xdf2
0xfffffff008eb669c: 6182d297  bl	#0xfffffff008357020
0xfffffff008eb66a0: 13008052  mov	w19, #0
0xfffffff008eb66a4: 960000b4  cbz	x22, #0xfffffff008eb66b4
0xfffffff008eb66a8: e00316aa  mov	x0, x22
0xfffffff008eb66ac: 811f8052  mov	w1, #0xfc
0xfffffff008eb66b0: b481d297  bl	#0xfffffff008356d80
0xfffffff008eb66b4: 950000b4  cbz	x21, #0xfffffff008eb66c4
