; Candidate 8154
; ADRP+ADD at VM 0xfffffff0088980d8 (fileoff 0x18940d8): page=0x1ff175000 add_imm=0xe98

0xfffffff008898058: 1c000014  b	#0xfffffff0088980c8
0xfffffff00889805c: 54700094  bl	#0xfffffff0088b41ac
0xfffffff008898060: f60300aa  mov	x22, x0
0xfffffff008898064: a0008052  mov	w0, #5
0xfffffff008898068: fa8dff97  bl	#0xfffffff00887b850
0xfffffff00889806c: e80314aa  mov	x8, x20
0xfffffff008898070: f7a304a9  stp	x23, x8, [sp, #0x48]
0xfffffff008898074: f5cf03a9  stp	x21, x19, [sp, #0x38]
0xfffffff008898078: a84cffd0  adrp	x8, #0xfffffff00722e000
0xfffffff00889807c: 0a192c91  add	x10, x8, #0xb06
0xfffffff008898080: a8278052  mov	w8, #0x13d
0xfffffff008898084: a94cfff0  adrp	x9, #0xfffffff00722f000
0xfffffff008898088: 29352491  add	x9, x9, #0x90d
0xfffffff00889808c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008898090: a84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008898094: 08493991  add	x8, x8, #0xe52
0xfffffff008898098: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889809c: 280e8052  mov	w8, #0x71
0xfffffff0088980a0: 234efff0  adrp	x3, #0xfffffff00725f000
0xfffffff0088980a4: 63f82e91  add	x3, x3, #0xbbe
0xfffffff0088980a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088980ac: f60300f9  str	x22, [sp]
0xfffffff0088980b0: 804affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088980b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088980b8: 818bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088980bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088980c0: 02008052  mov	w2, #0
0xfffffff0088980c4: 1b6cea97  bl	#0xfffffff008333130
0xfffffff0088980c8: e00313aa  mov	x0, x19
0xfffffff0088980cc: 85c2ff97  bl	#0xfffffff008888ae0
0xfffffff0088980d0: e00313aa  mov	x0, x19
0xfffffff0088980d4: fcbfff97  bl	#0xfffffff0088880c4
0xfffffff0088980d8: a08bffb0  adrp	x0, #0xfffffff007a0d000
0xfffffff0088980dc: 00603a91  add	x0, x0, #0xe98
0xfffffff0088980e0: e10313aa  mov	x1, x19
0xfffffff0088980e4: 8af9ea97  bl	#0xfffffff00835670c
0xfffffff0088980e8: e00314aa  mov	x0, x20
0xfffffff0088980ec: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff0088980f0: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff0088980f4: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff0088980f8: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0088980fc: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff008898100: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff008898104: ff830391  add	sp, sp, #0xe0
0xfffffff008898108: ff0f5fd6  retab	
0xfffffff00889810c: 7f2303d5  pacibsp	
0xfffffff008898110: ff4302d1  sub	sp, sp, #0x90
0xfffffff008898114: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008898118: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00889811c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008898120: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008898124: fd030291  add	x29, sp, #0x80
0xfffffff008898128: f30300aa  mov	x19, x0
0xfffffff00889812c: 210700b4  cbz	x1, #0xfffffff008898210
0xfffffff008898130: f40301aa  mov	x20, x1
0xfffffff008898134: 600240f9  ldr	x0, [x19]
0xfffffff008898138: 654ed497  bl	#0xfffffff007dabacc
0xfffffff00889813c: e00314aa  mov	x0, x20
0xfffffff008898140: 89c7ff97  bl	#0xfffffff008889f64
0xfffffff008898144: fb5dfe97  bl	#0xfffffff00882f930
0xfffffff008898148: e00314aa  mov	x0, x20
0xfffffff00889814c: 86c7ff97  bl	#0xfffffff008889f64
0xfffffff008898150: a05cfe97  bl	#0xfffffff00882f3d0
0xfffffff008898154: 688640b9  ldr	w8, [x19, #0x84]
