; Candidate 16087
; ADRP+ADD at VM 0xfffffff009e17694 (fileoff 0x2e13694): page=0x1fda02000 add_imm=0xe3c

0xfffffff009e17614: c8000035  cbnz	w8, #0xfffffff009e1762c
0xfffffff009e17618: 800340f9  ldr	x0, [x28]
0xfffffff009e1761c: 203c00b4  cbz	x0, #0xfffffff009e17da0
0xfffffff009e17620: e10318aa  mov	x1, x24
0xfffffff009e17624: 41838497  bl	#0xfffffff007f38328
0xfffffff009e17628: 9fde0339  strb	wzr, [x20, #0xf7]
0xfffffff009e1762c: 88038052  mov	w8, #0x1c
0xfffffff009e17630: 64000014  b	#0xfffffff009e177c0
0xfffffff009e17634: 9ba58e97  bl	#0xfffffff0081c0ca0
0xfffffff009e17638: f90300aa  mov	x25, x0
0xfffffff009e1763c: 483f0012  and	w8, w26, #0xffff
0xfffffff009e17640: 10050051  sub	w16, w8, #1
0xfffffff009e17644: 1f1a0071  cmp	w16, #6
0xfffffff009e17648: c80e0054  b.hi	#0xfffffff009e17820
0xfffffff009e1764c: 1f1a00f1  cmp	x16, #6
0xfffffff009e17650: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff009e17654: 110000b0  adrp	x17, #0xfffffff009e18000
0xfffffff009e17658: 31b20291  add	x17, x17, #0xac
0xfffffff009e1765c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff009e17660: 11000010  adr	x17, #0xfffffff009e17660
0xfffffff009e17664: 3002108b  add	x16, x17, x16
0xfffffff009e17668: 00021fd6  br	x16
0xfffffff009e1766c: 9f2403d5  bti	j
0xfffffff009e17670: e00318aa  mov	x0, x24
0xfffffff009e17674: 6ca28e97  bl	#0xfffffff0081c0024
0xfffffff009e17678: dc000014  b	#0xfffffff009e179e8
0xfffffff009e1767c: 28008052  mov	w8, #1
0xfffffff009e17680: e83b00f9  str	x8, [sp, #0x70]
0xfffffff009e17684: 58d0fe90  adrp	x24, #0xfffffff00781f000
0xfffffff009e17688: 180b3291  add	x24, x24, #0xc82
0xfffffff009e1768c: 56000014  b	#0xfffffff009e177e4
0xfffffff009e17690: 9f2403d5  bti	j
0xfffffff009e17694: 00d0fed0  adrp	x0, #0xfffffff007819000
0xfffffff009e17698: 00f03891  add	x0, x0, #0xe3c
0xfffffff009e1769c: 15000014  b	#0xfffffff009e176f0
0xfffffff009e176a0: 9f2403d5  bti	j
0xfffffff009e176a4: 00d0fed0  adrp	x0, #0xfffffff007819000
0xfffffff009e176a8: 00703991  add	x0, x0, #0xe5c
0xfffffff009e176ac: 11000014  b	#0xfffffff009e176f0
0xfffffff009e176b0: 9f2403d5  bti	j
0xfffffff009e176b4: dd768f97  bl	#0xfffffff0081f5228
0xfffffff009e176b8: 60ec0737  tbnz	w0, #0, #0xfffffff009e17444
0xfffffff009e176bc: 59000014  b	#0xfffffff009e17820
0xfffffff009e176c0: 9f2403d5  bti	j
0xfffffff009e176c4: 88f8fed0  adrp	x8, #0xfffffff007d29000
0xfffffff009e176c8: 08056939  ldrb	w8, [x8, #0xa41]
0xfffffff009e176cc: c8ebff35  cbnz	w8, #0xfffffff009e17444
0xfffffff009e176d0: 54000014  b	#0xfffffff009e17820
0xfffffff009e176d4: 9f2403d5  bti	j
0xfffffff009e176d8: 00d0fed0  adrp	x0, #0xfffffff007819000
0xfffffff009e176dc: 00503991  add	x0, x0, #0xe54
0xfffffff009e176e0: 04000014  b	#0xfffffff009e176f0
0xfffffff009e176e4: 9f2403d5  bti	j
0xfffffff009e176e8: 00d0fed0  adrp	x0, #0xfffffff007819000
0xfffffff009e176ec: 00343991  add	x0, x0, #0xe4d
0xfffffff009e176f0: 47b7ff97  bl	#0xfffffff009e0540c
0xfffffff009e176f4: 80ea0737  tbnz	w0, #0, #0xfffffff009e17444
0xfffffff009e176f8: 4a000014  b	#0xfffffff009e17820
0xfffffff009e176fc: fff30079  strh	wzr, [sp, #0x78]
0xfffffff009e17700: e2e30191  add	x2, sp, #0x78
0xfffffff009e17704: e00313aa  mov	x0, x19
0xfffffff009e17708: e10308aa  mov	x1, x8
0xfffffff009e1770c: 13030094  bl	#0xfffffff009e18358
0xfffffff009e17710: 100000d0  adrp	x16, #0xfffffff009e19000
