; Candidate 10899
; ADRP+ADD at VM 0xfffffff008debf6c (fileoff 0x1de7f6c): page=0x1fe5d9000 add_imm=0xe15

0xfffffff008debeec: 680000f9  str	x8, [x3]
0xfffffff008debef0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008debef4: ff030191  add	sp, sp, #0x40
0xfffffff008debef8: ff0f5fd6  retab	
0xfffffff008debefc: 28018152  mov	w8, #0x809
0xfffffff008debf00: a92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008debf04: 29e92e91  add	x9, x9, #0xbba
0xfffffff008debf08: e81300f9  str	x8, [sp, #0x20]
0xfffffff008debf0c: c82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008debf10: 08493991  add	x8, x8, #0xe52
0xfffffff008debf14: aa2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008debf18: 4aad3291  add	x10, x10, #0xcab
0xfffffff008debf1c: 12000014  b	#0xfffffff008debf64
0xfffffff008debf20: 48018152  mov	w8, #0x80a
0xfffffff008debf24: a92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008debf28: 29e92e91  add	x9, x9, #0xbba
0xfffffff008debf2c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008debf30: c82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008debf34: 08493991  add	x8, x8, #0xe52
0xfffffff008debf38: aa2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008debf3c: 4a713091  add	x10, x10, #0xc1c
0xfffffff008debf40: 09000014  b	#0xfffffff008debf64
0xfffffff008debf44: e8018152  mov	w8, #0x80f
0xfffffff008debf48: a92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008debf4c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008debf50: e81300f9  str	x8, [sp, #0x20]
0xfffffff008debf54: c82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008debf58: 08493991  add	x8, x8, #0xe52
0xfffffff008debf5c: aa2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008debf60: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008debf64: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008debf68: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008debf6c: c02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008debf70: 00543891  add	x0, x0, #0xe15
0xfffffff008debf74: 2bacd597  bl	#0xfffffff008357020
0xfffffff008debf78: 40008012  mov	w0, #-3
0xfffffff008debf7c: ddffff17  b	#0xfffffff008debef0
0xfffffff008debf80: 7f2303d5  pacibsp	
0xfffffff008debf84: ff0301d1  sub	sp, sp, #0x40
0xfffffff008debf88: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008debf8c: fdc30091  add	x29, sp, #0x30
0xfffffff008debf90: c00100b4  cbz	x0, #0xfffffff008debfc8
0xfffffff008debf94: c20200b4  cbz	x2, #0xfffffff008debfec
0xfffffff008debf98: c30300b4  cbz	x3, #0xfffffff008dec010
0xfffffff008debf9c: 3f1c00f1  cmp	x1, #7
0xfffffff008debfa0: a9040054  b.ls	#0xfffffff008dec034
0xfffffff008debfa4: e80300aa  mov	x8, x0
0xfffffff008debfa8: 00008052  mov	w0, #0
0xfffffff008debfac: 090140b9  ldr	w9, [x8]
0xfffffff008debfb0: 490000b9  str	w9, [x2]
0xfffffff008debfb4: 080540b9  ldr	w8, [x8, #4]
0xfffffff008debfb8: 680000b9  str	w8, [x3]
0xfffffff008debfbc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008debfc0: ff030191  add	sp, sp, #0x40
0xfffffff008debfc4: ff0f5fd6  retab	
0xfffffff008debfc8: 48058152  mov	w8, #0x82a
0xfffffff008debfcc: a92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008debfd0: 29e92e91  add	x9, x9, #0xbba
0xfffffff008debfd4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008debfd8: c82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008debfdc: 08493991  add	x8, x8, #0xe52
0xfffffff008debfe0: aa2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008debfe4: 4a393391  add	x10, x10, #0xcce
0xfffffff008debfe8: 1b000014  b	#0xfffffff008dec054
