; Candidate 13192
; ADRP+ADD at VM 0xfffffff00921b308 (fileoff 0x2217308): page=0x1fe293000 add_imm=0xd40

0xfffffff00921b288: 21703391  add	x1, x1, #0xcdc
0xfffffff00921b28c: 00008052  mov	w0, #0
0xfffffff00921b290: 1c1c0094  bl	#0xfffffff009222300
0xfffffff00921b294: f4588052  mov	w20, #0x2c7
0xfffffff00921b298: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00921b29c: 08880090  adrp	x8, #0xfffffff00a31b000
0xfffffff00921b2a0: 08353891  add	x8, x8, #0xe0d
0xfffffff00921b2a4: 08014039  ldrb	w8, [x8]
0xfffffff00921b2a8: 68290035  cbnz	w8, #0xfffffff00921b7d4
0xfffffff00921b2ac: 688e40b9  ldr	w8, [x19, #0x8c]
0xfffffff00921b2b0: 09050011  add	w9, w8, #1
0xfffffff00921b2b4: 698e00b9  str	w9, [x19, #0x8c]
0xfffffff00921b2b8: 1f250071  cmp	w8, #9
0xfffffff00921b2bc: c8280054  b.hi	#0xfffffff00921b7d4
0xfffffff00921b2c0: 700240f9  ldr	x16, [x19]
0xfffffff00921b2c4: f10313aa  mov	x17, x19
0xfffffff00921b2c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921b2cc: 301ac1da  autda	x16, x17
0xfffffff00921b2d0: 113d80d2  mov	x17, #0x1e8
0xfffffff00921b2d4: 1002118b  add	x16, x16, x17
0xfffffff00921b2d8: 080240f9  ldr	x8, [x16]
0xfffffff00921b2dc: e90310aa  mov	x9, x16
0xfffffff00921b2e0: e00313aa  mov	x0, x19
0xfffffff00921b2e4: 010080d2  mov	x1, #0
0xfffffff00921b2e8: f10309aa  mov	x17, x9
0xfffffff00921b2ec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00921b2f0: 11093fd7  blraa	x8, x17
0xfffffff00921b2f4: 28b98052  mov	w8, #0x5c9
0xfffffff00921b2f8: 8914fff0  adrp	x9, #0xfffffff0074ae000
0xfffffff00921b2fc: 29893491  add	x9, x9, #0xd22
0xfffffff00921b300: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00921b304: e00300f9  str	x0, [sp]
0xfffffff00921b308: 8014fff0  adrp	x0, #0xfffffff0074ae000
0xfffffff00921b30c: 00003591  add	x0, x0, #0xd40
0xfffffff00921b310: 30010014  b	#0xfffffff00921b7d0
0xfffffff00921b314: 69fa4339  ldrb	w9, [x19, #0xfe]
0xfffffff00921b318: 49080034  cbz	w9, #0xfffffff00921b420
0xfffffff00921b31c: 28040034  cbz	w8, #0xfffffff00921b3a0
0xfffffff00921b320: 68224239  ldrb	w8, [x19, #0x88]
0xfffffff00921b324: e8030034  cbz	w8, #0xfffffff00921b3a0
0xfffffff00921b328: bf831df8  stur	xzr, [x29, #-0x28]
0xfffffff00921b32c: e9e3b297  bl	#0xfffffff007ed42d0
0xfffffff00921b330: a1a300d1  sub	x1, x29, #0x28
0xfffffff00921b334: 43e5b297  bl	#0xfffffff007ed4840
0xfffffff00921b338: b4835df8  ldur	x20, [x29, #-0x28]
0xfffffff00921b33c: 700240f9  ldr	x16, [x19]
0xfffffff00921b340: f10313aa  mov	x17, x19
0xfffffff00921b344: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921b348: 301ac1da  autda	x16, x17
0xfffffff00921b34c: f10310aa  mov	x17, x16
0xfffffff00921b350: f147c1da  xpacd	x17
0xfffffff00921b354: 1f0211eb  cmp	x16, x17
0xfffffff00921b358: 40000054  b.eq	#0xfffffff00921b360
0xfffffff00921b35c: 408e38d4  brk	#0xc472
0xfffffff00921b360: 08a20791  add	x8, x16, #0x1e8
0xfffffff00921b364: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff00921b368: e00313aa  mov	x0, x19
0xfffffff00921b36c: 010080d2  mov	x1, #0
0xfffffff00921b370: f10308aa  mov	x17, x8
0xfffffff00921b374: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00921b378: 31093fd7  blraa	x9, x17
0xfffffff00921b37c: 28ba8052  mov	w8, #0x5d1
0xfffffff00921b380: 8914fff0  adrp	x9, #0xfffffff0074ae000
0xfffffff00921b384: 29893491  add	x9, x9, #0xd22
