; Candidate 12568
; ADRP+ADD at VM 0xfffffff0090be220 (fileoff 0x20ba220): page=0x1fe39b000 add_imm=0xe24

0xfffffff0090be1a0: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff0090be1a4: 08038052  mov	w8, #0x18
0xfffffff0090be1a8: e81700f9  str	x8, [sp, #0x28]
0xfffffff0090be1ac: e3c30091  add	x3, sp, #0x30
0xfffffff0090be1b0: e4a30091  add	x4, sp, #0x28
0xfffffff0090be1b4: e00319aa  mov	x0, x25
0xfffffff0090be1b8: e10318aa  mov	x1, x24
0xfffffff0090be1bc: e20313aa  mov	x2, x19
0xfffffff0090be1c0: 4958ff97  bl	#0xfffffff0090942e4
0xfffffff0090be1c4: 60090035  cbnz	w0, #0xfffffff0090be2f0
0xfffffff0090be1c8: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0090be1cc: 1f6100f1  cmp	x8, #0x18
0xfffffff0090be1d0: 010b0054  b.ne	#0xfffffff0090be330
0xfffffff0090be1d4: e3c30091  add	x3, sp, #0x30
0xfffffff0090be1d8: e00317aa  mov	x0, x23
0xfffffff0090be1dc: 21048052  mov	w1, #0x21
0xfffffff0090be1e0: 02008052  mov	w2, #0
0xfffffff0090be1e4: 04038052  mov	w4, #0x18
0xfffffff0090be1e8: e50315aa  mov	x5, x21
0xfffffff0090be1ec: e60314aa  mov	x6, x20
0xfffffff0090be1f0: 519081d2  mov	x17, #0xc82
0xfffffff0090be1f4: d10a3fd7  blraa	x22, x17
0xfffffff0090be1f8: f30300aa  mov	x19, x0
0xfffffff0090be1fc: 800b0035  cbnz	w0, #0xfffffff0090be36c
0xfffffff0090be200: 48018052  mov	w8, #0xa
0xfffffff0090be204: 89034039  ldrb	w9, [x28]
0xfffffff0090be208: 1f01096b  cmp	w8, w9
0xfffffff0090be20c: 03010054  b.lo	#0xfffffff0090be22c
0xfffffff0090be210: e80313aa  mov	x8, x19
0xfffffff0090be214: 087d4093  sxtw	x8, w8
0xfffffff0090be218: fb6b00a9  stp	x27, x26, [sp]
0xfffffff0090be21c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090be220: c01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090be224: 00903891  add	x0, x0, #0xe24
0xfffffff0090be228: 7e63ca97  bl	#0xfffffff008357020
0xfffffff0090be22c: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0090be230: 4954fff0  adrp	x9, #0xfffffff007b49000
0xfffffff0090be234: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090be238: 290140f9  ldr	x9, [x9]
0xfffffff0090be23c: 3f0108eb  cmp	x9, x8
0xfffffff0090be240: 610b0054  b.ne	#0xfffffff0090be3ac
0xfffffff0090be244: e00313aa  mov	x0, x19
0xfffffff0090be248: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0090be24c: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0090be250: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0090be254: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0090be258: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0090be25c: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0090be260: ffc30291  add	sp, sp, #0xb0
0xfffffff0090be264: ff0f5fd6  retab	
0xfffffff0090be268: e8948052  mov	w8, #0x4a7
0xfffffff0090be26c: 491dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090be270: 29693f91  add	x9, x9, #0xfda
0xfffffff0090be274: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090be278: c81cfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090be27c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090be280: 4a1dffd0  adrp	x10, #0xfffffff007468000
0xfffffff0090be284: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090be288: 12000014  b	#0xfffffff0090be2d0
0xfffffff0090be28c: 08958052  mov	w8, #0x4a8
0xfffffff0090be290: 491dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090be294: 29693f91  add	x9, x9, #0xfda
0xfffffff0090be298: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090be29c: c81cfff0  adrp	x8, #0xfffffff007459000
