; Candidate 9774
; ADRP+ADD at VM 0xfffffff008b0faf0 (fileoff 0x1b0baf0): page=0x1fe7dc000 add_imm=0xdea

0xfffffff008b0fa70: 29008052  mov	w9, #1
0xfffffff008b0fa74: 2821c89a  lsl	x8, x9, x8
0xfffffff008b0fa78: 1f096af2  tst	x8, #0x1c00000
0xfffffff008b0fa7c: 80020054  b.eq	#0xfffffff008b0facc
0xfffffff008b0fa80: 080b4039  ldrb	w8, [x24, #2]
0xfffffff008b0fa84: 083000b9  str	w8, [x0, #0x30]
0xfffffff008b0fa88: 684a52b9  ldr	w8, [x19, #0x1248]
0xfffffff008b0fa8c: 083400b9  str	w8, [x0, #0x34]
0xfffffff008b0fa90: 11000014  b	#0xfffffff008b0fad4
0xfffffff008b0fa94: 684252b9  ldr	w8, [x19, #0x1240]
0xfffffff008b0fa98: 087c0629  stp	w8, wzr, [x0, #0x30]
0xfffffff008b0fa9c: 0e000014  b	#0xfffffff008b0fad4
0xfffffff008b0faa0: 684e52b9  ldr	w8, [x19, #0x124c]
0xfffffff008b0faa4: 083400b9  str	w8, [x0, #0x34]
0xfffffff008b0faa8: 080f4039  ldrb	w8, [x24, #3]
0xfffffff008b0faac: 68000034  cbz	w8, #0xfffffff008b0fab8
0xfffffff008b0fab0: 28008052  mov	w8, #1
0xfffffff008b0fab4: 04000014  b	#0xfffffff008b0fac4
0xfffffff008b0fab8: 08134039  ldrb	w8, [x24, #4]
0xfffffff008b0fabc: a8000034  cbz	w8, #0xfffffff008b0fad0
0xfffffff008b0fac0: 48008052  mov	w8, #2
0xfffffff008b0fac4: 083000b9  str	w8, [x0, #0x30]
0xfffffff008b0fac8: 03000014  b	#0xfffffff008b0fad4
0xfffffff008b0facc: 1f3400b9  str	wzr, [x0, #0x34]
0xfffffff008b0fad0: 1f3000b9  str	wzr, [x0, #0x30]
0xfffffff008b0fad4: 68224339  ldrb	w8, [x19, #0xc8]
0xfffffff008b0fad8: 08010052  eor	w8, w8, #1
0xfffffff008b0fadc: 083800b9  str	w8, [x0, #0x38]
0xfffffff008b0fae0: 88508252  mov	w8, #0x1284
0xfffffff008b0fae4: 7a02088b  add	x26, x19, x8
0xfffffff008b0fae8: 28008052  mov	w8, #1
0xfffffff008b0faec: 688612b9  str	w8, [x19, #0x1284]
0xfffffff008b0faf0: e03eff90  adrp	x0, #0xfffffff0072eb000
0xfffffff008b0faf4: 00a83791  add	x0, x0, #0xdea
0xfffffff008b0faf8: e1031aaa  mov	x1, x26
0xfffffff008b0fafc: 82008052  mov	w2, #4
0xfffffff008b0fb00: 2e75e597  bl	#0xfffffff00846cfb8
0xfffffff008b0fb04: 60010034  cbz	w0, #0xfffffff008b0fb30
0xfffffff008b0fb08: 480340b9  ldr	w8, [x26]
0xfffffff008b0fb0c: f92300a9  stp	x25, x8, [sp]
0xfffffff008b0fb10: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0fb14: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0fb18: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0fb1c: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b0fb20: 433fffd0  adrp	x3, #0xfffffff0072f9000
0xfffffff008b0fb24: 63483791  add	x3, x3, #0xdd2
0xfffffff008b0fb28: 02008052  mov	w2, #0
0xfffffff008b0fb2c: 818de097  bl	#0xfffffff008333130
0xfffffff008b0fb30: 68264339  ldrb	w8, [x19, #0xc9]
0xfffffff008b0fb34: 698652b9  ldr	w9, [x19, #0x1284]
0xfffffff008b0fb38: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008b0fb3c: f90300f9  str	x25, [sp]
0xfffffff008b0fb40: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0fb44: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0fb48: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0fb4c: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b0fb50: 433fffd0  adrp	x3, #0xfffffff0072f9000
0xfffffff008b0fb54: 63203891  add	x3, x3, #0xe08
0xfffffff008b0fb58: 02008052  mov	w2, #0
0xfffffff008b0fb5c: 758de097  bl	#0xfffffff008333130
0xfffffff008b0fb60: 68264339  ldrb	w8, [x19, #0xc9]
0xfffffff008b0fb64: e8080034  cbz	w8, #0xfffffff008b0fc80
0xfffffff008b0fb68: 480340b9  ldr	w8, [x26]
0xfffffff008b0fb6c: a8080034  cbz	w8, #0xfffffff008b0fc80
