; Candidate 13222
; ADRP+ADD at VM 0xfffffff009233454 (fileoff 0x222f454): page=0x1fe281000 add_imm=0xe8b

0xfffffff0092333d4: 685240f9  ldr	x8, [x19, #0xa0]
0xfffffff0092333d8: 097540b9  ldr	w9, [x8, #0x74]
0xfffffff0092333dc: 29053036  tbz	w9, #6, #0xfffffff009233480
0xfffffff0092333e0: 083540b9  ldr	w8, [x8, #0x34]
0xfffffff0092333e4: 28fc0736  tbz	w8, #0, #0xfffffff009233368
0xfffffff0092333e8: f7060011  add	w23, w23, #1
0xfffffff0092333ec: ff160071  cmp	w23, #5
0xfffffff0092333f0: e00c0054  b.eq	#0xfffffff00923358c
0xfffffff0092333f4: 683641b9  ldr	w8, [x19, #0x134]
0xfffffff0092333f8: 1f050071  cmp	w8, #1
0xfffffff0092333fc: 61fbff54  b.ne	#0xfffffff009233368
0xfffffff009233400: 20028052  mov	w0, #0x11
0xfffffff009233404: f98ec497  bl	#0xfffffff008356fe8
0xfffffff009233408: d8ffff17  b	#0xfffffff009233368
0xfffffff00923340c: d55a8052  mov	w21, #0x2d6
0xfffffff009233410: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff009233414: e80300f9  str	x8, [sp]
0xfffffff009233418: 0014ffb0  adrp	x0, #0xfffffff0074b4000
0xfffffff00923341c: 00d83991  add	x0, x0, #0xe76
0xfffffff009233420: 4cf0c897  bl	#0xfffffff00846f550
0xfffffff009233424: 683641b9  ldr	w8, [x19, #0x134]
0xfffffff009233428: b74e0011  add	w23, w21, #0x13
0xfffffff00923342c: 1f050071  cmp	w8, #1
0xfffffff009233430: 01080054  b.ne	#0xfffffff009233530
0xfffffff009233434: 68265339  ldrb	w8, [x19, #0x4c9]
0xfffffff009233438: c8070034  cbz	w8, #0xfffffff009233530
0xfffffff00923343c: e00316aa  mov	x0, x22
0xfffffff009233440: 8668b297  bl	#0xfffffff007ecd658
0xfffffff009233444: b74e0011  add	w23, w21, #0x13
0xfffffff009233448: 3a000014  b	#0xfffffff009233530
0xfffffff00923344c: d75a8052  mov	w23, #0x2d6
0xfffffff009233450: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff009233454: 0014ffb0  adrp	x0, #0xfffffff0074b4000
0xfffffff009233458: 002c3a91  add	x0, x0, #0xe8b
0xfffffff00923345c: 3df0c897  bl	#0xfffffff00846f550
0xfffffff009233460: 683641b9  ldr	w8, [x19, #0x134]
0xfffffff009233464: 1f050071  cmp	w8, #1
0xfffffff009233468: 41060054  b.ne	#0xfffffff009233530
0xfffffff00923346c: 68265339  ldrb	w8, [x19, #0x4c9]
0xfffffff009233470: 08060034  cbz	w8, #0xfffffff009233530
0xfffffff009233474: e00316aa  mov	x0, x22
0xfffffff009233478: 7868b297  bl	#0xfffffff007ecd658
0xfffffff00923347c: 2d000014  b	#0xfffffff009233530
0xfffffff009233480: e00313aa  mov	x0, x19
0xfffffff009233484: a00c0094  bl	#0xfffffff009236704
0xfffffff009233488: 683641b9  ldr	w8, [x19, #0x134]
0xfffffff00923348c: 1f050071  cmp	w8, #1
0xfffffff009233490: 61010054  b.ne	#0xfffffff0092334bc
0xfffffff009233494: 68265339  ldrb	w8, [x19, #0x4c9]
0xfffffff009233498: 28010034  cbz	w8, #0xfffffff0092334bc
0xfffffff00923349c: 40068052  mov	w0, #0x32
0xfffffff0092334a0: da8ec497  bl	#0xfffffff008357008
0xfffffff0092334a4: e00313aa  mov	x0, x19
0xfffffff0092334a8: 0f0b0094  bl	#0xfffffff0092360e4
0xfffffff0092334ac: e00316aa  mov	x0, x22
0xfffffff0092334b0: 6a68b297  bl	#0xfffffff007ecd658
0xfffffff0092334b4: e00313aa  mov	x0, x19
0xfffffff0092334b8: 930c0094  bl	#0xfffffff009236704
0xfffffff0092334bc: f90100b4  cbz	x25, #0xfffffff0092334f8
0xfffffff0092334c0: 080080d2  mov	x8, #0
0xfffffff0092334c4: 09008052  mov	w9, #0
0xfffffff0092334c8: 1f050072  tst	w8, #3
0xfffffff0092334cc: a1000054  b.ne	#0xfffffff0092334e0
0xfffffff0092334d0: 695240f9  ldr	x9, [x19, #0xa0]
