; Candidate 412
; ADRP+ADD at VM 0xfffffff007f05e98 (fileoff 0xf01e98): page=0x1ff158000 add_imm=0xe21

0xfffffff007f05e18: e10315aa  mov	x1, x21
0xfffffff007f05e1c: e20313aa  mov	x2, x19
0xfffffff007f05e20: e30316aa  mov	x3, x22
0xfffffff007f05e24: 93fafb97  bl	#0xfffffff007e04870
0xfffffff007f05e28: 130080d2  mov	x19, #0
0xfffffff007f05e2c: 86ffff17  b	#0xfffffff007f05c44
0xfffffff007f05e30: e00313aa  mov	x0, x19
0xfffffff007f05e34: 02008052  mov	w2, #0
0xfffffff007f05e38: 3097fa97  bl	#0xfffffff007dabaf8
0xfffffff007f05e3c: 68b640b9  ldr	w8, [x19, #0xb4]
0xfffffff007f05e40: 48efff35  cbnz	w8, #0xfffffff007f05c28
0xfffffff007f05e44: 71ffff17  b	#0xfffffff007f05c08
0xfffffff007f05e48: 01010034  cbz	w1, #0xfffffff007f05e68
0xfffffff007f05e4c: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007f05e50: 68220091  add	x8, x19, #8
0xfffffff007f05e54: 291844b9  ldr	w9, [x1, #0x418]
0xfffffff007f05e58: e20309aa  mov	x2, x9
0xfffffff007f05e5c: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007f05e60: 5f00096b  cmp	w2, w9
0xfffffff007f05e64: e1040054  b.ne	#0xfffffff007f05f00
0xfffffff007f05e68: 88060051  sub	w8, w20, #1
0xfffffff007f05e6c: 69e64079  ldrh	w9, [x19, #0x72]
0xfffffff007f05e70: 6ae24079  ldrh	w10, [x19, #0x70]
0xfffffff007f05e74: 6b5640b9  ldr	w11, [x19, #0x54]
0xfffffff007f05e78: ccf38252  mov	w12, #0x179e
0xfffffff007f05e7c: cd8aff90  adrp	x13, #0xfffffff00705d000
0xfffffff007f05e80: ad410791  add	x13, x13, #0x1d0
0xfffffff007f05e84: ed3303a9  stp	x13, x12, [sp, #0x30]
0xfffffff007f05e88: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff007f05e8c: ca8aff90  adrp	x10, #0xfffffff00705d000
0xfffffff007f05e90: 4ab53991  add	x10, x10, #0xe6d
0xfffffff007f05e94: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff007f05e98: c08aff90  adrp	x0, #0xfffffff00705d000
0xfffffff007f05e9c: 00843891  add	x0, x0, #0xe21
0xfffffff007f05ea0: ea4f00a9  stp	x10, x19, [sp]
0xfffffff007f05ea4: 9a391694  bl	#0xfffffff00849450c
0xfffffff007f05ea8: 88f78252  mov	w8, #0x17bc
0xfffffff007f05eac: c98aff90  adrp	x9, #0xfffffff00705d000
0xfffffff007f05eb0: 29410791  add	x9, x9, #0x1d0
0xfffffff007f05eb4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f05eb8: f32300a9  stp	x19, x8, [sp]
0xfffffff007f05ebc: 808cffb0  adrp	x0, #0xfffffff007096000
0xfffffff007f05ec0: 00502c91  add	x0, x0, #0xb14
0xfffffff007f05ec4: 92391694  bl	#0xfffffff00849450c
0xfffffff007f05ec8: f40300aa  mov	x20, x0
0xfffffff007f05ecc: e00313aa  mov	x0, x19
0xfffffff007f05ed0: 259afa97  bl	#0xfffffff007dac764
0xfffffff007f05ed4: e00314aa  mov	x0, x20
0xfffffff007f05ed8: 00f8ffb5  cbnz	x0, #0xfffffff007f05dd8
0xfffffff007f05edc: c0ffff17  b	#0xfffffff007f05ddc
0xfffffff007f05ee0: 88f78252  mov	w8, #0x17bc
0xfffffff007f05ee4: c98aff90  adrp	x9, #0xfffffff00705d000
0xfffffff007f05ee8: 29410791  add	x9, x9, #0x1d0
0xfffffff007f05eec: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f05ef0: f32300a9  stp	x19, x8, [sp]
0xfffffff007f05ef4: 808cffb0  adrp	x0, #0xfffffff007096000
0xfffffff007f05ef8: 00982b91  add	x0, x0, #0xae6
0xfffffff007f05efc: 84391694  bl	#0xfffffff00849450c
0xfffffff007f05f00: e00313aa  mov	x0, x19
0xfffffff007f05f04: 189afa97  bl	#0xfffffff007dac764
0xfffffff007f05f08: d8ffff17  b	#0xfffffff007f05e68
0xfffffff007f05f0c: 7f2303d5  pacibsp	
0xfffffff007f05f10: ffc301d1  sub	sp, sp, #0x70
0xfffffff007f05f14: fa6702a9  stp	x26, x25, [sp, #0x20]
