; Candidate 224
; ADRP+ADD at VM 0xfffffff007e3411c (fileoff 0xe3011c): page=0x239d000 add_imm=0xd20

0xfffffff007e3409c: 1f011139  strb	wzr, [x8, #0x440]
0xfffffff007e340a0: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e340a4: e20308aa  mov	x2, x8
0xfffffff007e340a8: 5fffa288  casl	w2, wzr, [x26]
0xfffffff007e340ac: 5f00086b  cmp	w2, w8
0xfffffff007e340b0: 21040054  b.ne	#0xfffffff007e34134
0xfffffff007e340b4: f0fffff0  adrp	x16, #0xfffffff007e33000
0xfffffff007e340b8: 10e20c91  add	x16, x16, #0x338
0xfffffff007e340bc: f1a09ad2  mov	x17, #0xd507
0xfffffff007e340c0: 3002c1da  pacia	x16, x17
0xfffffff007e340c4: e00310aa  mov	x0, x16
0xfffffff007e340c8: 010080d2  mov	x1, #0
0xfffffff007e340cc: 02008052  mov	w2, #0
0xfffffff007e340d0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007e340d4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007e340d8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007e340dc: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007e340e0: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007e340e4: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff007e340e8: ff030291  add	sp, sp, #0x80
0xfffffff007e340ec: ff2303d5  autibsp	
0xfffffff007e340f0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e340f4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e340fc
0xfffffff007e340f8: 208e38d4  brk	#0xc471
0xfffffff007e340fc: 6b35fe17  b	#0xfffffff007dc16a8
0xfffffff007e34100: 8893ffb0  adrp	x8, #0xfffffff0070a5000
0xfffffff007e34104: 08752591  add	x8, x8, #0x95d
0xfffffff007e34108: 693a8052  mov	w9, #0x1d3
0xfffffff007e3410c: e82700a9  stp	x8, x9, [sp]
0xfffffff007e34110: 8093ffb0  adrp	x0, #0xfffffff0070a5000
0xfffffff007e34114: 00102591  add	x0, x0, #0x944
0xfffffff007e34118: fd801994  bl	#0xfffffff00849450c
0xfffffff007e3411c: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34120: 00803491  add	x0, x0, #0xd20
0xfffffff007e34124: e10313aa  mov	x1, x19
0xfffffff007e34128: 42008052  mov	w2, #2
0xfffffff007e3412c: 73defd97  bl	#0xfffffff007dabaf8
0xfffffff007e34130: aefcff17  b	#0xfffffff007e333e8
0xfffffff007e34134: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34138: 00803491  add	x0, x0, #0xd20
0xfffffff007e3413c: e10313aa  mov	x1, x19
0xfffffff007e34140: 89e1fd97  bl	#0xfffffff007dac764
0xfffffff007e34144: dcffff17  b	#0xfffffff007e340b4
0xfffffff007e34148: 31b01994  bl	#0xfffffff0084a020c
