; Candidate 10624
; ADRP+ADD at VM 0xfffffff008de0064 (fileoff 0x1ddc064): page=0x1fe5e4000 add_imm=0xe15

0xfffffff008ddffe4: 4add1491  add	x10, x10, #0x537
0xfffffff008ddffe8: 77000014  b	#0xfffffff008de01c4
0xfffffff008ddffec: a8238052  mov	w8, #0x11d
0xfffffff008ddfff0: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddfff4: 29490d91  add	x9, x9, #0x352
0xfffffff008ddfff8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddfffc: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0000: 08493991  add	x8, x8, #0xe52
0xfffffff008de0004: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de0008: 4ac91d91  add	x10, x10, #0x772
0xfffffff008de000c: 6e000014  b	#0xfffffff008de01c4
0xfffffff008de0010: c8238052  mov	w8, #0x11e
0xfffffff008de0014: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0018: 29490d91  add	x9, x9, #0x352
0xfffffff008de001c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0020: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0024: 08493991  add	x8, x8, #0xe52
0xfffffff008de0028: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de002c: 4aed1d91  add	x10, x10, #0x77b
0xfffffff008de0030: 65000014  b	#0xfffffff008de01c4
0xfffffff008de0034: f50300aa  mov	x21, x0
0xfffffff008de0038: a87e4093  sxtw	x8, w21
0xfffffff008de003c: 69248052  mov	w9, #0x123
0xfffffff008de0040: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de0044: 4a490d91  add	x10, x10, #0x352
0xfffffff008de0048: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de004c: 292fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de0050: 29493991  add	x9, x9, #0xe52
0xfffffff008de0054: 2b2fff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de0058: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de005c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de0060: eb0300f9  str	x11, [sp]
0xfffffff008de0064: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de0068: 00543891  add	x0, x0, #0xe15
0xfffffff008de006c: eddbd597  bl	#0xfffffff008357020
0xfffffff008de0070: c8088052  mov	w8, #0x46
0xfffffff008de0074: b5ffff17  b	#0xfffffff008ddff48
0xfffffff008de0078: c8248052  mov	w8, #0x126
0xfffffff008de007c: f7a301a9  stp	x23, x8, [sp, #0x18]
0xfffffff008de0080: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0084: 08493991  add	x8, x8, #0xe52
0xfffffff008de0088: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de008c: 293d1b91  add	x9, x9, #0x6cf
0xfffffff008de0090: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de0094: e90300f9  str	x9, [sp]
0xfffffff008de0098: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de009c: 00543891  add	x0, x0, #0xe15
0xfffffff008de00a0: e0dbd597  bl	#0xfffffff008357020
0xfffffff008de00a4: c8088052  mov	w8, #0x46
0xfffffff008de00a8: 75008012  mov	w21, #-4
0xfffffff008de00ac: a5ffff17  b	#0xfffffff008ddff40
0xfffffff008de00b0: f80300aa  mov	x24, x0
0xfffffff008de00b4: 087f4093  sxtw	x8, w24
0xfffffff008de00b8: 49258052  mov	w9, #0x12a
0xfffffff008de00bc: f7a701a9  stp	x23, x9, [sp, #0x18]
0xfffffff008de00c0: 292fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de00c4: 29493991  add	x9, x9, #0xe52
0xfffffff008de00c8: 2a2fff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008de00cc: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de00d0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de00d4: ea0300f9  str	x10, [sp]
0xfffffff008de00d8: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de00dc: 00543891  add	x0, x0, #0xe15
0xfffffff008de00e0: d0dbd597  bl	#0xfffffff008357020
