; Candidate 10612
; ADRP+ADD at VM 0xfffffff008ddf900 (fileoff 0x1ddb900): page=0x1fe5e5000 add_imm=0xd54

0xfffffff008ddf880: e00315aa  mov	x0, x21
0xfffffff008ddf884: 21018052  mov	w1, #9
0xfffffff008ddf888: 02008052  mov	w2, #0
0xfffffff008ddf88c: e30313aa  mov	x3, x19
0xfffffff008ddf890: 04038052  mov	w4, #0x18
0xfffffff008ddf894: 050080d2  mov	x5, #0
0xfffffff008ddf898: 060080d2  mov	x6, #0
0xfffffff008ddf89c: 519081d2  mov	x17, #0xc82
0xfffffff008ddf8a0: 910a3fd7  blraa	x20, x17
0xfffffff008ddf8a4: f40300aa  mov	x20, x0
0xfffffff008ddf8a8: e0070035  cbnz	w0, #0xfffffff008ddf9a4
0xfffffff008ddf8ac: 55018052  mov	w21, #0xa
0xfffffff008ddf8b0: 002fffd0  adrp	x0, #0xfffffff0073c1000
0xfffffff008ddf8b4: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008ddf8b8: 032fffd0  adrp	x3, #0xfffffff0073c1000
0xfffffff008ddf8bc: 63480d91  add	x3, x3, #0x352
0xfffffff008ddf8c0: 052fffd0  adrp	x5, #0xfffffff0073c1000
0xfffffff008ddf8c4: a56c1b91  add	x5, x5, #0x6db
0xfffffff008ddf8c8: e10313aa  mov	x1, x19
0xfffffff008ddf8cc: 02038052  mov	w2, #0x18
0xfffffff008ddf8d0: 241d8052  mov	w4, #0xe9
0xfffffff008ddf8d4: fd1c0094  bl	#0xfffffff008de6cc8
0xfffffff008ddf8d8: e00313aa  mov	x0, x19
0xfffffff008ddf8dc: 01038052  mov	w1, #0x18
0xfffffff008ddf8e0: a31c0094  bl	#0xfffffff008de6b6c
0xfffffff008ddf8e4: 48034039  ldrb	w8, [x26]
0xfffffff008ddf8e8: bf02086b  cmp	w21, w8
0xfffffff008ddf8ec: 03010054  b.lo	#0xfffffff008ddf90c
0xfffffff008ddf8f0: e80314aa  mov	x8, x20
0xfffffff008ddf8f4: 087d4093  sxtw	x8, w8
0xfffffff008ddf8f8: f96300a9  stp	x25, x24, [sp]
0xfffffff008ddf8fc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008ddf900: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf904: 00503591  add	x0, x0, #0xd54
0xfffffff008ddf908: c6ddd597  bl	#0xfffffff008357020
0xfffffff008ddf90c: e00314aa  mov	x0, x20
0xfffffff008ddf910: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008ddf914: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008ddf918: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008ddf91c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008ddf920: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008ddf924: ff030291  add	sp, sp, #0x80
0xfffffff008ddf928: ff0f5fd6  retab	
0xfffffff008ddf92c: e81a8052  mov	w8, #0xd7
0xfffffff008ddf930: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf934: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf938: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddf93c: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf940: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf944: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf948: 4aad1a91  add	x10, x10, #0x6ab
0xfffffff008ddf94c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf950: ea0300f9  str	x10, [sp]
0xfffffff008ddf954: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf958: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf95c: b1ddd597  bl	#0xfffffff008357020
0xfffffff008ddf960: d5088052  mov	w21, #0x46
0xfffffff008ddf964: 54008012  mov	w20, #-3
0xfffffff008ddf968: dfffff17  b	#0xfffffff008ddf8e4
0xfffffff008ddf96c: 481b8052  mov	w8, #0xda
0xfffffff008ddf970: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff008ddf974: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf978: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf97c: 092fffd0  adrp	x9, #0xfffffff0073c1000
