; Candidate 7851
; ADRP+ADD at VM 0xfffffff008883378 (fileoff 0x187f378): page=0x1fe966000 add_imm=0xe80

0xfffffff0088832f8: 095d0691  add	x9, x8, #0x197
0xfffffff0088832fc: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883300: 08fd0891  add	x8, x8, #0x23f
0xfffffff008883304: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008883308: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00888330c: 880b8052  mov	w8, #0x5c
0xfffffff008883310: 404dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff008883314: 00880591  add	x0, x0, #0x162
0xfffffff008883318: fa2300a9  stp	x26, x8, [sp]
0xfffffff00888331c: 51d0d497  bl	#0xfffffff007db7460
0xfffffff008883320: 1c000014  b	#0xfffffff008883390
0xfffffff008883324: a2c30094  bl	#0xfffffff0088b41ac
0xfffffff008883328: fa0300aa  mov	x26, x0
0xfffffff00888332c: 00018052  mov	w0, #8
0xfffffff008883330: 48e1ff97  bl	#0xfffffff00887b850
0xfffffff008883334: e80319aa  mov	x8, x25
0xfffffff008883338: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00888333c: e83300f9  str	x8, [sp, #0x60]
0xfffffff008883340: e803182a  mov	w8, w24
0xfffffff008883344: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff008883348: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00888334c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008883350: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883354: 085d0691  add	x8, x8, #0x197
0xfffffff008883358: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00888335c: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883360: 08fd0891  add	x8, x8, #0x23f
0xfffffff008883364: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008883368: 880b8052  mov	w8, #0x5c
0xfffffff00888336c: c34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff008883370: 63600091  add	x3, x3, #0x18
0xfffffff008883374: fa2300a9  stp	x26, x8, [sp]
0xfffffff008883378: 204bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888337c: 00003a91  add	x0, x0, #0xe80
0xfffffff008883380: 218cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008883384: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008883388: 02008052  mov	w2, #0
0xfffffff00888338c: 69bfea97  bl	#0xfffffff008333130
0xfffffff008883390: e00319aa  mov	x0, x25
0xfffffff008883394: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008883398: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00888339c: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0088833a0: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0088833a4: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0088833a8: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0088833ac: ff430391  add	sp, sp, #0xd0
0xfffffff0088833b0: ff0f5fd6  retab	
0xfffffff0088833b4: 3f031a6b  cmp	w25, w26
0xfffffff0088833b8: ad020054  b.le	#0xfffffff00888340c
0xfffffff0088833bc: e80315aa  mov	x8, x21
0xfffffff0088833c0: 087d4093  sxtw	x8, w8
0xfffffff0088833c4: 1b0500d1  sub	x27, x8, #1
0xfffffff0088833c8: 817a7bb8  ldr	w1, [x20, x27, lsl #2]
0xfffffff0088833cc: e00313aa  mov	x0, x19
0xfffffff0088833d0: e20317aa  mov	x2, x23
0xfffffff0088833d4: 59fdff97  bl	#0xfffffff008882938
0xfffffff0088833d8: f90300aa  mov	x25, x0
0xfffffff0088833dc: 1f000071  cmp	w0, #0
0xfffffff0088833e0: 041b407a  ccmp	w24, #0, #4, ne
0xfffffff0088833e4: c0000054  b.eq	#0xfffffff0088833fc
0xfffffff0088833e8: 817a7bb8  ldr	w1, [x20, x27, lsl #2]
0xfffffff0088833ec: e00313aa  mov	x0, x19
0xfffffff0088833f0: e20317aa  mov	x2, x23
0xfffffff0088833f4: d6fdff97  bl	#0xfffffff008882b4c
