; Candidate 2443
; ADRP+ADD at VM 0xfffffff00867dfdc (fileoff 0x1679fdc): page=0x1feaa3000 add_imm=0xdca

0xfffffff00867df5c: 116e80d2  mov	x17, #0x370
0xfffffff00867df60: 1002118b  add	x16, x16, x17
0xfffffff00867df64: 080240f9  ldr	x8, [x16]
0xfffffff00867df68: e90310aa  mov	x9, x16
0xfffffff00867df6c: e00314aa  mov	x0, x20
0xfffffff00867df70: f10309aa  mov	x17, x9
0xfffffff00867df74: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff00867df78: 11093fd7  blraa	x8, x17
0xfffffff00867df7c: 100040f9  ldr	x16, [x0]
0xfffffff00867df80: f10300aa  mov	x17, x0
0xfffffff00867df84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00867df88: 301ac1da  autda	x16, x17
0xfffffff00867df8c: 113d80d2  mov	x17, #0x1e8
0xfffffff00867df90: 1002118b  add	x16, x16, x17
0xfffffff00867df94: 080240f9  ldr	x8, [x16]
0xfffffff00867df98: e90310aa  mov	x9, x16
0xfffffff00867df9c: 010080d2  mov	x1, #0
0xfffffff00867dfa0: f10309aa  mov	x17, x9
0xfffffff00867dfa4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00867dfa8: 11093fd7  blraa	x8, x17
0xfffffff00867dfac: 03000014  b	#0xfffffff00867dfb8
0xfffffff00867dfb0: 0055ffb0  adrp	x0, #0xfffffff00711e000
0xfffffff00867dfb4: 00642e91  add	x0, x0, #0xb99
0xfffffff00867dfb8: 8802178b  add	x8, x20, x23
0xfffffff00867dfbc: 09d94639  ldrb	w9, [x8, #0x1b6]
0xfffffff00867dfc0: 0a034039  ldrb	w10, [x24]
0xfffffff00867dfc4: 08d14639  ldrb	w8, [x8, #0x1b4]
0xfffffff00867dfc8: ea2303a9  stp	x10, x8, [sp, #0x30]
0xfffffff00867dfcc: f52702a9  stp	x21, x9, [sp, #0x20]
0xfffffff00867dfd0: 0855fff0  adrp	x8, #0xfffffff007120000
0xfffffff00867dfd4: 08353891  add	x8, x8, #0xe0d
0xfffffff00867dfd8: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff00867dfdc: 0055fff0  adrp	x0, #0xfffffff007120000
0xfffffff00867dfe0: 00283791  add	x0, x0, #0xdca
0xfffffff00867dfe4: f62300a9  stp	x22, x8, [sp]
0xfffffff00867dfe8: 0e64f397  bl	#0xfffffff008357020
0xfffffff00867dfec: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00867dff0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00867dff4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00867dff8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00867dffc: ff030291  add	sp, sp, #0x80
0xfffffff00867e000: ff0f5fd6  retab	
0xfffffff00867e004: 5f2403d5  bti	c
0xfffffff00867e008: 100040f9  ldr	x16, [x0]
0xfffffff00867e00c: f10300aa  mov	x17, x0
0xfffffff00867e010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00867e014: 301ac1da  autda	x16, x17
0xfffffff00867e018: 11b580d2  mov	x17, #0x5a8
0xfffffff00867e01c: 1002118b  add	x16, x16, x17
0xfffffff00867e020: 080240f9  ldr	x8, [x16]
0xfffffff00867e024: e10310aa  mov	x1, x16
0xfffffff00867e028: f00308aa  mov	x16, x8
0xfffffff00867e02c: f10301aa  mov	x17, x1
0xfffffff00867e030: 51f9f4f2  movk	x17, #0xa7ca, lsl #48
0xfffffff00867e034: 110a1fd7  braa	x16, x17
0xfffffff00867e038: 5f2403d5  bti	c
0xfffffff00867e03c: c0035fd6  ret	
0xfffffff00867e040: 7f2303d5  pacibsp	
0xfffffff00867e044: ff8303d1  sub	sp, sp, #0xe0
0xfffffff00867e048: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff00867e04c: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff00867e050: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff00867e054: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff00867e058: f44f0ca9  stp	x20, x19, [sp, #0xc0]
