; Candidate 8504
; ADRP+ADD at VM 0xfffffff0088ae4c0 (fileoff 0x18aa4c0): page=0x1fe93b000 add_imm=0xe80

0xfffffff0088ae440: e80314aa  mov	x8, x20
0xfffffff0088ae444: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088ae448: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae44c: 086d3a91  add	x8, x8, #0xe9b
0xfffffff0088ae450: c9af8052  mov	w9, #0x57e
0xfffffff0088ae454: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ae458: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae45c: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae460: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae464: c80f8052  mov	w8, #0x7e
0xfffffff0088ae468: 604bfff0  adrp	x0, #0xfffffff00721d000
0xfffffff0088ae46c: 00301391  add	x0, x0, #0x4cc
0xfffffff0088ae470: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ae474: fb23d497  bl	#0xfffffff007db7460
0xfffffff0088ae478: 79000014  b	#0xfffffff0088ae65c
0xfffffff0088ae47c: 4c170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae480: f50300aa  mov	x21, x0
0xfffffff0088ae484: 00018052  mov	w0, #8
0xfffffff0088ae488: f234ff97  bl	#0xfffffff00887b850
0xfffffff0088ae48c: 680240b9  ldr	w8, [x19]
0xfffffff0088ae490: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088ae494: 6a1640b9  ldr	w10, [x19, #0x14]
0xfffffff0088ae498: 6b4e41b9  ldr	w11, [x19, #0x14c]
0xfffffff0088ae49c: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff0088ae4a0: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088ae4a4: 08b08052  mov	w8, #0x580
0xfffffff0088ae4a8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088ae4ac: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae4b0: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae4b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae4b8: c80f8052  mov	w8, #0x7e
0xfffffff0088ae4bc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ae4c0: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae4c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae4c8: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae4cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae4d0: a34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088ae4d4: 63183e91  add	x3, x3, #0xf86
0xfffffff0088ae4d8: 02008052  mov	w2, #0
0xfffffff0088ae4dc: 1513ea97  bl	#0xfffffff008333130
0xfffffff0088ae4e0: 74520229  stp	w20, w20, [x19, #0x10]
0xfffffff0088ae4e4: e00313aa  mov	x0, x19
0xfffffff0088ae4e8: 71e8ff97  bl	#0xfffffff0088a86ac
0xfffffff0088ae4ec: 00040034  cbz	w0, #0xfffffff0088ae56c
0xfffffff0088ae4f0: f50300aa  mov	x21, x0
0xfffffff0088ae4f4: c00f8052  mov	w0, #0x7e
0xfffffff0088ae4f8: 81008052  mov	w1, #4
0xfffffff0088ae4fc: b534ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae500: 000b0034  cbz	w0, #0xfffffff0088ae660
0xfffffff0088ae504: c00f8052  mov	w0, #0x7e
0xfffffff0088ae508: c434ff97  bl	#0xfffffff00887b818
0xfffffff0088ae50c: f70300aa  mov	x23, x0
0xfffffff0088ae510: 27170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae514: f60300aa  mov	x22, x0
0xfffffff0088ae518: 80008052  mov	w0, #4
0xfffffff0088ae51c: cd34ff97  bl	#0xfffffff00887b850
0xfffffff0088ae520: 77100034  cbz	w23, #0xfffffff0088ae72c
0xfffffff0088ae524: 680240b9  ldr	w8, [x19]
0xfffffff0088ae528: 694e41b9  ldr	w9, [x19, #0x14c]
0xfffffff0088ae52c: 6a5241b9  ldr	w10, [x19, #0x150]
0xfffffff0088ae530: 6b1640b9  ldr	w11, [x19, #0x14]
0xfffffff0088ae534: eb5705a9  stp	x11, x21, [sp, #0x50]
0xfffffff0088ae538: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088ae53c: f32303a9  stp	x19, x8, [sp, #0x30]
