; Candidate 8257
; ADRP+ADD at VM 0xfffffff00889f4b4 (fileoff 0x189b4b4): page=0x1fe991000 add_imm=0xd5c

0xfffffff00889f434: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f438: 63483191  add	x3, x3, #0xc52
0xfffffff00889f43c: 02008052  mov	w2, #0
0xfffffff00889f440: 3c4fea97  bl	#0xfffffff008333130
0xfffffff00889f444: a00f8052  mov	w0, #0x7d
0xfffffff00889f448: 140400b4  cbz	x20, #0xfffffff00889f4c8
0xfffffff00889f44c: 01018052  mov	w1, #8
0xfffffff00889f450: e070ff97  bl	#0xfffffff00887b7d0
0xfffffff00889f454: 200b0034  cbz	w0, #0xfffffff00889f5b8
0xfffffff00889f458: a00f8052  mov	w0, #0x7d
0xfffffff00889f45c: ef70ff97  bl	#0xfffffff00887b818
0xfffffff00889f460: f70300aa  mov	x23, x0
0xfffffff00889f464: 52530094  bl	#0xfffffff0088b41ac
0xfffffff00889f468: f50300aa  mov	x21, x0
0xfffffff00889f46c: 00018052  mov	w0, #8
0xfffffff00889f470: f870ff97  bl	#0xfffffff00887b850
0xfffffff00889f474: 57060034  cbz	w23, #0xfffffff00889f53c
0xfffffff00889f478: f60300aa  mov	x22, x0
0xfffffff00889f47c: 60820c91  add	x0, x19, #0x320
0xfffffff00889f480: 770240b9  ldr	w23, [x19]
0xfffffff00889f484: 780a40b9  ldr	w24, [x19, #8]
0xfffffff00889f488: 6a40fe97  bl	#0xfffffff00882f630
0xfffffff00889f48c: f80304a9  stp	x24, x0, [sp, #0x40]
0xfffffff00889f490: f35f03a9  stp	x19, x23, [sp, #0x30]
0xfffffff00889f494: 68568052  mov	w8, #0x2b3
0xfffffff00889f498: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f49c: 29f53491  add	x9, x9, #0xd3d
0xfffffff00889f4a0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889f4a4: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f4a8: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f4ac: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff00889f4b0: a80f8052  mov	w8, #0x7d
0xfffffff00889f4b4: 804cffb0  adrp	x0, #0xfffffff007230000
0xfffffff00889f4b8: 00703591  add	x0, x0, #0xd5c
0xfffffff00889f4bc: f52300a9  stp	x21, x8, [sp]
0xfffffff00889f4c0: e85fd497  bl	#0xfffffff007db7460
0xfffffff00889f4c4: 3d000014  b	#0xfffffff00889f5b8
0xfffffff00889f4c8: 81008052  mov	w1, #4
0xfffffff00889f4cc: c170ff97  bl	#0xfffffff00887b7d0
0xfffffff00889f4d0: 80160034  cbz	w0, #0xfffffff00889f7a0
0xfffffff00889f4d4: a00f8052  mov	w0, #0x7d
0xfffffff00889f4d8: d070ff97  bl	#0xfffffff00887b818
0xfffffff00889f4dc: f60300aa  mov	x22, x0
0xfffffff00889f4e0: 33530094  bl	#0xfffffff0088b41ac
0xfffffff00889f4e4: f50300aa  mov	x21, x0
0xfffffff00889f4e8: 80008052  mov	w0, #4
0xfffffff00889f4ec: d970ff97  bl	#0xfffffff00887b850
0xfffffff00889f4f0: 56120034  cbz	w22, #0xfffffff00889f738
0xfffffff00889f4f4: 680240b9  ldr	w8, [x19]
0xfffffff00889f4f8: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f4fc: 292d3591  add	x9, x9, #0xd4b
0xfffffff00889f500: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00889f504: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00889f508: 08568052  mov	w8, #0x2b0
0xfffffff00889f50c: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f510: 29f53491  add	x9, x9, #0xd3d
0xfffffff00889f514: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889f518: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f51c: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f520: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889f524: a80f8052  mov	w8, #0x7d
0xfffffff00889f528: 804cffb0  adrp	x0, #0xfffffff007230000
0xfffffff00889f52c: 00601591  add	x0, x0, #0x558
0xfffffff00889f530: f52300a9  stp	x21, x8, [sp]
