; Candidate 4379
; ADRP+ADD at VM 0xfffffff0087a8d88 (fileoff 0x17a4d88): page=0x1fe989000 add_imm=0xd90

0xfffffff0087a8d08: a88354f8  ldur	x8, [x29, #-0xb8]
0xfffffff0087a8d0c: 9f0208eb  cmp	x20, x8
0xfffffff0087a8d10: a1c4ff54  b.ne	#0xfffffff0087a85a4
0xfffffff0087a8d14: f7fdff17  b	#0xfffffff0087a84f0
0xfffffff0087a8d18: ab0354b8  ldur	w11, [x29, #-0xc0]
0xfffffff0087a8d1c: 54f6ffb5  cbnz	x20, #0xfffffff0087a8be4
0xfffffff0087a8d20: a9ffff17  b	#0xfffffff0087a8bc4
0xfffffff0087a8d24: fa8700b9  str	w26, [sp, #0x84]
0xfffffff0087a8d28: ba4355b8  ldur	w26, [x29, #-0xac]
0xfffffff0087a8d2c: f6ffff17  b	#0xfffffff0087a8d04
0xfffffff0087a8d30: 18008052  mov	w24, #0
0xfffffff0087a8d34: b5021d32  orr	w21, w21, #8
0xfffffff0087a8d38: 30ffff17  b	#0xfffffff0087a89f8
0xfffffff0087a8d3c: 11d08452  mov	w17, #0x2680
0xfffffff0087a8d40: 1125119b  madd	x17, x8, x17, x9
0xfffffff0087a8d44: 31d24039  ldrb	w17, [x17, #0x34]
0xfffffff0087a8d48: 3f020071  cmp	w17, #0
0xfffffff0087a8d4c: 51050011  add	w17, w10, #1
0xfffffff0087a8d50: e001517a  ccmp	w15, w17, #0, eq
0xfffffff0087a8d54: c089407a  ccmp	w14, #0, #0, hi
0xfffffff0087a8d58: ee179f1a  cset	w14, eq
0xfffffff0087a8d5c: eeb700b9  str	w14, [sp, #0xb4]
0xfffffff0087a8d60: 73fdff17  b	#0xfffffff0087a832c
0xfffffff0087a8d64: a82776a9  ldp	x8, x9, [x29, #-0xa0]
0xfffffff0087a8d68: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff0087a8d6c: 0941388b  add	x9, x8, w24, uxtw
0xfffffff0087a8d70: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087a8d74: c90100b4  cbz	x9, #0xfffffff0087a8dac
0xfffffff0087a8d78: 29e98052  mov	w9, #0x749
0xfffffff0087a8d7c: 284dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a8d80: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a8d84: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a8d88: 404cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a8d8c: 00403691  add	x0, x0, #0xd90
0xfffffff0087a8d90: a192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a8d94: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a8d98: 034dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a8d9c: 63f43791  add	x3, x3, #0xdfd
0xfffffff0087a8da0: 02008052  mov	w2, #0
0xfffffff0087a8da4: e328ee97  bl	#0xfffffff008333130
0xfffffff0087a8da8: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff0087a8dac: 0903080b  add	w9, w24, w8
0xfffffff0087a8db0: 8a0209ab  adds	x10, x20, x9
0xfffffff0087a8db4: 22030054  b.hs	#0xfffffff0087a8e18
0xfffffff0087a8db8: eb03182a  mov	w11, w24
0xfffffff0087a8dbc: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff0087a8dc0: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff0087a8dc4: aa8356f8  ldur	x10, [x29, #-0x98]
0xfffffff0087a8dc8: 540940f9  ldr	x20, [x10, #0x10]
0xfffffff0087a8dcc: 08010b8b  add	x8, x8, x11
0xfffffff0087a8dd0: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087a8dd4: e80100b4  cbz	x8, #0xfffffff0087a8e10
0xfffffff0087a8dd8: 49e98052  mov	w9, #0x74a
0xfffffff0087a8ddc: 284dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a8de0: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a8de4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a8de8: 404cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a8dec: 00403691  add	x0, x0, #0xd90
0xfffffff0087a8df0: a192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a8df4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a8df8: 034dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a8dfc: 63c43891  add	x3, x3, #0xe31
0xfffffff0087a8e00: 02008052  mov	w2, #0
0xfffffff0087a8e04: cb28ee97  bl	#0xfffffff008333130
