; Candidate 5017
; ADRP+ADD at VM 0xfffffff0087d24e4 (fileoff 0x17ce4e4): page=0x1fea17000 add_imm=0xe80

0xfffffff0087d2464: 11093fd7  blraa	x8, x17
0xfffffff0087d2468: f50300aa  mov	x21, x0
0xfffffff0087d246c: 40008052  mov	w0, #2
0xfffffff0087d2470: 01008052  mov	w1, #0
0xfffffff0087d2474: d7a40294  bl	#0xfffffff00887b7d0
0xfffffff0087d2478: 60040034  cbz	w0, #0xfffffff0087d2504
0xfffffff0087d247c: 40008052  mov	w0, #2
0xfffffff0087d2480: e6a40294  bl	#0xfffffff00887b818
0xfffffff0087d2484: f80300aa  mov	x24, x0
0xfffffff0087d2488: 49870394  bl	#0xfffffff0088b41ac
0xfffffff0087d248c: f70300aa  mov	x23, x0
0xfffffff0087d2490: 00008052  mov	w0, #0
0xfffffff0087d2494: efa40294  bl	#0xfffffff00887b850
0xfffffff0087d2498: 58010034  cbz	w24, #0xfffffff0087d24c0
0xfffffff0087d249c: e8830191  add	x8, sp, #0x60
0xfffffff0087d24a0: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff0087d24a4: 48008052  mov	w8, #2
0xfffffff0087d24a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d24ac: f70300f9  str	x23, [sp]
0xfffffff0087d24b0: e051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d24b4: 00241191  add	x0, x0, #0x449
0xfffffff0087d24b8: ea93d797  bl	#0xfffffff007db7460
0xfffffff0087d24bc: 12000014  b	#0xfffffff0087d2504
0xfffffff0087d24c0: 3b870394  bl	#0xfffffff0088b41ac
0xfffffff0087d24c4: f70300aa  mov	x23, x0
0xfffffff0087d24c8: 00008052  mov	w0, #0
0xfffffff0087d24cc: e1a40294  bl	#0xfffffff00887b850
0xfffffff0087d24d0: e8830191  add	x8, sp, #0x60
0xfffffff0087d24d4: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff0087d24d8: 48008052  mov	w8, #2
0xfffffff0087d24dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d24e0: f70300f9  str	x23, [sp]
0xfffffff0087d24e4: a050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d24e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d24ec: a191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d24f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d24f4: 4353ff90  adrp	x3, #0xfffffff00723a000
0xfffffff0087d24f8: 63783d91  add	x3, x3, #0xf5e
0xfffffff0087d24fc: 02008052  mov	w2, #0
0xfffffff0087d2500: 0c83ed97  bl	#0xfffffff008333130
0xfffffff0087d2504: 20130011  add	w0, w25, #4
0xfffffff0087d2508: c1008052  mov	w1, #6
0xfffffff0087d250c: 020080d2  mov	x2, #0
0xfffffff0087d2510: 030080d2  mov	x3, #0
0xfffffff0087d2514: 040080d2  mov	x4, #0
0xfffffff0087d2518: 050080d2  mov	x5, #0
0xfffffff0087d251c: 7aaee697  bl	#0xfffffff00817df04
0xfffffff0087d2520: 15040034  cbz	w21, #0xfffffff0087d25a0
0xfffffff0087d2524: 000a8052  mov	w0, #0x50
0xfffffff0087d2528: 81008052  mov	w1, #4
0xfffffff0087d252c: a9a40294  bl	#0xfffffff00887b7d0
0xfffffff0087d2530: 40030034  cbz	w0, #0xfffffff0087d2598
0xfffffff0087d2534: 000a8052  mov	w0, #0x50
0xfffffff0087d2538: b8a40294  bl	#0xfffffff00887b818
0xfffffff0087d253c: f80300aa  mov	x24, x0
0xfffffff0087d2540: 1b870394  bl	#0xfffffff0088b41ac
0xfffffff0087d2544: f70300aa  mov	x23, x0
0xfffffff0087d2548: 80008052  mov	w0, #4
0xfffffff0087d254c: c1a40294  bl	#0xfffffff00887b850
0xfffffff0087d2550: 38060034  cbz	w24, #0xfffffff0087d2614
0xfffffff0087d2554: f6d704a9  stp	x22, x21, [sp, #0x48]
0xfffffff0087d2558: e851fff0  adrp	x8, #0xfffffff007211000
0xfffffff0087d255c: 0aad1291  add	x10, x8, #0x4ab
0xfffffff0087d2560: f3d303a9  stp	x19, x20, [sp, #0x38]
