; Candidate 1500
; ADRP+ADD at VM 0xfffffff00844c038 (fileoff 0x1448038): page=0x1fec5a000 add_imm=0xd56

0xfffffff00844bfb8: ffc307d1  sub	sp, sp, #0x1f0
0xfffffff00844bfbc: fc6f19a9  stp	x28, x27, [sp, #0x190]
0xfffffff00844bfc0: fa671aa9  stp	x26, x25, [sp, #0x1a0]
0xfffffff00844bfc4: f85f1ba9  stp	x24, x23, [sp, #0x1b0]
0xfffffff00844bfc8: f6571ca9  stp	x22, x21, [sp, #0x1c0]
0xfffffff00844bfcc: f44f1da9  stp	x20, x19, [sp, #0x1d0]
0xfffffff00844bfd0: fd7b1ea9  stp	x29, x30, [sp, #0x1e0]
0xfffffff00844bfd4: fd830791  add	x29, sp, #0x1e0
0xfffffff00844bfd8: f30300aa  mov	x19, x0
0xfffffff00844bfdc: e8eb0090  adrp	x8, #0xfffffff00a1c7000
0xfffffff00844bfe0: 08010091  add	x8, x8, #0
0xfffffff00844bfe4: 080140f9  ldr	x8, [x8]
0xfffffff00844bfe8: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff00844bfec: e8ef00b0  adrp	x8, #0xfffffff00a248000
0xfffffff00844bff0: 009501f9  str	x0, [x8, #0x328]
0xfffffff00844bff4: c062fff0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844bff8: 000c3591  add	x0, x0, #0xd43
0xfffffff00844bffc: e574fb97  bl	#0xfffffff008329390
0xfffffff00844c000: f40300aa  mov	x20, x0
0xfffffff00844c004: f5ef0090  adrp	x21, #0xfffffff00a248000
0xfffffff00844c008: a09642f9  ldr	x0, [x21, #0x528]
0xfffffff00844c00c: 400100b4  cbz	x0, #0xfffffff00844c034
0xfffffff00844c010: 100040f9  ldr	x16, [x0]
0xfffffff00844c014: f10300aa  mov	x17, x0
0xfffffff00844c018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c01c: 301ac1da  autda	x16, x17
0xfffffff00844c020: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c024: e90310aa  mov	x9, x16
0xfffffff00844c028: f10309aa  mov	x17, x9
0xfffffff00844c02c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c030: 11093fd7  blraa	x8, x17
0xfffffff00844c034: b49602f9  str	x20, [x21, #0x528]
0xfffffff00844c038: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c03c: 00583591  add	x0, x0, #0xd56
0xfffffff00844c040: d474fb97  bl	#0xfffffff008329390
0xfffffff00844c044: f40300aa  mov	x20, x0
0xfffffff00844c048: faef0090  adrp	x26, #0xfffffff00a248000
0xfffffff00844c04c: 409b42f9  ldr	x0, [x26, #0x530]
0xfffffff00844c050: 400100b4  cbz	x0, #0xfffffff00844c078
0xfffffff00844c054: 100040f9  ldr	x16, [x0]
0xfffffff00844c058: f10300aa  mov	x17, x0
0xfffffff00844c05c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c060: 301ac1da  autda	x16, x17
0xfffffff00844c064: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c068: e90310aa  mov	x9, x16
0xfffffff00844c06c: f10309aa  mov	x17, x9
0xfffffff00844c070: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c074: 11093fd7  blraa	x8, x17
0xfffffff00844c078: 549b02f9  str	x20, [x26, #0x530]
0xfffffff00844c07c: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c080: 006c3591  add	x0, x0, #0xd5b
0xfffffff00844c084: c374fb97  bl	#0xfffffff008329390
0xfffffff00844c088: f40300aa  mov	x20, x0
0xfffffff00844c08c: f9ef0090  adrp	x25, #0xfffffff00a248000
0xfffffff00844c090: 209f42f9  ldr	x0, [x25, #0x538]
0xfffffff00844c094: 400100b4  cbz	x0, #0xfffffff00844c0bc
0xfffffff00844c098: 100040f9  ldr	x16, [x0]
0xfffffff00844c09c: f10300aa  mov	x17, x0
0xfffffff00844c0a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c0a4: 301ac1da  autda	x16, x17
0xfffffff00844c0a8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c0ac: e90310aa  mov	x9, x16
0xfffffff00844c0b0: f10309aa  mov	x17, x9
0xfffffff00844c0b4: f150e7f2  movk	x17, #0x3a87, lsl #48
