; Candidate 13733
; ADRP+ADD at VM 0xfffffff00955f710 (fileoff 0x255b710): page=0x1fe000000 add_imm=0xde3

0xfffffff00955f690: 09fc0094  bl	#0xfffffff00959e6b4
0xfffffff00955f694: 4034fff0  adrp	x0, #0xfffffff007bea000
0xfffffff00955f698: 00a03791  add	x0, x0, #0xde8
0xfffffff00955f69c: e10313aa  mov	x1, x19
0xfffffff00955f6a0: 1bdcb797  bl	#0xfffffff00835670c
0xfffffff00955f6a4: 417100d0  adrp	x1, #0xfffffff00a389000
0xfffffff00955f6a8: 21c00391  add	x1, x1, #0xf0
0xfffffff00955f6ac: e0198092  mov	x0, #-0xd0
0xfffffff00955f6b0: 080fb697  bl	#0xfffffff0082e32d0
0xfffffff00955f6b4: e0031caa  mov	x0, x28
0xfffffff00955f6b8: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00955f6bc: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00955f6c0: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00955f6c4: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00955f6c8: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00955f6cc: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00955f6d0: ff830391  add	sp, sp, #0xe0
0xfffffff00955f6d4: ff0f5fd6  retab	
0xfffffff00955f6d8: f90300aa  mov	x25, x0
0xfffffff00955f6dc: 68c640b9  ldr	w8, [x19, #0xc4]
0xfffffff00955f6e0: 89aa7f29  ldp	w9, w10, [x20, #-4]
0xfffffff00955f6e4: ea6702a9  stp	x10, x25, [sp, #0x20]
0xfffffff00955f6e8: fa2701a9  stp	x26, x9, [sp, #0x10]
0xfffffff00955f6ec: e90316aa  mov	x9, x22
0xfffffff00955f6f0: e92300a9  stp	x9, x8, [sp]
0xfffffff00955f6f4: c0fffef0  adrp	x0, #0xfffffff00755a000
0xfffffff00955f6f8: 00942291  add	x0, x0, #0x8a5
0xfffffff00955f6fc: 595fa197  bl	#0xfffffff007db7460
0xfffffff00955f700: fc0319aa  mov	x28, x25
0xfffffff00955f704: 9cffff17  b	#0xfffffff00955f574
0xfffffff00955f708: e90316aa  mov	x9, x22
0xfffffff00955f70c: e92300a9  stp	x9, x8, [sp]
0xfffffff00955f710: 0000ff90  adrp	x0, #0xfffffff00755f000
0xfffffff00955f714: 008c3791  add	x0, x0, #0xde3
0xfffffff00955f718: 525fa197  bl	#0xfffffff007db7460
0xfffffff00955f71c: 59008052  mov	w25, #2
0xfffffff00955f720: d2feff17  b	#0xfffffff00955f268
0xfffffff00955f724: 19008052  mov	w25, #0
0xfffffff00955f728: 50ffff17  b	#0xfffffff00955f468
0xfffffff00955f72c: 7f2303d5  pacibsp	
0xfffffff00955f730: e923b96d  stp	d9, d8, [sp, #-0x70]!
0xfffffff00955f734: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff00955f738: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff00955f73c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00955f740: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00955f744: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00955f748: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00955f74c: fd830191  add	x29, sp, #0x60
0xfffffff00955f750: ff0307d1  sub	sp, sp, #0x1c0
0xfffffff00955f754: f60301aa  mov	x22, x1
0xfffffff00955f758: f30300aa  mov	x19, x0
0xfffffff00955f75c: 4834ffd0  adrp	x8, #0xfffffff007be9000
0xfffffff00955f760: 080546f9  ldr	x8, [x8, #0xc08]
0xfffffff00955f764: 080140f9  ldr	x8, [x8]
0xfffffff00955f768: a80319f8  stur	x8, [x29, #-0x70]
0xfffffff00955f76c: ffb300f9  str	xzr, [sp, #0x160]
0xfffffff00955f770: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00955f774: e0030aad  stp	q0, q0, [sp, #0x140]
0xfffffff00955f778: e00309ad  stp	q0, q0, [sp, #0x120]
0xfffffff00955f77c: e00308ad  stp	q0, q0, [sp, #0x100]
0xfffffff00955f780: e00307ad  stp	q0, q0, [sp, #0xe0]
0xfffffff00955f784: e00306ad  stp	q0, q0, [sp, #0xc0]
0xfffffff00955f788: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff00955f78c: e00304ad  stp	q0, q0, [sp, #0x80]
