; Candidate 13792
; ADRP+ADD at VM 0xfffffff00958c5e0 (fileoff 0x25885e0): page=0x1fe660000 add_imm=0xd28

0xfffffff00958c560: a0fdffb4  cbz	x0, #0xfffffff00958c514
0xfffffff00958c564: bf831cf8  stur	xzr, [x29, #-0x38]
0xfffffff00958c568: bfa31b78  sturh	wzr, [x29, #-0x46]
0xfffffff00958c56c: f093a597  bl	#0xfffffff007ef152c
0xfffffff00958c570: e9ffff17  b	#0xfffffff00958c514
0xfffffff00958c574: e00314aa  mov	x0, x20
0xfffffff00958c578: 7180a097  bl	#0xfffffff007dac73c
0xfffffff00958c57c: e5ffff17  b	#0xfffffff00958c510
0xfffffff00958c580: 7f2303d5  pacibsp	
0xfffffff00958c584: ff4303d1  sub	sp, sp, #0xd0
0xfffffff00958c588: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff00958c58c: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff00958c590: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff00958c594: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff00958c598: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff00958c59c: fd030391  add	x29, sp, #0xc0
0xfffffff00958c5a0: f40301aa  mov	x20, x1
0xfffffff00958c5a4: f50300aa  mov	x21, x0
0xfffffff00958c5a8: e832ffb0  adrp	x8, #0xfffffff007be9000
0xfffffff00958c5ac: 080546f9  ldr	x8, [x8, #0xc08]
0xfffffff00958c5b0: 080140f9  ldr	x8, [x8]
0xfffffff00958c5b4: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff00958c5b8: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff00958c5bc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00958c5c0: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00958c5c4: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff00958c5c8: e00b803d  str	q0, [sp, #0x20]
0xfffffff00958c5cc: e8830091  add	x8, sp, #0x20
0xfffffff00958c5d0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00958c5d4: 68fefe90  adrp	x8, #0xfffffff007558000
0xfffffff00958c5d8: 009d40fd  ldr	d0, [x8, #0x138]
0xfffffff00958c5dc: e00f00fd  str	d0, [sp, #0x18]
0xfffffff00958c5e0: 0033ff90  adrp	x0, #0xfffffff007bec000
0xfffffff00958c5e4: 00a03491  add	x0, x0, #0xd28
0xfffffff00958c5e8: c327b797  bl	#0xfffffff0083564f4
0xfffffff00958c5ec: f30300aa  mov	x19, x0
0xfffffff00958c5f0: a00000b4  cbz	x0, #0xfffffff00958c604
0xfffffff00958c5f4: e16f00b0  adrp	x1, #0xfffffff00a389000
0xfffffff00958c5f8: 21c00391  add	x1, x1, #0xf0
0xfffffff00958c5fc: 00458052  mov	w0, #0x228
0xfffffff00958c600: 345bb597  bl	#0xfffffff0082e32d0
0xfffffff00958c604: 9f060071  cmp	w20, #1
0xfffffff00958c608: 61000054  b.ne	#0xfffffff00958c614
0xfffffff00958c60c: 14008052  mov	w20, #0
0xfffffff00958c610: 22000014  b	#0xfffffff00958c698
0xfffffff00958c614: 77720091  add	x23, x19, #0x1c
0xfffffff00958c618: a84a41f9  ldr	x8, [x21, #0x290]
0xfffffff00958c61c: 189540f9  ldr	x24, [x8, #0x128]
0xfffffff00958c620: 96fefef0  adrp	x22, #0xfffffff00755f000
0xfffffff00958c624: d62a3091  add	x22, x22, #0xc0a
0xfffffff00958c628: 99fefef0  adrp	x25, #0xfffffff00755f000
0xfffffff00958c62c: 39173191  add	x25, x25, #0xc45
0xfffffff00958c630: 34030034  cbz	w20, #0xfffffff00958c694
0xfffffff00958c634: e00315aa  mov	x0, x21
0xfffffff00958c638: e10314aa  mov	x1, x20
0xfffffff00958c63c: e20317aa  mov	x2, x23
0xfffffff00958c640: a6fdff97  bl	#0xfffffff00958bcd8
0xfffffff00958c644: 00020035  cbnz	w0, #0xfffffff00958c684
0xfffffff00958c648: e2430091  add	x2, sp, #0x10
0xfffffff00958c64c: e00318aa  mov	x0, x24
0xfffffff00958c650: e10313aa  mov	x1, x19
0xfffffff00958c654: 030080d2  mov	x3, #0
0xfffffff00958c658: 040080d2  mov	x4, #0
0xfffffff00958c65c: d77cff97  bl	#0xfffffff00956b9b8
