; Candidate 8423
; ADRP+ADD at VM 0xfffffff0088a9cf4 (fileoff 0x18a5cf4): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a9c74: 15020034  cbz	w21, #0xfffffff0088a9cb4
0xfffffff0088a9c78: f82700f9  str	x24, [sp, #0x48]
0xfffffff0088a9c7c: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088a9c80: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0088a9c84: e80317aa  mov	x8, x23
0xfffffff0088a9c88: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088a9c8c: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9c90: 08153f91  add	x8, x8, #0xfc5
0xfffffff0088a9c94: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a9c98: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a9c9c: c80f8052  mov	w8, #0x7e
0xfffffff0088a9ca0: 404cffd0  adrp	x0, #0xfffffff007233000
0xfffffff0088a9ca4: 00dc0491  add	x0, x0, #0x137
0xfffffff0088a9ca8: f92300a9  stp	x25, x8, [sp]
0xfffffff0088a9cac: ed35d497  bl	#0xfffffff007db7460
0xfffffff0088a9cb0: 19000014  b	#0xfffffff0088a9d14
0xfffffff0088a9cb4: 3e290094  bl	#0xfffffff0088b41ac
0xfffffff0088a9cb8: f50300aa  mov	x21, x0
0xfffffff0088a9cbc: e0008052  mov	w0, #7
0xfffffff0088a9cc0: e446ff97  bl	#0xfffffff00887b850
0xfffffff0088a9cc4: e80318aa  mov	x8, x24
0xfffffff0088a9cc8: e82700f9  str	x8, [sp, #0x48]
0xfffffff0088a9ccc: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088a9cd0: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0088a9cd4: e80317aa  mov	x8, x23
0xfffffff0088a9cd8: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088a9cdc: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9ce0: 08153f91  add	x8, x8, #0xfc5
0xfffffff0088a9ce4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a9ce8: c80f8052  mov	w8, #0x7e
0xfffffff0088a9cec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a9cf0: f50300f9  str	x21, [sp]
0xfffffff0088a9cf4: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9cf8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9cfc: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9d00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9d04: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9d08: 635c0791  add	x3, x3, #0x1d7
0xfffffff0088a9d0c: 02008052  mov	w2, #0
0xfffffff0088a9d10: 0825ea97  bl	#0xfffffff008333130
0xfffffff0088a9d14: e00318aa  mov	x0, x24
0xfffffff0088a9d18: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff0088a9d1c: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff0088a9d20: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff0088a9d24: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0088a9d28: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0088a9d2c: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0088a9d30: ff830391  add	sp, sp, #0xe0
0xfffffff0088a9d34: ff0f5fd6  retab	
0xfffffff0088a9d38: 7f2303d5  pacibsp	
0xfffffff0088a9d3c: ff8303d1  sub	sp, sp, #0xe0
0xfffffff0088a9d40: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff0088a9d44: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff0088a9d48: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff0088a9d4c: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff0088a9d50: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff0088a9d54: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff0088a9d58: fd430391  add	x29, sp, #0xd0
0xfffffff0088a9d5c: a4831af8  stur	x4, [x29, #-0x58]
0xfffffff0088a9d60: f60303aa  mov	x22, x3
0xfffffff0088a9d64: f70302aa  mov	x23, x2
0xfffffff0088a9d68: f40301aa  mov	x20, x1
0xfffffff0088a9d6c: f30300aa  mov	x19, x0
0xfffffff0088a9d70: c00f8052  mov	w0, #0x7e
