; Candidate 14378
; ADRP+ADD at VM 0xfffffff00976f26c (fileoff 0x276b26c): page=0xc1c000 add_imm=0xea8

0xfffffff00976f1ec: 48110034  cbz	w8, #0xfffffff00976f414
0xfffffff00976f1f0: 08620491  add	x8, x16, #0x118
0xfffffff00976f1f4: 098e40f9  ldr	x9, [x16, #0x118]
0xfffffff00976f1f8: e1170191  add	x1, sp, #0x45
0xfffffff00976f1fc: e00316aa  mov	x0, x22
0xfffffff00976f200: f10308aa  mov	x17, x8
0xfffffff00976f204: 91d1fcf2  movk	x17, #0xe68c, lsl #48
0xfffffff00976f208: 31093fd7  blraa	x9, x17
0xfffffff00976f20c: d00240f9  ldr	x16, [x22]
0xfffffff00976f210: f10316aa  mov	x17, x22
0xfffffff00976f214: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f218: 301ac1da  autda	x16, x17
0xfffffff00976f21c: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff00976f220: e90310aa  mov	x9, x16
0xfffffff00976f224: e00316aa  mov	x0, x22
0xfffffff00976f228: f10309aa  mov	x17, x9
0xfffffff00976f22c: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff00976f230: 11093fd7  blraa	x8, x17
0xfffffff00976f234: e01f0035  cbnz	w0, #0xfffffff00976f630
0xfffffff00976f238: 809a40f9  ldr	x0, [x20, #0x130]
0xfffffff00976f23c: 100040f9  ldr	x16, [x0]
0xfffffff00976f240: f10300aa  mov	x17, x0
0xfffffff00976f244: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f248: 301ac1da  autda	x16, x17
0xfffffff00976f24c: 112380d2  mov	x17, #0x118
0xfffffff00976f250: 1002118b  add	x16, x16, x17
0xfffffff00976f254: 080240f9  ldr	x8, [x16]
0xfffffff00976f258: e90310aa  mov	x9, x16
0xfffffff00976f25c: e10315aa  mov	x1, x21
0xfffffff00976f260: f10309aa  mov	x17, x9
0xfffffff00976f264: 91d1fcf2  movk	x17, #0xe68c, lsl #48
0xfffffff00976f268: 11093fd7  blraa	x8, x17
0xfffffff00976f26c: e0600090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976f270: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976f274: b9d5ad97  bl	#0xfffffff0082e4958
0xfffffff00976f278: e00314aa  mov	x0, x20
0xfffffff00976f27c: f8e5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f280: c00100b5  cbnz	x0, #0xfffffff00976f2b8
0xfffffff00976f284: 900240f9  ldr	x16, [x20]
0xfffffff00976f288: f10314aa  mov	x17, x20
0xfffffff00976f28c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f290: 301ac1da  autda	x16, x17
0xfffffff00976f294: 113d80d2  mov	x17, #0x1e8
0xfffffff00976f298: 1002118b  add	x16, x16, x17
0xfffffff00976f29c: 080240f9  ldr	x8, [x16]
0xfffffff00976f2a0: e90310aa  mov	x9, x16
0xfffffff00976f2a4: e00314aa  mov	x0, x20
0xfffffff00976f2a8: 010080d2  mov	x1, #0
0xfffffff00976f2ac: f10309aa  mov	x17, x9
0xfffffff00976f2b0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976f2b4: 11093fd7  blraa	x8, x17
0xfffffff00976f2b8: e00314aa  mov	x0, x20
0xfffffff00976f2bc: e8e5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f2c0: e00314aa  mov	x0, x20
0xfffffff00976f2c4: e6e5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f2c8: c00100b5  cbnz	x0, #0xfffffff00976f300
0xfffffff00976f2cc: 900240f9  ldr	x16, [x20]
0xfffffff00976f2d0: f10314aa  mov	x17, x20
0xfffffff00976f2d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f2d8: 301ac1da  autda	x16, x17
0xfffffff00976f2dc: 114380d2  mov	x17, #0x218
0xfffffff00976f2e0: 1002118b  add	x16, x16, x17
0xfffffff00976f2e4: 080240f9  ldr	x8, [x16]
0xfffffff00976f2e8: e90310aa  mov	x9, x16
