; Candidate 16288
; ADRP+ADD at VM 0xfffffff009e43ec8 (fileoff 0x2e3fec8): page=0x1fd9e4000 add_imm=0xe84

0xfffffff009e43e48: f81340f9  ldr	x24, [sp, #0x20]
0xfffffff009e43e4c: e00316aa  mov	x0, x22
0xfffffff009e43e50: 61008052  mov	w1, #3
0xfffffff009e43e54: e20318aa  mov	x2, x24
0xfffffff009e43e58: e30317aa  mov	x3, x23
0xfffffff009e43e5c: 78960294  bl	#0xfffffff009ee983c
0xfffffff009e43e60: 80010034  cbz	w0, #0xfffffff009e43e90
0xfffffff009e43e64: f50300aa  mov	x21, x0
0xfffffff009e43e68: 083e8452  mov	w8, #0x21f0
0xfffffff009e43e6c: c802088b  add	x8, x22, x8
0xfffffff009e43e70: a94b8052  mov	w9, #0x25d
0xfffffff009e43e74: 2acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e43e78: 4ae93891  add	x10, x10, #0xe3a
0xfffffff009e43e7c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e43e80: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e43e84: 20cffe90  adrp	x0, #0xfffffff007827000
0xfffffff009e43e88: 00583991  add	x0, x0, #0xe56
0xfffffff009e43e8c: 11000014  b	#0xfffffff009e43ed0
0xfffffff009e43e90: e00316aa  mov	x0, x22
0xfffffff009e43e94: 61008052  mov	w1, #3
0xfffffff009e43e98: e20313aa  mov	x2, x19
0xfffffff009e43e9c: e30317aa  mov	x3, x23
0xfffffff009e43ea0: 67960294  bl	#0xfffffff009ee983c
0xfffffff009e43ea4: f50300aa  mov	x21, x0
0xfffffff009e43ea8: 60010034  cbz	w0, #0xfffffff009e43ed4
0xfffffff009e43eac: 083e8452  mov	w8, #0x21f0
0xfffffff009e43eb0: c802088b  add	x8, x22, x8
0xfffffff009e43eb4: 694c8052  mov	w9, #0x263
0xfffffff009e43eb8: 2acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e43ebc: 4ae93891  add	x10, x10, #0xe3a
0xfffffff009e43ec0: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e43ec4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e43ec8: 20cffe90  adrp	x0, #0xfffffff007827000
0xfffffff009e43ecc: 00103a91  add	x0, x0, #0xe84
0xfffffff009e43ed0: 7dee0094  bl	#0xfffffff009e7f8c4
0xfffffff009e43ed4: 780000b4  cbz	x24, #0xfffffff009e43ee0
0xfffffff009e43ed8: e00318aa  mov	x0, x24
0xfffffff009e43edc: 70780294  bl	#0xfffffff009ee209c
0xfffffff009e43ee0: e00313aa  mov	x0, x19
0xfffffff009e43ee4: 6e780294  bl	#0xfffffff009ee209c
0xfffffff009e43ee8: f30314aa  mov	x19, x20
0xfffffff009e43eec: e00313aa  mov	x0, x19
0xfffffff009e43ef0: 6b780294  bl	#0xfffffff009ee209c
0xfffffff009e43ef4: e00315aa  mov	x0, x21
0xfffffff009e43ef8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009e43efc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009e43f00: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009e43f04: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009e43f08: ffc30191  add	sp, sp, #0x70
0xfffffff009e43f0c: ff0f5fd6  retab	
0xfffffff009e43f10: 7f2303d5  pacibsp	
0xfffffff009e43f14: ff0304d1  sub	sp, sp, #0x100
0xfffffff009e43f18: fc6f0aa9  stp	x28, x27, [sp, #0xa0]
0xfffffff009e43f1c: fa670ba9  stp	x26, x25, [sp, #0xb0]
0xfffffff009e43f20: f85f0ca9  stp	x24, x23, [sp, #0xc0]
0xfffffff009e43f24: f6570da9  stp	x22, x21, [sp, #0xd0]
0xfffffff009e43f28: f44f0ea9  stp	x20, x19, [sp, #0xe0]
0xfffffff009e43f2c: fd7b0fa9  stp	x29, x30, [sp, #0xf0]
0xfffffff009e43f30: fdc30391  add	x29, sp, #0xf0
0xfffffff009e43f34: 040300b4  cbz	x4, #0xfffffff009e43f94
0xfffffff009e43f38: f70303aa  mov	x23, x3
0xfffffff009e43f3c: 68004039  ldrb	w8, [x3]
0xfffffff009e43f40: a8020034  cbz	w8, #0xfffffff009e43f94
0xfffffff009e43f44: f50305aa  mov	x21, x5
