; Candidate 16607
; ADRP+ADD at VM 0xfffffff009f00438 (fileoff 0x2efc438): page=0x1fde37000 add_imm=0xd98

0xfffffff009f003b8: c86b8a52  mov	w8, #0x535e
0xfffffff009f003bc: 60cafeb0  adrp	x0, #0xfffffff00784d000
0xfffffff009f003c0: 00603291  add	x0, x0, #0xc98
0xfffffff009f003c4: e80700f9  str	x8, [sp, #8]
0xfffffff009f003c8: 68cafeb0  adrp	x8, #0xfffffff00784d000
0xfffffff009f003cc: 08911e91  add	x8, x8, #0x7a4
0xfffffff009f003d0: e80300f9  str	x8, [sp]
0xfffffff009f003d4: 3cfdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f003d8: a0f1fef0  adrp	x0, #0xfffffff007d37000
0xfffffff009f003dc: 00603891  add	x0, x0, #0xe18
0xfffffff009f003e0: e10318aa  mov	x1, x24
0xfffffff009f003e4: 18000014  b	#0xfffffff009f00444
0xfffffff009f003e8: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009f003ec: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f003f0: e96740f9  ldr	x9, [sp, #0xc8]
0xfffffff009f003f4: 290140f9  ldr	x9, [x9]
0xfffffff009f003f8: ea5740f9  ldr	x10, [sp, #0xa8]
0xfffffff009f003fc: 4a0140f9  ldr	x10, [x10]
0xfffffff009f00400: dc008052  mov	w28, #6
0xfffffff009f00404: 4bcafeb0  adrp	x11, #0xfffffff007849000
0xfffffff009f00408: 6b892291  add	x11, x11, #0x8a2
0xfffffff009f0040c: eb7303a9  stp	x11, x28, [sp, #0x30]
0xfffffff009f00410: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009f00414: fb0f00f9  str	x27, [sp, #0x18]
0xfffffff009f00418: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f0041c: a9638a52  mov	w9, #0x531d
0xfffffff009f00420: 60cafeb0  adrp	x0, #0xfffffff00784d000
0xfffffff009f00424: 00ec1e91  add	x0, x0, #0x7bb
0xfffffff009f00428: 68cafeb0  adrp	x8, #0xfffffff00784d000
0xfffffff009f0042c: 08911e91  add	x8, x8, #0x7a4
0xfffffff009f00430: e82700a9  stp	x8, x9, [sp]
0xfffffff009f00434: 24fdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f00438: a0f1fef0  adrp	x0, #0xfffffff007d37000
0xfffffff009f0043c: 00603691  add	x0, x0, #0xd98
0xfffffff009f00440: e10317aa  mov	x1, x23
0xfffffff009f00444: b2589197  bl	#0xfffffff00835670c
0xfffffff009f00448: e8048092  mov	x8, #-0x28
0xfffffff009f0044c: a9260090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009f00450: 29212a91  add	x9, x9, #0xa88
0xfffffff009f00454: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009f00458: f85f40f9  ldr	x24, [sp, #0xb8]
0xfffffff009f0045c: f57740f9  ldr	x21, [sp, #0xe8]
0xfffffff009f00460: 6e000014  b	#0xfffffff009f00618
0xfffffff009f00464: f6030baa  mov	x22, x11
0xfffffff009f00468: b58359f8  ldur	x21, [x29, #-0x68]
0xfffffff009f0046c: 68021ccb  sub	x8, x19, x28
0xfffffff009f00470: 0001158b  add	x0, x8, x21
0xfffffff009f00474: e10316aa  mov	x1, x22
0xfffffff009f00478: c1040094  bl	#0xfffffff009f0177c
0xfffffff009f0047c: ea0316aa  mov	x10, x22
0xfffffff009f00480: fa0300aa  mov	x26, x0
0xfffffff009f00484: f85f40f9  ldr	x24, [sp, #0xb8]
0xfffffff009f00488: bbfdff17  b	#0xfffffff009effb74
0xfffffff009f0048c: e95740f9  ldr	x9, [sp, #0xa8]
0xfffffff009f00490: 290140f9  ldr	x9, [x9]
0xfffffff009f00494: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff009f00498: fad701a9  stp	x26, x21, [sp, #0x18]
0xfffffff009f0049c: ea5b40f9  ldr	x10, [sp, #0xb0]
0xfffffff009f004a0: 68cafeb0  adrp	x8, #0xfffffff00784d000
0xfffffff009f004a4: 08911e91  add	x8, x8, #0x7a4
0xfffffff009f004a8: 69568a52  mov	w9, #0x52b3
0xfffffff009f004ac: 60cafeb0  adrp	x0, #0xfffffff00784d000
0xfffffff009f004b0: 008c2291  add	x0, x0, #0x8a3
0xfffffff009f004b4: e9ab00a9  stp	x9, x10, [sp, #8]
