; Candidate 7270
; ADRP+ADD at VM 0xfffffff008864300 (fileoff 0x1860300): page=0x1fe9c4000 add_imm=0xd91

0xfffffff008864280: 41008052  mov	w1, #2
0xfffffff008864284: 6ad50094  bl	#0xfffffff00889982c
0xfffffff008864288: e0070034  cbz	w0, #0xfffffff008864384
0xfffffff00886428c: f40300aa  mov	x20, x0
0xfffffff008864290: 600c8052  mov	w0, #0x63
0xfffffff008864294: 81008052  mov	w1, #4
0xfffffff008864298: 4e5d0094  bl	#0xfffffff00887b7d0
0xfffffff00886429c: 20e9ff34  cbz	w0, #0xfffffff008863fc0
0xfffffff0088642a0: 600c8052  mov	w0, #0x63
0xfffffff0088642a4: 5d5d0094  bl	#0xfffffff00887b818
0xfffffff0088642a8: f60300aa  mov	x22, x0
0xfffffff0088642ac: c03f0194  bl	#0xfffffff0088b41ac
0xfffffff0088642b0: f50300aa  mov	x21, x0
0xfffffff0088642b4: 80008052  mov	w0, #4
0xfffffff0088642b8: 665d0094  bl	#0xfffffff00887b850
0xfffffff0088642bc: d60a0034  cbz	w22, #0xfffffff008864414
0xfffffff0088642c0: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff0088642c4: e90314aa  mov	x9, x20
0xfffffff0088642c8: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff0088642cc: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0088642d0: 694dff90  adrp	x9, #0xfffffff007210000
0xfffffff0088642d4: 2bb92791  add	x11, x9, #0x9ee
0xfffffff0088642d8: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff0088642dc: c8648052  mov	w8, #0x326
0xfffffff0088642e0: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff0088642e4: 29813091  add	x9, x9, #0xc20
0xfffffff0088642e8: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff0088642ec: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff0088642f0: 08811191  add	x8, x8, #0x460
0xfffffff0088642f4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088642f8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088642fc: 680c8052  mov	w8, #0x63
0xfffffff008864300: 204eff90  adrp	x0, #0xfffffff007228000
0xfffffff008864304: 00443691  add	x0, x0, #0xd91
0xfffffff008864308: 68feff17  b	#0xfffffff008863ca8
0xfffffff00886430c: a83f0194  bl	#0xfffffff0088b41ac
0xfffffff008864310: f50300aa  mov	x21, x0
0xfffffff008864314: 80008052  mov	w0, #4
0xfffffff008864318: 4e5d0094  bl	#0xfffffff00887b850
0xfffffff00886431c: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff008864320: e90314aa  mov	x9, x20
0xfffffff008864324: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff008864328: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff00886432c: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff008864330: 684dff90  adrp	x8, #0xfffffff007210000
0xfffffff008864334: 0bb92791  add	x11, x8, #0x9ee
0xfffffff008864338: 08648052  mov	w8, #0x320
0xfffffff00886433c: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff008864340: 29813091  add	x9, x9, #0xc20
0xfffffff008864344: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff008864348: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff00886434c: 08811191  add	x8, x8, #0x460
0xfffffff008864350: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008864354: 680c8052  mov	w8, #0x63
0xfffffff008864358: 834fffd0  adrp	x3, #0xfffffff007256000
0xfffffff00886435c: 63202091  add	x3, x3, #0x808
0xfffffff008864360: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008864364: f50300f9  str	x21, [sp]
0xfffffff008864368: 204cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886436c: 00003a91  add	x0, x0, #0xe80
0xfffffff008864370: 218dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008864374: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008864378: 02008052  mov	w2, #0
0xfffffff00886437c: 6d3beb97  bl	#0xfffffff008333130
