; Candidate 7272
; ADRP+ADD at VM 0xfffffff008864408 (fileoff 0x1860408): page=0x1fe9c4000 add_imm=0xdd5

0xfffffff008864388: 68470094  bl	#0xfffffff008876128
0xfffffff00886438c: 00080034  cbz	w0, #0xfffffff00886448c
0xfffffff008864390: f40300aa  mov	x20, x0
0xfffffff008864394: 600c8052  mov	w0, #0x63
0xfffffff008864398: 81008052  mov	w1, #4
0xfffffff00886439c: 0d5d0094  bl	#0xfffffff00887b7d0
0xfffffff0088643a0: 00e1ff34  cbz	w0, #0xfffffff008863fc0
0xfffffff0088643a4: 600c8052  mov	w0, #0x63
0xfffffff0088643a8: 1c5d0094  bl	#0xfffffff00887b818
0xfffffff0088643ac: f60300aa  mov	x22, x0
0xfffffff0088643b0: 7f3f0194  bl	#0xfffffff0088b41ac
0xfffffff0088643b4: f50300aa  mov	x21, x0
0xfffffff0088643b8: 80008052  mov	w0, #4
0xfffffff0088643bc: 255d0094  bl	#0xfffffff00887b850
0xfffffff0088643c0: d60a0034  cbz	w22, #0xfffffff008864518
0xfffffff0088643c4: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff0088643c8: 694a40f9  ldr	x9, [x19, #0x90]
0xfffffff0088643cc: ea0314aa  mov	x10, x20
0xfffffff0088643d0: 6b4240b9  ldr	w11, [x19, #0x40]
0xfffffff0088643d4: e92b05a9  stp	x9, x10, [sp, #0x50]
0xfffffff0088643d8: 694dff90  adrp	x9, #0xfffffff007210000
0xfffffff0088643dc: 29b92791  add	x9, x9, #0x9ee
0xfffffff0088643e0: eb2304a9  stp	x11, x8, [sp, #0x40]
0xfffffff0088643e4: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088643e8: 88658052  mov	w8, #0x32c
0xfffffff0088643ec: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff0088643f0: 29813091  add	x9, x9, #0xc20
0xfffffff0088643f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088643f8: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff0088643fc: 08811191  add	x8, x8, #0x460
0xfffffff008864400: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008864404: 680c8052  mov	w8, #0x63
0xfffffff008864408: 204eff90  adrp	x0, #0xfffffff007228000
0xfffffff00886440c: 00543791  add	x0, x0, #0xdd5
0xfffffff008864410: 26feff17  b	#0xfffffff008863ca8
0xfffffff008864414: 663f0194  bl	#0xfffffff0088b41ac
0xfffffff008864418: f50300aa  mov	x21, x0
0xfffffff00886441c: 80008052  mov	w0, #4
0xfffffff008864420: 0c5d0094  bl	#0xfffffff00887b850
0xfffffff008864424: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff008864428: e90314aa  mov	x9, x20
0xfffffff00886442c: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff008864430: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008864434: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff008864438: 684dff90  adrp	x8, #0xfffffff007210000
0xfffffff00886443c: 0bb92791  add	x11, x8, #0x9ee
0xfffffff008864440: c8648052  mov	w8, #0x326
0xfffffff008864444: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff008864448: 29813091  add	x9, x9, #0xc20
0xfffffff00886444c: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff008864450: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff008864454: 08811191  add	x8, x8, #0x460
0xfffffff008864458: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886445c: 680c8052  mov	w8, #0x63
0xfffffff008864460: 834fffd0  adrp	x3, #0xfffffff007256000
0xfffffff008864464: 63382191  add	x3, x3, #0x84e
0xfffffff008864468: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886446c: f50300f9  str	x21, [sp]
0xfffffff008864470: 204cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008864474: 00003a91  add	x0, x0, #0xe80
0xfffffff008864478: 218dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00886447c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008864480: 02008052  mov	w2, #0
0xfffffff008864484: 2b3beb97  bl	#0xfffffff008333130
