; Candidate 14032
; ADRP+ADD at VM 0xfffffff0096a26dc (fileoff 0x269e6dc): page=0xce8000 add_imm=0xe70

0xfffffff0096a265c: 00200291  add	x0, x0, #0x88
0xfffffff0096a2660: 2508b197  bl	#0xfffffff0082e46f4
0xfffffff0096a2664: 406700b0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096a2668: 00800191  add	x0, x0, #0x60
0xfffffff0096a266c: 2208b197  bl	#0xfffffff0082e46f4
0xfffffff0096a2670: 406700b0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096a2674: 00e00091  add	x0, x0, #0x38
0xfffffff0096a2678: 1f08b197  bl	#0xfffffff0082e46f4
0xfffffff0096a267c: 406700b0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096a2680: 00400091  add	x0, x0, #0x10
0xfffffff0096a2684: 1c08b197  bl	#0xfffffff0082e46f4
0xfffffff0096a2688: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a268c: 00a03f91  add	x0, x0, #0xfe8
0xfffffff0096a2690: 1908b197  bl	#0xfffffff0082e46f4
0xfffffff0096a2694: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2698: 00003f91  add	x0, x0, #0xfc0
0xfffffff0096a269c: 1608b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26a0: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26a4: 00403e91  add	x0, x0, #0xf90
0xfffffff0096a26a8: 1308b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26ac: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26b0: 00603d91  add	x0, x0, #0xf58
0xfffffff0096a26b4: 1008b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26b8: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26bc: 00803c91  add	x0, x0, #0xf20
0xfffffff0096a26c0: 0d08b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26c4: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26c8: 00e03b91  add	x0, x0, #0xef8
0xfffffff0096a26cc: 0a08b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26d0: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26d4: 00a03a91  add	x0, x0, #0xea8
0xfffffff0096a26d8: 0708b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26dc: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26e0: 00c03991  add	x0, x0, #0xe70
0xfffffff0096a26e4: 0408b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26e8: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26ec: 00e03891  add	x0, x0, #0xe38
0xfffffff0096a26f0: 0108b197  bl	#0xfffffff0082e46f4
0xfffffff0096a26f4: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a26f8: 00003891  add	x0, x0, #0xe00
0xfffffff0096a26fc: fe07b197  bl	#0xfffffff0082e46f4
0xfffffff0096a2700: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2704: 00203791  add	x0, x0, #0xdc8
0xfffffff0096a2708: fb07b197  bl	#0xfffffff0082e46f4
0xfffffff0096a270c: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2710: 00803691  add	x0, x0, #0xda0
0xfffffff0096a2714: f807b197  bl	#0xfffffff0082e46f4
0xfffffff0096a2718: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a271c: 00e03591  add	x0, x0, #0xd78
0xfffffff0096a2720: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0096a2724: ff2303d5  autibsp	
0xfffffff0096a2728: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0096a272c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0096a2734
0xfffffff0096a2730: 208e38d4  brk	#0xc471
0xfffffff0096a2734: f007b117  b	#0xfffffff0082e46f4
0xfffffff0096a2738: 7f2303d5  pacibsp	
0xfffffff0096a273c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096a2740: fd030091  mov	x29, sp
0xfffffff0096a2744: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a2748: 21341d91  add	x1, x1, #0x74d
0xfffffff0096a274c: a22bff90  adrp	x2, #0xfffffff007c16000
0xfffffff0096a2750: 428442f9  ldr	x2, [x2, #0x508]
0xfffffff0096a2754: 031d8052  mov	w3, #0xe8
0xfffffff0096a2758: f804b197  bl	#0xfffffff0082e3b38
