; Candidate 249
; ADRP+ADD at VM 0xfffffff007e6808c (fileoff 0xe6408c): page=0x2354000 add_imm=0xdc8

0xfffffff007e6800c: e00310aa  mov	x0, x16
0xfffffff007e68010: 01008052  mov	w1, #0
0xfffffff007e68014: 037d8052  mov	w3, #0x3e8
0xfffffff007e68018: aa62fd97  bl	#0xfffffff007dc0ac0
0xfffffff007e6801c: 000080d2  mov	x0, #0
0xfffffff007e68020: 010080d2  mov	x1, #0
0xfffffff007e68024: 02008052  mov	w2, #0
0xfffffff007e68028: a065fd97  bl	#0xfffffff007dc16a8
0xfffffff007e6802c: f7008052  mov	w23, #7
0xfffffff007e68030: 1700a272  movk	w23, #0x1000, lsl #16
0xfffffff007e68034: e00316aa  mov	x0, x22
0xfffffff007e68038: 5e16fd97  bl	#0xfffffff007dad9b0
0xfffffff007e6803c: e00319aa  mov	x0, x25
0xfffffff007e68040: 21008052  mov	w1, #1
0xfffffff007e68044: 14720094  bl	#0xfffffff007e84894
0xfffffff007e68048: e00316aa  mov	x0, x22
0xfffffff007e6804c: 7719fd97  bl	#0xfffffff007dae628
0xfffffff007e68050: e00315aa  mov	x0, x21
0xfffffff007e68054: e1e9ff97  bl	#0xfffffff007e627d8
0xfffffff007e68058: e00314aa  mov	x0, x20
0xfffffff007e6805c: dfe9ff97  bl	#0xfffffff007e627d8
0xfffffff007e68060: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff007e68064: 1f0100f9  str	xzr, [x8]
0xfffffff007e68068: e00317aa  mov	x0, x23
0xfffffff007e6806c: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff007e68070: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff007e68074: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff007e68078: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff007e6807c: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff007e68080: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff007e68084: ff430491  add	sp, sp, #0x110
0xfffffff007e68088: ff0f5fd6  retab	
0xfffffff007e6808c: a01a0190  adrp	x0, #0xfffffff00a1bc000
0xfffffff007e68090: 00203791  add	x0, x0, #0xdc8
0xfffffff007e68094: 5ee01894  bl	#0xfffffff0084a020c
0xfffffff007e68098: a8888152  mov	w8, #0xc45
0xfffffff007e6809c: 298fffd0  adrp	x9, #0xfffffff00704e000
0xfffffff007e680a0: 29d90891  add	x9, x9, #0x236
0xfffffff007e680a4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e680a8: f40300f9  str	x20, [sp]
0xfffffff007e680ac: 408fff90  adrp	x0, #0xfffffff007050000
0xfffffff007e680b0: 00ac3291  add	x0, x0, #0xcab
0xfffffff007e680b4: 16b11894  bl	#0xfffffff00849450c
0xfffffff007e680b8: 9f2403d5  bti	j
0xfffffff007e680bc: 68968152  mov	w8, #0xcb3
0xfffffff007e680c0: 298fffd0  adrp	x9, #0xfffffff00704e000
0xfffffff007e680c4: 29d90891  add	x9, x9, #0x236
0xfffffff007e680c8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e680cc: e00300f9  str	x0, [sp]
0xfffffff007e680d0: 208fffd0  adrp	x0, #0xfffffff00704e000
0xfffffff007e680d4: 00b00d91  add	x0, x0, #0x36c
0xfffffff007e680d8: 0db11894  bl	#0xfffffff00849450c
0xfffffff007e680dc: 68938152  mov	w8, #0xc9b
0xfffffff007e680e0: 298fffd0  adrp	x9, #0xfffffff00704e000
0xfffffff007e680e4: 29d90891  add	x9, x9, #0x236
0xfffffff007e680e8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e680ec: f40300f9  str	x20, [sp]
0xfffffff007e680f0: 408fff90  adrp	x0, #0xfffffff007050000
0xfffffff007e680f4: 00603391  add	x0, x0, #0xcd8
0xfffffff007e680f8: 05b11894  bl	#0xfffffff00849450c
0xfffffff007e680fc: e8000000  udf	#0xe8
