; Candidate 5983
; ADRP+ADD at VM 0xfffffff00880d6dc (fileoff 0x18096dc): page=0x1fe9dc000 add_imm=0xe80

0xfffffff00880d65c: d8021b12  and	w24, w22, #0x20
0xfffffff00880d660: 19000052  eor	w25, w0, #1
0xfffffff00880d664: d29a0294  bl	#0xfffffff0088b41ac
0xfffffff00880d668: f70300aa  mov	x23, x0
0xfffffff00880d66c: e00315aa  mov	x0, x21
0xfffffff00880d670: 78b80194  bl	#0xfffffff00887b850
0xfffffff00880d674: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff00880d678: 28020037  tbnz	w8, #0, #0xfffffff00880d6bc
0xfffffff00880d67c: 88b241b9  ldr	w8, [x20, #0x1b0]
0xfffffff00880d680: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880d684: e80313aa  mov	x8, x19
0xfffffff00880d688: f72300a9  stp	x23, x8, [sp]
0xfffffff00880d68c: 6050ffd0  adrp	x0, #0xfffffff00721b000
0xfffffff00880d690: 002c3191  add	x0, x0, #0xc4b
0xfffffff00880d694: 08000014  b	#0xfffffff00880d6b4
0xfffffff00880d698: 40030034  cbz	w0, #0xfffffff00880d700
0xfffffff00880d69c: e803164b  neg	w8, w22
0xfffffff00880d6a0: 08032837  tbnz	w8, #5, #0xfffffff00880d700
0xfffffff00880d6a4: 88b241b9  ldr	w8, [x20, #0x1b0]
0xfffffff00880d6a8: e80300f9  str	x8, [sp]
0xfffffff00880d6ac: 6050ffd0  adrp	x0, #0xfffffff00721b000
0xfffffff00880d6b0: 00b83091  add	x0, x0, #0xc2e
0xfffffff00880d6b4: 6ba7d697  bl	#0xfffffff007db7460
0xfffffff00880d6b8: 1c000014  b	#0xfffffff00880d728
0xfffffff00880d6bc: bc9a0294  bl	#0xfffffff0088b41ac
0xfffffff00880d6c0: f70300aa  mov	x23, x0
0xfffffff00880d6c4: e00315aa  mov	x0, x21
0xfffffff00880d6c8: 62b80194  bl	#0xfffffff00887b850
0xfffffff00880d6cc: 88b241b9  ldr	w8, [x20, #0x1b0]
0xfffffff00880d6d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880d6d4: e80313aa  mov	x8, x19
0xfffffff00880d6d8: f72300a9  stp	x23, x8, [sp]
0xfffffff00880d6dc: e04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00880d6e0: 00003a91  add	x0, x0, #0xe80
0xfffffff00880d6e4: c18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880d6e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880d6ec: c351ffb0  adrp	x3, #0xfffffff007246000
0xfffffff00880d6f0: 63743991  add	x3, x3, #0xe5d
0xfffffff00880d6f4: 02008052  mov	w2, #0
0xfffffff00880d6f8: 8e96ec97  bl	#0xfffffff008333130
0xfffffff00880d6fc: 0b000014  b	#0xfffffff00880d728
0xfffffff00880d700: 88b241b9  ldr	w8, [x20, #0x1b0]
0xfffffff00880d704: e80300f9  str	x8, [sp]
0xfffffff00880d708: e04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00880d70c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880d710: c18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880d714: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880d718: c351ffb0  adrp	x3, #0xfffffff007246000
0xfffffff00880d71c: 63043991  add	x3, x3, #0xe41
0xfffffff00880d720: 02008052  mov	w2, #0
0xfffffff00880d724: 8396ec97  bl	#0xfffffff008333130
0xfffffff00880d728: e00313aa  mov	x0, x19
0xfffffff00880d72c: e10315aa  mov	x1, x21
0xfffffff00880d730: 28b80194  bl	#0xfffffff00887b7d0
0xfffffff00880d734: a0060034  cbz	w0, #0xfffffff00880d808
0xfffffff00880d738: e00313aa  mov	x0, x19
0xfffffff00880d73c: 37b80194  bl	#0xfffffff00887b818
0xfffffff00880d740: f601f837  tbnz	w22, #0x1f, #0xfffffff00880d77c
0xfffffff00880d744: d7021b12  and	w23, w22, #0x20
0xfffffff00880d748: 18000052  eor	w24, w0, #1
0xfffffff00880d74c: 989a0294  bl	#0xfffffff0088b41ac
0xfffffff00880d750: f60300aa  mov	x22, x0
0xfffffff00880d754: e00315aa  mov	x0, x21
0xfffffff00880d758: 3eb80194  bl	#0xfffffff00887b850
